estimando_tipo,producto,ola,variable_codigos,universo,n_elegible,n_valido,n_positivo,masa_elegible,masa_valida,masa_positiva,faltantes_por_causa,estimacion,unidad,alcance
distribucion_pago,tarjeta_credito,2019,tdc_comp_pago=1:pago_total,tenedores con pago valido,544,537,309,7595925.550890869461,7392484.940879771486,4212110.046049680561,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.569782702263,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
distribucion_pago,tarjeta_credito,2019,tdc_comp_pago=2:pago_minimo_sin_atraso,tenedores con pago valido,544,537,191,7595925.550890869461,7392484.940879771486,2738604.391494450625,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.370457892494,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
distribucion_pago,tarjeta_credito,2019,tdc_comp_pago=3:atraso,tenedores con pago valido,544,537,36,7595925.550890869461,7392484.940879771486,441675.959869251645,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.059746616111,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
distribucion_pago,tarjeta_credito,2019,tdc_comp_pago=4:no_ha_pagado,tenedores con pago valido,544,537,1,7595925.550890869461,7392484.940879771486,94.543466383496,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000012789132,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
atraso,tarjeta_credito,2019,tdc_comp_pago=3,tenedores con pago valido,544,537,36,7595925.550890869461,7392484.940879771486,441675.959869251645,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.059746616111,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
imposibilidad,tarjeta_credito,2019,tdc_comp_pago=4,tenedores con pago valido,544,537,1,7595925.550890869461,7392484.940879771486,94.543466383496,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000012789132,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_combinado,tarjeta_credito,2019,"tdc_comp_pago=3,4",tenedores con pago valido,544,537,37,7595925.550890869461,7392484.940879771486,441770.503335635120,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=7;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.059759405243,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
problemas,tarjeta_credito,2019,tdc_problemas=1,tenedores con respuesta valida,544,538,101,7595925.550890869461,7462541.955483702011,1567300.363457541214,no_levantada=0;salto_no_aplica=6;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.210022318508,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
reclamacion,tarjeta_credito,2019,tdc_reclamacion=1,tenedores con problema=1 y reclamacion valida,101,101,64,1567300.363457541214,1567300.363457541214,1041100.701658803271,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.664263676531,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
distribucion_pago,credito_hipotecario,2019,hip_comp_pago=1:puntual,tenedores con pago valido,422,0,0,5847954.264678091742,0.000000000000,0.000000000000,no_levantada=422;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
