producto,ola,n_tenedores,masa_tenedores,atraso,imposibilidad,dano_combinado,problemas,reclamacion_entre_problemas
tarjeta_credito,2019,544,7595925.550890862010,0.059746616111,0.000012789132,0.059759405243,0.210022318508,0.664263676531
credito_hipotecario,2019,422,5847954.264678089879,,,,0.224780557089,0.189752798043
credito_personal,2019,498,1417977.098915277747,0.178420630155,0.000000000000,0.178420630155,0.138865796912,0.188596649825
credito_nomina,2019,398,1436125.112649990013,,,,0.056563600951,0.356579590979
credito_automotriz,2019,128,1054178.728728690650,,,,0.052755023636,0.760096907411
tarjeta_credito,2020,533,8072682.332512581721,0.073848910585,0.000000000000,0.073848910585,0.151905475540,0.839200372694
credito_hipotecario,2020,484,6053632.863664527424,0.225690540968,0.004607688130,0.230298229098,0.234997695965,0.495918193202
credito_personal,2020,450,1606490.400864157127,0.260329965989,0.004086410145,0.264416376133,0.077008334221,0.478156147840
credito_nomina,2020,382,1636012.560800665757,0.136853701846,0.006778385905,0.143632087751,0.070209248247,0.498519782870
credito_automotriz,2020,123,1183431.510743578896,0.271114688037,0.005653036045,0.276767724082,0.112793387791,0.596537106505
tarjeta_credito,2021,649,9194986.357497517020,0.091737456268,0.000717851060,0.092455307328,0.123842791782,0.652105942983
credito_hipotecario,2021,531,5442774.886487654410,0.291071895675,0.004511366043,0.295583261718,0.164769065149,0.417946258582
credito_personal,2021,457,2382474.995170290582,0.296562078170,0.000000000000,0.296562078170,0.088408861832,0.442648059139
credito_nomina,2021,384,1724981.495371656958,0.195397247707,0.000000000000,0.195397247707,0.156892515797,0.626857258444
credito_automotriz,2021,120,1651405.827393860091,0.198916665608,0.000000000000,0.198916665608,0.111269070651,0.832015899522
tarjeta_credito,2022,547,9589632.042790155858,0.059665908310,0.000000000000,0.059665908310,0.147108926377,0.702277507895
credito_hipotecario,2022,448,5434250.136035813019,0.189036375843,0.000945927860,0.189982303703,0.172646549795,0.611481162952
credito_personal,2022,433,2405002.930218212772,0.198318436627,0.006816022914,0.205134459541,0.053739813739,0.518236361466
credito_nomina,2022,398,1658827.797000571387,0.106842315300,0.000000000000,0.106842315300,0.041814022542,0.812424645169
credito_automotriz,2022,106,1490924.854679291369,0.139018250929,0.000000000000,0.139018250929,0.238990212134,0.748708188698
tarjeta_credito,2023,546,9582940.170602390543,0.080769251944,0.000000000000,0.080769251944,0.108391274758,0.578156917158
credito_hipotecario,2023,472,6213912.275079261512,0.192557221743,0.001527849599,0.194085071341,0.141642027650,0.384946215552
credito_personal,2023,484,2498913.029459432699,0.183384531188,0.000000000000,0.183384531188,0.053794517005,0.488381646878
credito_nomina,2023,426,1810251.140252812300,0.165061936304,0.000000000000,0.165061936304,0.032133207828,0.971611699020
credito_automotriz,2023,140,2010096.392142354976,0.105880371556,0.000000000000,0.105880371556,0.019014057979,0.931566055911
tarjeta_credito,2024,562,9852061.856285458431,0.042359362361,0.000145924695,0.042505287056,0.129168671365,0.671242288094
credito_hipotecario,2024,428,5496821.773288726807,0.185104852701,0.001725719939,0.186830572640,0.101608042725,0.537833429539
credito_personal,2024,421,2390314.081291527022,0.080317774531,0.005385283263,0.085703057794,0.061827836506,0.398996910057
credito_nomina,2024,415,1804287.005151963094,0.103523315103,0.000000000000,0.103523315103,0.058045195305,0.322957915953
credito_automotriz,2024,128,1718380.437774560181,0.043092638219,0.000000000000,0.043092638219,0.014802143627,1.000000000000
