estimando_tipo,producto,ola,variable_codigos,universo,n_elegible,n_valido,n_positivo,masa_elegible,masa_valida,masa_positiva,faltantes_por_causa,estimacion,unidad,alcance
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=0&tdc_comp_pago=3,4",tenedores con costo=0 y pago valido,120,118,5,1931787.870308205253,1926769.107639902504,33036.402600744390,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=2;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.017146010111,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=1&tdc_comp_pago=3,4",tenedores con costo=1 y pago valido,7,7,0,224039.717068953789,224039.717068953789,0.000000000000,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000000000000,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=2&tdc_comp_pago=3,4",tenedores con costo=2 y pago valido,10,10,0,168344.100396960974,168344.100396960974,0.000000000000,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000000000000,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=3&tdc_comp_pago=3,4",tenedores con costo=3 y pago valido,29,29,0,496554.381626158895,496554.381626158895,0.000000000000,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000000000000,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=4&tdc_comp_pago=3,4",tenedores con costo=4 y pago valido,12,12,0,191120.376637969137,191120.376637969137,0.000000000000,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000000000000,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=5&tdc_comp_pago=3,4",tenedores con costo=5 y pago valido,96,96,4,1465448.906673611840,1465448.906673611840,45231.700786007226,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.030865423271,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=6&tdc_comp_pago=3,4",tenedores con costo=6 y pago valido,22,22,0,385480.077316509269,385480.077316509269,0.000000000000,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.000000000000,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=7&tdc_comp_pago=3,4",tenedores con costo=7 y pago valido,35,35,3,364097.933773727622,364097.933773727622,37635.363835872966,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.103366046178,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=8&tdc_comp_pago=3,4",tenedores con costo=8 y pago valido,75,75,5,1671268.216596048791,1671268.216596048791,78140.337209589503,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.046755114729,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
dano_por_nivel_costo_2024,tarjeta_credito,2024,"tdc_intereses=9&tdc_comp_pago=3,4",tenedores con costo=9 y pago valido,38,38,3,670675.959405036527,670675.959405036527,7070.742664246573,no_levantada=0;salto_no_aplica=0;no_sabe_no_contesto=0;blanco=0;codigo_invalido=0;peso_no_positivo=0,0.010542710776,proporcion ponderada,Mexico;18-70;localidades_50000_mas;descriptivo_no_causal
