estimando,categoria,edad,n_expuesto,n_valido,n_desconocido,masa_desconocido,n_fuera_denominador,masa_fuera_denominador,n_numerador,masa_numerador,masa_denominador,punto,ee,ic95_lo,ic95_hi,gl,precision_estado
distribucion_actual_15_mas,union_libre,15_17,18709,18709,0,0.000000000000,0,0.000000000000,663,242327.000000000000,6763737.000000000000,0.035827383590,0.001996810639,0.032112720941,0.039954004882,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,separada_union_libre,15_17,18709,18709,0,0.000000000000,0,0.000000000000,81,24939.000000000000,6763737.000000000000,0.003687162881,0.000502332571,0.002822694886,0.004815101215,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,separada_matrimonio,15_17,18709,18709,0,0.000000000000,0,0.000000000000,0,0.000000000000,6763737.000000000000,0.000000000000,0.000000000000,,,14555,NO-DISPONIBLE:PROPORCION-FRONTERA
distribucion_actual_15_mas,divorciada,15_17,18709,18709,0,0.000000000000,0,0.000000000000,0,0.000000000000,6763737.000000000000,0.000000000000,0.000000000000,,,14555,NO-DISPONIBLE:PROPORCION-FRONTERA
distribucion_actual_15_mas,viuda,15_17,18709,18709,0,0.000000000000,0,0.000000000000,1,546.000000000000,6763737.000000000000,0.000080724605,0.000084358379,0.000010408131,0.000625796068,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,casada,15_17,18709,18709,0,0.000000000000,0,0.000000000000,31,13119.000000000000,6763737.000000000000,0.001939608237,0.000439509937,0.001243786487,0.003023520868,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,soltera,15_17,18709,18709,0,0.000000000000,0,0.000000000000,17933,6482806.000000000000,6763737.000000000000,0.958465120687,0.002109202692,0.954128222847,0.962408145919,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
union_libre_entre_union_o_casada,union_libre,15_17,18709,694,0,0.000000000000,18015,6508291.000000000000,663,242327.000000000000,255446.000000000000,0.948642765986,0.011278390002,0.921468275734,0.966753283270,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
union_libre_entre_union_o_casada,actualmente_casada,15_17,18709,694,0,0.000000000000,18015,6508291.000000000000,31,13119.000000000000,255446.000000000000,0.051357234014,0.011278390002,0.033246716730,0.078531724266,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,union_libre,18_29,65507,65507,0,0.000000000000,0,0.000000000000,15712,5637545.000000000000,23702393.000000000000,0.237847081516,0.003122342331,0.231781158134,0.244021329154,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,separada_union_libre,18_29,65507,65507,0,0.000000000000,0,0.000000000000,2603,907966.000000000000,23702393.000000000000,0.038306933819,0.001073375450,0.036257575877,0.040467262135,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,separada_matrimonio,18_29,65507,65507,0,0.000000000000,0,0.000000000000,485,176378.000000000000,23702393.000000000000,0.007441358347,0.000432596609,0.006639630503,0.008339081234,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,divorciada,18_29,65507,65507,0,0.000000000000,0,0.000000000000,195,68185.000000000000,23702393.000000000000,0.002876713756,0.000315854512,0.002319543185,0.003567242077,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,viuda,18_29,65507,65507,0,0.000000000000,0,0.000000000000,120,37056.000000000000,23702393.000000000000,0.001563386448,0.000179728987,0.001247920453,0.001958443772,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,casada,18_29,65507,65507,0,0.000000000000,0,0.000000000000,6964,2425213.000000000000,23702393.000000000000,0.102319331217,0.002130113369,0.098218871255,0.106570747433,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,soltera,18_29,65507,65507,0,0.000000000000,0,0.000000000000,39428,14450050.000000000000,23702393.000000000000,0.609645194897,0.003388336778,0.602983672549,0.616266075517,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
union_libre_entre_union_o_casada,union_libre,18_29,65507,22676,0,0.000000000000,42831,15639635.000000000000,15712,5637545.000000000000,8062758.000000000000,0.699208012940,0.005668997793,0.687980498782,0.710201701961,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
union_libre_entre_union_o_casada,actualmente_casada,18_29,65507,22676,0,0.000000000000,42831,15639635.000000000000,6964,2425213.000000000000,8062758.000000000000,0.300791987060,0.005668997793,0.289798298039,0.312019501218,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,union_libre,30_44,73324,73324,0,0.000000000000,0,0.000000000000,21254,7680699.000000000000,26608567.000000000000,0.288655116226,0.003091490664,0.282633397201,0.294752417605,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,separada_union_libre,30_44,73324,73324,0,0.000000000000,0,0.000000000000,4417,1582398.000000000000,26608567.000000000000,0.059469493415,0.001280591963,0.057008438324,0.062029803594,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
distribucion_actual_15_mas,separada_matrimonio,30_44,73324,73324,0,0.000000000000,0,0.000000000000,2245,790767.000000000000,26608567.000000000000,0.029718511335,0.000870205053,0.028059436212,0.031472506409,14555,DISPONIBLE:TAYLOR-RATIO-LOGIT-T95:SINGLETON-APORTE-PROMEDIO=56
