estrategia_a,estrategia_b,n00_masa,n01_masa,n10_masa,n11_masa,denominador_ambas,p_ambas,ee_ambas,ic95_lo_ambas,ic95_hi_ambas,n_soporte_a,masa_soporte_a,p_b_dado_a,ee_b_dado_a,ic95_lo_b_dado_a,ic95_hi_b_dado_a,n_soporte_b,masa_soporte_b,p_a_dado_b,ee_a_dado_b,ic95_lo_a_dado_b,ic95_hi_a_dado_b,estado_ambas,estado_b_dado_a,estado_a_dado_b
P6_10_1,P6_10_2,10906305.0,5618033.0,8340585.0,3423524.0,28288447.0,0.121021984699,0.007064515771,0.107169432455,0.134874536944,2668,11764109.0,0.291014304611,0.015770942371,0.260089636846,0.321938972376,2077,9041557.0,0.378643191654,0.016176366106,0.34692354322,0.410362840088,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_3,4995755.0,11528583.0,3969711.0,7794398.0,28288447.0,0.275532905712,0.008680107293,0.258512398764,0.292553412661,2668,11764109.0,0.662557444852,0.015744661036,0.631684311202,0.693430578502,4220,19322981.0,0.403374510382,0.012479743925,0.378903434045,0.427845586719,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_4,15297265.0,1227073.0,10236922.0,1527187.0,28288447.0,0.053986243925,0.004697082236,0.044775906064,0.063196581786,2668,11764109.0,0.12981748129,0.010852285428,0.108537629176,0.151097333404,649,2754260.0,0.554481784581,0.031326484802,0.493054818966,0.615908750196,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_5,15027852.0,1496486.0,10317313.0,1446796.0,28288447.0,0.051144412417,0.004075806761,0.043152311058,0.059136513776,2668,11764109.0,0.122983899588,0.009467846088,0.104418744264,0.141549054912,753,2943282.0,0.491558742927,0.025099823424,0.442341411325,0.540776074529,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_6,14516473.0,2007865.0,10864122.0,899987.0,28288447.0,0.031814648574,0.00340034508,0.025147035477,0.03848226167,2668,11764109.0,0.076502776368,0.00801137974,0.060793552977,0.09221199976,585,2907852.0,0.309502340559,0.046649976489,0.218028096963,0.400976584156,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_7,15348704.0,1175634.0,10089938.0,1674171.0,28288447.0,0.059182145983,0.004364114233,0.05062471298,0.067739578987,2668,11764109.0,0.142311755187,0.010164781914,0.122380003729,0.162243506644,753,2849805.0,0.587468616274,0.02498130376,0.538483685573,0.636453546975,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_1,P6_10_8,16249238.0,275100.0,11440792.0,323317.0,28288447.0,0.011429294793,0.001541278849,0.00840705711,0.014451532476,2668,11764109.0,0.027483339367,0.003702520634,0.020223201209,0.034743477526,176,598417.0,0.540287124196,0.049461946173,0.443298991437,0.637275256955,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_3,7414204.0,11832686.0,1551262.0,7490295.0,28288447.0,0.264782828128,0.010787394057,0.243630219145,0.28593543711,2077,9041557.0,0.828429771554,0.012192599639,0.804521746011,0.852337797096,4220,19322981.0,0.387636617766,0.015379190717,0.357480121583,0.417793113949,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_4,17571805.0,1675085.0,7962382.0,1079175.0,28288447.0,0.038148965901,0.00412295492,0.03006441343,0.046233518372,2077,9041557.0,0.119357208056,0.011611150033,0.096589325917,0.142125090196,649,2754260.0,0.391820307451,0.032031505294,0.329010892774,0.454629722128,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_5,17618555.0,1628335.0,7726610.0,1314947.0,28288447.0,0.046483534427,0.003627809635,0.039369894351,0.053597174503,2077,9041557.0,0.145433690237,0.010089049462,0.125650439793,0.165216940682,753,2943282.0,0.446762151911,0.025540689251,0.39668034253,0.496843961292,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_6,17334441.0,1912449.0,8046154.0,995403.0,28288447.0,0.035187615637,0.00348798208,0.028348158332,0.042027072942,2077,9041557.0,0.110091989687,0.010419408633,0.08966094995,0.130523029425,585,2907852.0,0.342315564891,0.049943196068,0.244383766701,0.440247363081,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
P6_10_2,P6_10_7,17695531.0,1551359.0,7743111.0,1298446.0,28288447.0,0.045900222094,0.004198051597,0.037668415278,0.05413202891,2077,9041557.0,0.14360867271,0.011547193824,0.120966199976,0.166251145444,753,2849805.0,0.455626262148,0.026133338467,0.404382348457,0.506870175839,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION,ESTIMABLE:T95-LINEALIZACION
