conteo,n_numerador,masa_numerador,masa_denominador,p,ee,ic95_lo,ic95_hi,estado
0,619,2781942.0,28288447.0,0.09834198392,0.005520063889,0.087517891245,0.109166076595,ESTIMABLE:T95-LINEALIZACION
1,2062,9791464.0,28288447.0,0.346129428738,0.011939067682,0.322718544797,0.369540312679,ESTIMABLE:T95-LINEALIZACION
2,1805,8665003.0,28288447.0,0.306308897056,0.013858752903,0.279133772127,0.333484021985,ESTIMABLE:T95-LINEALIZACION
3,1053,4268030.0,28288447.0,0.150875373257,0.007078348554,0.136995696811,0.164755049704,ESTIMABLE:T95-LINEALIZACION
4,451,1899322.0,28288447.0,0.067141260883,0.005064396807,0.057210669228,0.077071852538,ESTIMABLE:T95-LINEALIZACION
5,175,672408.0,28288447.0,0.023769703583,0.002625278602,0.018621890177,0.028917516988,ESTIMABLE:T95-LINEALIZACION
6,46,185551.0,28288447.0,0.006559250142,0.00224931312,0.002148653786,0.010969846498,ESTIMABLE:T95-LINEALIZACION
7,9,13747.0,28288447.0,0.000485958102,0.000201761027,9.0332236e-05,0.000881583967,ESTIMABLE:T95-LINEALIZACION
8,4,10980.0,28288447.0,0.000388144319,0.000212378446,0.0,0.000804589495,ESTIMABLE:T95-LINEALIZACION
media,6224,52182263.0,28288447.0,1.844649266183,0.02829055535,1.7891753443,1.900123188065,ESTIMABLE:T95-LINEALIZACION
>=1,5605,25506505.0,28288447.0,0.90165801608,0.005520063889,0.890833923405,0.912482108755,ESTIMABLE:T95-LINEALIZACION
>=2,3543,15715041.0,28288447.0,0.555528587342,0.013401119071,0.529250819964,0.58180635472,ESTIMABLE:T95-LINEALIZACION
>=4,685,2782008.0,28288447.0,0.098344317028,0.006158574139,0.086268192807,0.110420441249,ESTIMABLE:T95-LINEALIZACION
