# PROPUESTA; NO FIRMA, NO ADOPTA, NO EDITA CONSUMIDORES.
# bin conforme a la regla firmada; no conforme a tolerancia del comparador.
slot	consumidor	estimando_universo	referencia_legacy	calc_result	sello_generacion	delta_admisible	bin	decision	siguiente_accion
RES-0025	milpa/tramite.yaml:tramite.evasion_norma:evade_norma_envipe2025	p ponderada por delito de evade/cumple norma; ENVIPE 2025, n=40 280	milpa/tramite.yaml::0.562774 (conducta_p_medido; LEGACY-GEN1)	CALC-EVASION-NORMA-0001-v1_1::RESULT-EVASIONNORMA-A-P-EVADE	COINCIDE; cuenta_gen2=SI; familia=EVASION-NORMA-DIRECTA	4.787844096743044e-07	2	Regla con p medida: firma individual obligatoria aunque el delta sea cero o redondee al mismo punto.	Mesa decide individualmente si cambia la autoridad numérica del consumidor al RESULT GEN2.
RES-0026	milpa/tramite.yaml:tramite.evasion_norma:cumple_norma_envipe2025	p ponderada por delito de evade/cumple norma; ENVIPE 2025, n=40 280	milpa/tramite.yaml::0.437226 (conducta_p_medido; LEGACY-GEN1)	CALC-EVASION-NORMA-0001-v1_1::RESULT-EVASIONNORMA-A-P-CUMPLE	COINCIDE; cuenta_gen2=SI; familia=EVASION-NORMA-DIRECTA	-4.787844096743044e-07	2	Regla con p medida: firma individual obligatoria aunque el delta sea cero o redondee al mismo punto. Además alimenta RES-0124:celda_AGREGADO.	Mesa decide individualmente si cambia la autoridad numérica del consumidor al RESULT GEN2.
RES-0028	milpa/tramite.yaml:civico.denuncia.miedo_desconfianza:denuncia_por_otra_razon	legacy q=1-p(C2,U4) persona vs candidato p(C2 complementario,U1) delito	milpa/tramite.yaml::0.705687 (conducta_p_derivado; LEGACY-GEN1)	CALC-ENVIPE-0001::RESULT-ENVIPE-DEN-P-COMPLEMENTO-C2-U1	COINCIDE; cuenta_gen2=SI; familia=ENVIPE-U4-VS-U1-NO-COMPARABLE	NO-COMPARABLE:evento,poblacion,transformacion,unidad	3	NO-COMPARABLE; no hay delta sustantivo autorizable. Aunque alimenta RES-0124:celda_AGREGADO, sin delta comparable no puede pasar a bin 2.	Resolver la ruptura de estimando/universo y emitir un RESULT sucesor compatible antes de volver a comparar.
RES-0031	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:tiene_ahorros_enif2024	p ponderada de persona 18+ con/sin ahorro; ENIF 2024, n=13 502	milpa/tramite.yaml::0.64208 (conducta_p_medido; LEGACY-GEN1)	CALC-TIENE-AHORROS-0001-v1_1::RESULT-TIENEAHORROS-A-P-TIENE	COINCIDE; cuenta_gen2=SI; familia=TIENE-AHORROS-DIRECTA	-4.3341812183683714e-07	2	Regla con p medida: firma individual obligatoria aunque el delta sea cero o redondee al mismo punto. Además alimenta RES-0129:celda_AGREGADO.	Mesa decide individualmente si cambia la autoridad numérica del consumidor al RESULT GEN2.
RES-0032	milpa/tramite.yaml:dinero.ahorro.tiene_ahorros:no_tiene_ahorros_enif2024	p ponderada de persona 18+ con/sin ahorro; ENIF 2024, n=13 502	milpa/tramite.yaml::0.35792 (conducta_p_medido; LEGACY-GEN1)	CALC-TIENE-AHORROS-0001-v1_1::RESULT-TIENEAHORROS-A-P-NO-TIENE	COINCIDE; cuenta_gen2=SI; familia=TIENE-AHORROS-DIRECTA	4.3341812183683714e-07	2	Regla con p medida: firma individual obligatoria aunque el delta sea cero o redondee al mismo punto. Además alimenta RES-0129:celda_AGREGADO.	Mesa decide individualmente si cambia la autoridad numérica del consumidor al RESULT GEN2.
RES-0033	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:recibe_dinero_familiares_para_vejez	p ponderada de persona que recibe/no recibe dinero familiar para vejez; ENIF 2024, n=11 895	milpa/tramite.yaml::0.457707 (conducta_p_medido; LEGACY-GEN1)	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1::RESULT-DFVEJEZ-A-P-RECIBE	COINCIDE; cuenta_gen2=SI; familia=APOYO-FAMILIAR-DIRECTA	-4.330637651817071e-07	2	Regla con p medida: firma individual obligatoria aunque el delta sea cero o redondee al mismo punto. Además alimenta RES-0129:celda_AGREGADO, RES-0131:celda_M.	Mesa decide individualmente si cambia la autoridad numérica del consumidor al RESULT GEN2.
RES-0034	milpa/tramite.yaml:familia.apoyo.recibe_dinero_familiares:no_recibe_dinero_familiares_para_vejez	p ponderada de persona que recibe/no recibe dinero familiar para vejez; ENIF 2024, n=11 895	milpa/tramite.yaml::0.542293 (conducta_p_medido; LEGACY-GEN1)	CALC-DINERO-FAMILIARES-VEJEZ-0001-v1_1::RESULT-DFVEJEZ-A-P-NO-RECIBE	COINCIDE; cuenta_gen2=SI; familia=APOYO-FAMILIAR-DIRECTA	4.330637651817071e-07	2	Regla con p medida: firma individual obligatoria aunque el delta sea cero o redondee al mismo punto. Además alimenta RES-0129:celda_AGREGADO.	Mesa decide individualmente si cambia la autoridad numérica del consumidor al RESULT GEN2.
RES-0053	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_informal	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	milpa/tramite.yaml::0.357153 (conducta_p_asignado; LEGACY-GEN1)	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-SOLO-INFORMAL	COINCIDE; cuenta_gen2=SI; familia=VIAS-AHORRO-PARTICION	-4.33418121781326e-07	2	Insumo directo del marcador/agregado (RES-0149:celda_AGREGADO): firma individual obligatoria aunque el delta sea cero.	Mesa decide individualmente el cambio de autoridad y preserva la dependencia explícita del agregado.
RES-0054	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_ambas_vias	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	milpa/tramite.yaml::0.204767 (conducta_p_asignado; LEGACY-GEN1)	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-AMBAS-VIAS	COINCIDE; cuenta_gen2=SI; familia=VIAS-AHORRO-PARTICION	4.334181217535704e-07	2	Insumo directo del marcador/agregado (RES-0149:celda_AGREGADO): firma individual obligatoria aunque el delta sea cero.	Mesa decide individualmente el cambio de autoridad y preserva la dependencia explícita del agregado.
RES-0055	milpa/tramite.yaml:dinero.ahorro.via_informal:ahorra_solo_formal	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	milpa/tramite.yaml::0.08016 (conducta_p_asignado; LEGACY-GEN1)	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-SOLO-FORMAL	COINCIDE; cuenta_gen2=SI; familia=VIAS-AHORRO-PARTICION	-4.334181217674482e-07	3	Sin se_mueve_si ni IC legacy propio; la cercanía numérica no crea criterio.	Mesa decide este renglón dentro del bloque bin 3 y conserva la identidad de la partición completa.
RES-0056	milpa/tramite.yaml:dinero.ahorro.via_informal:no_ahorra	partición F/I de ahorro (solo informal, ambas, solo formal, ninguno); ENIF 2024, n=13 502	milpa/tramite.yaml::0.35792 (conducta_p_asignado; LEGACY-GEN1)	CALC-HORIZONTE-VIA-DERIVADOS-0001-v1_1::RESULT-HVD-A-NO-AHORRA	COINCIDE; cuenta_gen2=SI; familia=VIAS-AHORRO-PARTICION	4.3341812183683714e-07	2	Insumo directo del marcador/agregado (RES-0154:celda_AGREGADO): firma individual obligatoria aunque el delta sea cero.	Mesa decide individualmente el cambio de autoridad y preserva la dependencia explícita del agregado.
