eje	codigo	etiqueta	estado	elegibles_n	elegibles_masa	remesas_validas_n	remesas_validas_masa	remesas_no_validas_n	remesas_no_validas_masa	receptores_n	receptores_masa	prevalencia	prevalencia_ic95_lo	prevalencia_ic95_hi	remesas_media	remesas_media_ic95_lo	remesas_media_ic95_hi	remesas_mediana	remesas_mediana_ic95_lo	remesas_mediana_ic95_hi	participacion_n	participacion_masa	participacion_media	participacion_media_ic95_lo	participacion_media_ic95_hi	participacion_agregada	participacion_agregada_ic95_lo	participacion_agregada_ic95_hi	ge50	ge50_ic95_lo	ge50_ic95_hi	r_mayor_y_n
total	TOTAL	Total	REPORTADO	90102	37560123.0	90102	37560123.0	0	0.0	5208	1716276.0	0.04569409956405095	0.043810853806788064	0.04770161939482885	14455.429835947105	13771.81524958404	15240.241957134547	8310.32	7581.52	8804.34	5208	1716276.0	0.30492285849567674	0.295044490110664	0.3152708703754818	0.27468798729582455	0.2624925675282102	0.2889619538574873	0.24146058093220438	0.22554050841088882	0.2566831304089049	0
tam_loc	1	100 000 y más	REPORTADO	33031	18228094.0	33031	18228094.0	0	0.0	793	340535.0	0.01868187644851952	0.01698148117644683	0.020339734412643144	14374.642270486169	12367.173715023655	16579.844141690086	6358.69	5869.56	7868.85	793	340535.0	0.22446071768268552	0.20349203020630693	0.24595200792829927	0.20270391052188697	0.1770744755158901	0.2306978524665299	0.14552982806466297	0.11488610217482609	0.17635629964599178	0
tam_loc	2	15 000 a 99 999	REPORTADO	11501	5490755.0	11501	5490755.0	0	0.0	511	220776.0	0.04020867804154438	0.03554539380767578	0.044643289274593	13902.040257455501	12358.623357415729	15606.683441622385	8804.34	6260.86	9836.06	511	220776.0	0.26492028610603024	0.24115432559229472	0.2891195715754348	0.24326522982041088	0.21734130959319986	0.27091551315166595	0.20662572018697684	0.16873901964494126	0.24665886499007658	0
tam_loc	3	2 500 a 14 999	REPORTADO	11538	5205548.0	11538	5205548.0	0	0.0	648	269072.0	0.051689466699759566	0.046766449621770415	0.05671306510135885	14596.258658240164	12741.742380594196	16537.33534198743	8804.34	7377.04	10271.73	648	269072.0	0.29438855159878946	0.2667904660812596	0.3222184116692197	0.2699001006397911	0.23841347741888305	0.3016103000300837	0.22313730154010822	0.18408687775178886	0.2638519571987171	0
tam_loc	4	Menos de 2 500	REPORTADO	34032	8635726.0	34032	8635726.0	0	0.0	3256	885893.0	0.10258465819781684	0.09599455802737183	0.10932499801675019	14581.62232004319	13740.759751379033	15539.073670563963	8804.34	7826.08	8852.45	3256	885893.0	0.3490210397308909	0.3359274536951665	0.36312945950498465	0.3312101476203718	0.31035509407273076	0.35193009636982525	0.2925827385474318	0.2701574591417699	0.31557350091277037	0
tam_loc	RESIDUO	Ausente/desconocido	VACIA	0	0.0	0	0.0	0	0.0	0	0.0									0	0.0										0
est_socio	1	Bajo	REPORTADO	21142	7095004.0	21142	7095004.0	0	0.0	2018	661931.0	0.0932953667115621	0.08583453130420327	0.1011246255674302	14398.707455263466	13188.610006145786	15743.25691013246	8315.21	7377.04	8852.45	2018	661931.0	0.3522619598876794	0.3359612958171776	0.3697413926715185	0.3384159068044094	0.31041642639265576	0.3656370751157727	0.3006929725303695	0.2730604536973099	0.3294217470326549	0
est_socio	2	Medio bajo	REPORTADO	47308	18820115.0	47308	18820115.0	0	0.0	2662	823330.0	0.0437473416076363	0.041195747470443245	0.046239574086775405	14009.771470030244	13175.639471121864	14859.921563041606	7955.79	7336.95	8804.34	2662	823330.0	0.2854275857504356	0.2721308753773628	0.2984094168917035	0.25925574542985286	0.244313186041725	0.2740149466114061	0.21699561536686382	0.19704446165100445	0.23666093721937745	0
est_socio	3	Medio alto	REPORTADO	15772	7978511.0	15772	7978511.0	0	0.0	422	181593.0	0.02276026190851902	0.02018570420855913	0.025743241944153356	16772.641555676702	13715.656078294403	20745.088423353296	8804.34	7336.95	10275.986249999976	422	181593.0	0.2583697150669934	0.22785822600205696	0.292509589951533	0.23285569088117827	0.1928956818801963	0.27848767889865106	0.18697306614241738	0.14207952861712175	0.23698451639825954	0
est_socio	4	Alto	REPORTADO	5880	3666493.0	5880	3666493.0	0	0.0	106	49422.0	0.013479365704502913	0.01048234782378058	0.01652219242409507	14125.228240662062	11212.44430342169	17441.97915626503	7955.8	5901.63	11739.13	106	49422.0	0.16671617241405506	0.13511191580286594	0.2000986422159021	0.15229635022238333	0.11897308847188726	0.18931807491850788	0.05590627655699891	0.02033858695282432	0.0996028657171455	0
est_socio	RESIDUO	Ausente/desconocido	VACIA	0	0.0	0	0.0	0	0.0	0	0.0									0	0.0										0
