codigo,denominador_ponderado,ee,estado,etiqueta,ic95_hi,ic95_lo,n,numerador_ponderado,proporcion,replicas_validas,unidad,universo,upm_n,variable
1,91619046.0,0.00225439555,OBSERVADA,Sí,0.500614525239,0.49179640626,107360,45469201.0,0.49628546667,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,10133,segsoc
2,91619046.0,0.00225439555,OBSERVADA,No,0.50820359374,0.499385474761,109720,46149845.0,0.50371453333,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,9780,segsoc
18-29,91619046.0,0.001376604418,OBSERVADA,18–29,0.265906785812,0.260582277012,57456,24114987.0,0.263209322219,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,9510,tramo_edad
30-44,91619046.0,0.001465285451,OBSERVADA,30–44,0.29055382222,0.284839651272,62262,26348844.0,0.287591337723,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,9643,tramo_edad
45-59,91619046.0,0.001364780759,OBSERVADA,45–59,0.252901983449,0.247643431042,54059,22933802.0,0.25031697012,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,9575,tramo_edad
60-96,91619046.0,0.001589205923,OBSERVADA,60–96,0.202008221501,0.195730974863,43303,18221413.0,0.198882369939,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,8764,tramo_edad
1,91619046.0,0.002117323366,OBSERVADA,100 000 y más,0.49161278849,0.483358924114,79470,44660188.0,0.487455283042,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,6757,tam_loc
2,91619046.0,0.001557490502,OBSERVADA,15 000 a 99 999,0.149460973373,0.143367781411,27882,13408464.0,0.14635018138,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,943,tam_loc
3,91619046.0,0.001551019167,OBSERVADA,2 500 a 14 999,0.141428988684,0.135513711401,28175,12684299.0,0.138446093403,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,751,tam_loc
4,91619046.0,0.001555233354,OBSERVADA,Menos de 2 500,0.23067983859,0.224755671887,81553,20866095.0,0.227748442174,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,1760,tam_loc
1,91619046.0,0.00160035587,OBSERVADA,Bajo,0.188855265783,0.182625994532,50567,17028872.0,0.185866069813,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,1166,est_socio
2,91619046.0,0.002271865664,OBSERVADA,Medio bajo,0.512149263557,0.503583508077,114949,46512481.0,0.507672618639,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,4775,est_socio
3,91619046.0,0.00176421275,OBSERVADA,Medio alto,0.214306216554,0.207293629367,37794,19320022.0,0.210873424724,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,2902,est_socio
4,91619046.0,0.001460063008,OBSERVADA,Alto,0.098506871291,0.092698296498,13770,8757671.0,0.095587886824,1000,persona,integrantes del hogar de 18 a 96 años con factor persona válido,1368,est_socio
