serie_id	instrumento	dominio	conducta	conducta_texto	eje	segmento	unidad	ola	calc	result_p	result_lo	result_hi	par_con_anterior	cita_par	marca_2020	nota
ENIGH-NO_RECIBE_REMESAS-NACIONAL-FAMILIA.SEGURO.VOLATILIDAD_AUSENCIA_ESTADO	ENIGH	familia	no_recibe_remesas	Hogares: universo COMPLETO de concentradohogar de ENIGH 2022 Nueva Serie, llave folioviv + foliohog, SIN filtro adicional -- la regla no declara ninguno, y el SI de modelo 3.5 es CIRCULAR con el desenlace (incluye `hogar con remesas` entre sus disparadores para medir recibir remesas), de modo que lo que se mide es la TASA BASE, no la condicional. UNA SOLA OLA: 2012, 2014, 2016, 2018 y 2020 existen en corpus y quedan deliberadamente FUERA. Entran las filas con factor finito y > 0 y remesas no nula.	NACIONAL	familia.seguro.volatilidad_ausencia_estado	proporcion ponderada de hogares con remesas == 0, CONTADA (nunca 1 - p)	2022	CALC-ENIGH-0001	RESULT-ENIGH-A-P-COMPLEMENTO			PRIMERA		NO	Única ola con RESULT para esta serie en el catálogo (k=1).
ENIGH-R-NACIONAL-FAM-M-05	ENIGH	familia	R	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2016 Nueva Serie, sin filtro adicional (asi lo declara el marco v1_2); 70311 filas leidas, 0 vacios en remesas	NACIONAL	FAM-M-05	proporcion ponderada R en [0,1]	2016	CALC-R-FAM-M-05-v3	RESULT-R-FAM-M-05-PUNTO	RESULT-R-FAM-M-05-IC-LO	RESULT-R-FAM-M-05-IC-HI	PRIMERA		NO	Única ola con RESULT para esta serie en el catálogo (k=1).
ENIGH-R-NACIONAL-FAM-M-06	ENIGH	familia	R	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2018 Nueva Serie, sin filtro adicional (asi lo declara el marco v1_2); 74647 filas leidas, 0 vacios en remesas	NACIONAL	FAM-M-06	proporcion ponderada R en [0,1]	2018	CALC-R-FAM-M-06-v3	RESULT-R-FAM-M-06-PUNTO	RESULT-R-FAM-M-06-IC-LO	RESULT-R-FAM-M-06-IC-HI	PRIMERA		NO	Única ola con RESULT para esta serie en el catálogo (k=1).
ENIGH-R-NACIONAL-FAM-M-07	ENIGH	familia	R	hogares -- universo completo de concentradohogar (folioviv+foliohog) de ENIGH 2020 Nueva Serie, sin filtro adicional (asi lo declara el marco v1_2); 89006 filas leidas, 0 vacios en remesas	NACIONAL	FAM-M-07	proporcion ponderada R en [0,1]	2020	CALC-R-FAM-M-07-v3	RESULT-R-FAM-M-07-PUNTO	RESULT-R-FAM-M-07-IC-LO	RESULT-R-FAM-M-07-IC-HI	PRIMERA		SI	Única ola con RESULT para esta serie en el catálogo (k=1).
ENIGH-RECIBE_REMESAS-NACIONAL-FAMILIA.SEGURO.VOLATILIDAD_AUSENCIA_ESTADO	ENIGH	familia	recibe_remesas	Hogares: el universo COMPLETO de `concentradohogar` (folioviv + foliohog) de cada ola de ENIGH Nueva Serie 2016, 2018, 2020 y 2022, SIN filtro adicional -- el mismo universo que milpa/tramite.yaml declara para familia.seguro.volatilidad_ausencia_ estado, deliberadamente, para que el punto 2022 sea comparable contra la cifra ya sellada. UNA OLA A LA VEZ, jamas agrupadas ni promediadas. Las olas 2012 y 2014 existen en corpus y quedan FUERA del universo congelado (§0.1 de la sellada).	NACIONAL	familia.seguro.volatilidad_ausencia_estado	[2022] proporcion ponderada de hogares con remesas>0, universo completo de concentradohogar [0,1]	2022	CALC-B-0001	RESULT-B-ENIGH-2022-P	RESULT-B-ENIGH-2022-IC-LO	RESULT-B-ENIGH-2022-IC-HI	PRIMERA		NO	Única ola con RESULT para esta serie en el catálogo (k=1).
ENIGH-REMINT-NACIONAL-PARTICIPACION_AGREGADA_DE_REMESAS	ENIGH	ingreso-y-gasto	participacion agregada de remesas	Marco completo de hogares del concentrado ENIGH 2016; dominio receptor remesas>0; dominio de participacion anade ing_cor>0 valido.	NACIONAL	TOTAL	proporcion	2016	CALC-ENIGH2016-INTENSIDAD-REMESAS-0001	RESULT-ENIGH16-REMINT-PARTICIPACION-AGREGADA	RESULT-ENIGH16-REMINT-PARTICIPACION-AGREGADA-IC-LO	RESULT-ENIGH16-REMINT-PARTICIPACION-AGREGADA-IC-HI	PRIMERA		NO	Primera ola de la serie.
ENIGH-REMINT-NACIONAL-PARTICIPACION_AGREGADA_DE_REMESAS	ENIGH	ingreso-y-gasto	participacion agregada de remesas	Marco completo de hogares del concentrado ENIGH 2018; dominio receptor remesas>0; dominio de participacion anade ing_cor>0 valido.	NACIONAL	TOTAL	proporcion	2018	CALC-ENIGH2018-INTENSIDAD-REMESAS-0001	RESULT-ENIGH18-REMINT-PARTICIPACION-AGREGADA	RESULT-ENIGH18-REMINT-PARTICIPACION-AGREGADA-IC-LO	RESULT-ENIGH18-REMINT-PARTICIPACION-AGREGADA-IC-HI	COMPARABLE	forense/prereg-caja/ENIGH-SERIE-OLAS-ABIERTAS-spec-v1_0.md:§2-§3	NO	Par (2016,2018): forense/prereg-caja/ENIGH-SERIE-OLAS-ABIERTAS-spec-v1_0.md:§2-§3 declara que los CALC de 2016/2018/2020 son el mismo procedimiento estadístico del sellado 2022, byte-exacto por oro-check (mismo universo/filtros/ponderador/metodo/semilla/tolerancia).
ENIGH-REMINT-NACIONAL-PARTICIPACION_AGREGADA_DE_REMESAS	ENIGH	ingreso-y-gasto	participacion agregada de remesas	Marco completo de hogares del concentrado ENIGH 2020; dominio receptor remesas>0; dominio de participacion anade ing_cor>0 valido.	NACIONAL	TOTAL	proporcion	2020	CALC-ENIGH2020-INTENSIDAD-REMESAS-0001	RESULT-ENIGH20-REMINT-PARTICIPACION-AGREGADA	RESULT-ENIGH20-REMINT-PARTICIPACION-AGREGADA-IC-LO	RESULT-ENIGH20-REMINT-PARTICIPACION-AGREGADA-IC-HI	COMPARABLE	forense/prereg-caja/ENIGH-SERIE-OLAS-ABIERTAS-spec-v1_0.md:§2-§3	SI	Par (2018,2020): forense/prereg-caja/ENIGH-SERIE-OLAS-ABIERTAS-spec-v1_0.md:§2-§3 declara que los CALC de 2016/2018/2020 son el mismo procedimiento estadístico del sellado 2022, byte-exacto por oro-check (mismo universo/filtros/ponderador/metodo/semilla/tolerancia).
ENIGH-REMINT-NACIONAL-PARTICIPACION_AGREGADA_DE_REMESAS	ENIGH	ingreso-y-gasto	participacion agregada de remesas	Marco completo de hogares del concentrado ENIGH 2022; dominio receptor remesas>0; dominio de participacion anade ing_cor>0 valido.	NACIONAL	TOTAL	proporcion	2022	CALC-ENIGH2022-INTENSIDAD-REMESAS-0001	RESULT-ENIGH22-REMINT-PARTICIPACION-AGREGADA	RESULT-ENIGH22-REMINT-PARTICIPACION-AGREGADA-IC-LO	RESULT-ENIGH22-REMINT-PARTICIPACION-AGREGADA-IC-HI	COMPARABLE	forense/prereg-caja/ENIGH-SERIE-OLAS-ABIERTAS-spec-v1_0.md:§2-§3	SI	Par (2020,2022): forense/prereg-caja/ENIGH-SERIE-OLAS-ABIERTAS-spec-v1_0.md:§2-§3 declara que los CALC de 2016/2018/2020 son el mismo procedimiento estadístico del sellado 2022, byte-exacto por oro-check (mismo universo/filtros/ponderador/metodo/semilla/tolerancia).
ENIGH-REMINT-NACIONAL-PARTICIPACION_GE50_DE_REMESAS	ENIGH	ingreso-y-gasto	participacion ge50 de remesas	Marco completo de hogares del concentrado ENIGH 2016; dominio receptor remesas>0; dominio de participacion anade ing_cor>0 valido.	NACIONAL	TOTAL	proporcion	2016	CALC-ENIGH2016-INTENSIDAD-REMESAS-0001	RESULT-ENIGH16-REMINT-PARTICIPACION-GE50	RESULT-ENIGH16-REMINT-PARTICIPACION-GE50-IC-LO	RESULT-ENIGH16-REMINT-PARTICIPACION-GE50-IC-HI	PRIMERA		NO	Primera ola de la serie.
