serie_id	instrumento	dominio	conducta	conducta_texto	eje	segmento	unidad	ola	calc	result_p	result_lo	result_hi	par_con_anterior	cita_par	marca_2020	nota
ENCIG-C-LUZ-DIGITAL-EDAD-18-29	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	18-29	TRAMITE	2015	CALC-ENCIG-SERIE-CANAL-2015	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-18-29-P	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-18-29-IC-LO	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-18-29-IC-HI	PRIMERA		NO	
ENCIG-C-LUZ-DIGITAL-EDAD-18-29	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	18-29	TRAMITE	2017	CALC-ENCIG-SERIE-CANAL-2017	RESULT-ENCIG-SERIE-2017-DIGITAL-EDAD-18-29-P	RESULT-ENCIG-SERIE-2017-DIGITAL-EDAD-18-29-IC-LO	RESULT-ENCIG-SERIE-2017-DIGITAL-EDAD-18-29-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 5 (ola 2015, veredicto CAMBIO-MENOR) y 4 (ola 2017, veredicto MISMO-INSTRUMENTO) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-18-29	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	18-29	TRAMITE	2019	CALC-ENCIG-SERIE-CANAL-2019	RESULT-ENCIG-SERIE-2019-DIGITAL-EDAD-18-29-P	RESULT-ENCIG-SERIE-2019-DIGITAL-EDAD-18-29-IC-LO	RESULT-ENCIG-SERIE-2019-DIGITAL-EDAD-18-29-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 4 (ola 2017, veredicto MISMO-INSTRUMENTO) y 3 (ola 2019, veredicto MISMO-INSTRUMENTO) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-18-29	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	18-29	TRAMITE	2021	CALC-ENCIG-SERIE-CANAL-2021	RESULT-ENCIG-SERIE-2021-DIGITAL-EDAD-18-29-P	RESULT-ENCIG-SERIE-2021-DIGITAL-EDAD-18-29-IC-LO	RESULT-ENCIG-SERIE-2021-DIGITAL-EDAD-18-29-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 3 (ola 2019, veredicto MISMO-INSTRUMENTO) y 2 (ola 2021, veredicto MISMO-INSTRUMENTO) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-18-29	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	18-29	TRAMITE	2023	CALC-ENCIG-SERIE-CANAL-2023	RESULT-ENCIG-SERIE-2023-DIGITAL-EDAD-18-29-P	RESULT-ENCIG-SERIE-2023-DIGITAL-EDAD-18-29-IC-LO	RESULT-ENCIG-SERIE-2023-DIGITAL-EDAD-18-29-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 2 (ola 2021, veredicto MISMO-INSTRUMENTO) y 6 (ola 2023, veredicto CAMBIO-MENOR) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-30-44	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	30-44	TRAMITE	2015	CALC-ENCIG-SERIE-CANAL-2015	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-30-44-P	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-30-44-IC-LO	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-30-44-IC-HI	PRIMERA		NO	
ENCIG-C-LUZ-DIGITAL-EDAD-30-44	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	30-44	TRAMITE	2017	CALC-ENCIG-SERIE-CANAL-2017	RESULT-ENCIG-SERIE-2017-DIGITAL-EDAD-30-44-P	RESULT-ENCIG-SERIE-2017-DIGITAL-EDAD-30-44-IC-LO	RESULT-ENCIG-SERIE-2017-DIGITAL-EDAD-30-44-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 5 (ola 2015, veredicto CAMBIO-MENOR) y 4 (ola 2017, veredicto MISMO-INSTRUMENTO) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-30-44	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	30-44	TRAMITE	2019	CALC-ENCIG-SERIE-CANAL-2019	RESULT-ENCIG-SERIE-2019-DIGITAL-EDAD-30-44-P	RESULT-ENCIG-SERIE-2019-DIGITAL-EDAD-30-44-IC-LO	RESULT-ENCIG-SERIE-2019-DIGITAL-EDAD-30-44-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 4 (ola 2017, veredicto MISMO-INSTRUMENTO) y 3 (ola 2019, veredicto MISMO-INSTRUMENTO) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-30-44	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	30-44	TRAMITE	2021	CALC-ENCIG-SERIE-CANAL-2021	RESULT-ENCIG-SERIE-2021-DIGITAL-EDAD-30-44-P	RESULT-ENCIG-SERIE-2021-DIGITAL-EDAD-30-44-IC-LO	RESULT-ENCIG-SERIE-2021-DIGITAL-EDAD-30-44-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 3 (ola 2019, veredicto MISMO-INSTRUMENTO) y 2 (ola 2021, veredicto MISMO-INSTRUMENTO) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-30-44	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	30-44	TRAMITE	2023	CALC-ENCIG-SERIE-CANAL-2023	RESULT-ENCIG-SERIE-2023-DIGITAL-EDAD-30-44-P	RESULT-ENCIG-SERIE-2023-DIGITAL-EDAD-30-44-IC-LO	RESULT-ENCIG-SERIE-2023-DIGITAL-EDAD-30-44-IC-HI	COMPARABLE	encig-canal-comparabilidad-texto-v1_0.tsv: filas 2 (ola 2021, veredicto MISMO-INSTRUMENTO) y 6 (ola 2023, veredicto CAMBIO-MENOR) contra ancla 2021	NO	
ENCIG-C-LUZ-DIGITAL-EDAD-45-59	ENCIG	Trámites y Estado	C-LUZ-DIGITAL	Pago ordinario del servicio de luz realizado por canal digital útil (Internet/app o cajero/kiosco) — numerador P7_3 ∈ {4,5}, denominador P7_3 ∈ {1,2,4,5,6}, N_TRA = 01	EDAD	45-59	TRAMITE	2015	CALC-ENCIG-SERIE-CANAL-2015	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-45-59-P	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-45-59-IC-LO	RESULT-ENCIG-SERIE-2015-DIGITAL-EDAD-45-59-IC-HI	PRIMERA		NO	
