calc_id	result_base	result_p	result_lo	result_hi	eje_a	clave_a	eje_b	clave_b	unidad	universo	evento	ponderador	ola_objetivo	edad_min	edad_max	tipo_intervalo	punto	limite_inferior	limite_superior	resultados_sha256	freeze_commit	emision_commit	piloto_spec	compatibilidad_documental	estado_admision	pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-01	RESULT-ASTRA-EDADXSEXO-01-P	RESULT-ASTRA-EDADXSEXO-01-LO	RESULT-ASTRA-EDADXSEXO-01-HI	edad	18-29	sexo	1 Hombre	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	18	29	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.5515325917858126	0.5258954347191392	0.5710098939066449	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-02	RESULT-ASTRA-EDADXSEXO-02-P	RESULT-ASTRA-EDADXSEXO-02-LO	RESULT-ASTRA-EDADXSEXO-02-HI	edad	18-29	sexo	2 Mujer	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	18	29	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.4924479863092237	0.47095696270375614	0.5173655977611396	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-03	RESULT-ASTRA-EDADXSEXO-03-P	RESULT-ASTRA-EDADXSEXO-03-LO	RESULT-ASTRA-EDADXSEXO-03-HI	edad	30-44	sexo	1 Hombre	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	30	44	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.6171050085004849	0.5956185259228562	0.6380526202384952	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-04	RESULT-ASTRA-EDADXSEXO-04-P	RESULT-ASTRA-EDADXSEXO-04-LO	RESULT-ASTRA-EDADXSEXO-04-HI	edad	30-44	sexo	2 Mujer	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	30	44	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.5468142899338411	0.5250250657764463	0.5666577222831346	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-05	RESULT-ASTRA-EDADXSEXO-05-P	RESULT-ASTRA-EDADXSEXO-05-LO	RESULT-ASTRA-EDADXSEXO-05-HI	edad	45-59	sexo	1 Hombre	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	45	59	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.6391701210081696	0.617099093316343	0.6630275354158245	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-06	RESULT-ASTRA-EDADXSEXO-06-P	RESULT-ASTRA-EDADXSEXO-06-LO	RESULT-ASTRA-EDADXSEXO-06-HI	edad	45-59	sexo	2 Mujer	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	45	59	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.5649748657182253	0.5412440559138172	0.5874302781006205	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-07	RESULT-ASTRA-EDADXSEXO-07-P	RESULT-ASTRA-EDADXSEXO-07-LO	RESULT-ASTRA-EDADXSEXO-07-HI	edad	60+	sexo	1 Hombre	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	60	96	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.5997172042117839	0.576609291103193	0.620985943093272	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-EDADXSEXO-0001	RESULT-ASTRA-EDADXSEXO-08	RESULT-ASTRA-EDADXSEXO-08-P	RESULT-ASTRA-EDADXSEXO-08-LO	RESULT-ASTRA-EDADXSEXO-08-HI	edad	60+	sexo	2 Mujer	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	60	96	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.5343323314443532	0.511379056485778	0.5577599235670697	393dca6367d1af5df80584f5d40b14b61b5a50a8e19e8d12dae9c1e603a1e55d	5bfcf842	50a73d47	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-ESCOLARIDADPROXYXSEXO-0001	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-01	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-01-P	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-01-LO	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-01-HI	escolaridad_proxy	hasta primaria	sexo	1 Hombre	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	NO-APLICA	NO-APLICA	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.5291490420919008	0.5031612321060085	0.5530513005726868	ae9227628f6b857896241a6373228de2285bc0c58711c5755fd509ad1bc6e3fa	5bfcf842	86c678af	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
CALC-ASTRA-ENVIPE-ESCOLARIDADPROXYXSEXO-0001	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-02	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-02-P	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-02-LO	RESULT-ASTRA-ESCOLARIDADPROXYXSEXO-02-HI	escolaridad_proxy	hasta primaria	sexo	2 Mujer	DELITO	BP1_20 ∈ {1,2}	BP1_20=2 ∧ BP1_23 ∈ {04,05,06,08}	FAC_DEL	ENVIPE 2025	NO-APLICA	NO-APLICA	PREDICTIVO-APROXIMADO-95; MARGINALES-2025-CONDICIONADOS	0.4613107505957653	0.43818779629108545	0.4843528235902802	ae9227628f6b857896241a6373228de2285bc0c58711c5755fd509ad1bc6e3fa	5bfcf842	86c678af	445531a31 §0-§3	COMPATIBLE-POR-SPEC	PENDIENTE-DE-CAJA	Claves exactas y n2025 por caja; main antes de COMMIT-2; regla ΔMAE/B-bis pendiente
