result_id	calc_id	resultados_sha256	resultado	ventana	eje	categoria	estado	n	upm	p	ic95_lo	ic95_hi	se	masa_ponderada	replicas_n	causa
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	nacional	MX	PUBLICABLE	55895	17001	0.11536087483286993	0.11172118123992292	0.11915609021520655	0.0020761023349126556	23748719.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	edad	15-29	PUBLICABLE	16956	10149	0.1309974842101588	0.12332340383356377	0.1388522910735121	0.003655427568480704	8106003.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	edad	30-44	PUBLICABLE	22301	11955	0.14423115771169445	0.13748619118157243	0.15137398528630094	0.0035610178337195453	8662934.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	edad	45-59	PUBLICABLE	12821	8819	0.07228709010990136	0.06515229707595345	0.08060709008508378	0.0038652747695842797	5468722.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	edad	60+	PUBLICABLE	3817	3237	0.021854856855452465	0.015330419186700524	0.03079832283152636	0.004035633646357649	1511060.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	escolaridad	ninguno	PUBLICABLE	1683	1437	0.016591531865994873	0.01023607113849619	0.02474337862595241	0.003555454148180274	678780.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	escolaridad	basica	PUBLICABLE	28112	12234	0.10188896629147996	0.09648579804591503	0.10736593141565014	0.002670597736840918	11529904.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	escolaridad	media_superior	PUBLICABLE	12746	8713	0.13705707628826572	0.12896849180930792	0.14622902188840817	0.004592629394084916	5671462.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	escolaridad	superior	PUBLICABLE	13352	8635	0.1322488601204738	0.1237363766184853	0.14184895358022875	0.004695727436775456	5868164.0	200	
RESULT-ENDIREH2016-DIS-TABLA	CALC-ENDIREH-PISOS-2016-DISCRIMINACION-0001	9478e84886d372142ff7635143516d9eca7faffd285934e6cca2e6f95c93ebd6	prueba_ingreso	octubre_2011_a_entrevista	localidad	U	PUBLICABLE	33153	13627	0.13426710795406735	0.1288736421427411	0.14118531272413712	0.0028925155197818886	15164116.0	200	
