dimension,categoria,n,masa,libre,directo,sin_clasificar
total,total,18689,45443693.0,0.4809714298527631,0.518945786382282,8.278376495501807e-05
sexo,hombre,8023,19706018.0,0.48756136323431754,0.5123701297745694,6.850699111307013e-05
sexo,mujer,10666,25737675.0,0.47592585577368585,0.5239804294676966,9.37147586174742e-05
sexo,desconocido,0,0.0,,,
cohorte,<=1970,4001,10163984.0,0.30465720922032147,0.6953427907796785,0.0
cohorte,1971-1980,6274,15089988.0,0.3901660491711458,0.6098339508288542,0.0
cohorte,1981-1990,5905,13617497.0,0.5722901205706159,0.42743361720586387,0.0002762622235202255
cohorte,1991+,2509,6572224.0,0.7729235948135669,0.22707640518643307,0.0
cohorte,desconocida,0,0.0,,,
sexo_x_cohorte,hombre|<=1970,1731,4567221.0,0.3139425484337193,0.6860574515662807,0.0
sexo_x_cohorte,hombre|1971-1980,2810,6874331.0,0.3999522280786305,0.6000477719213695,0.0
sexo_x_cohorte,hombre|1981-1990,2484,5771174.0,0.5846583381474896,0.41510774064341155,0.00023392120909887659
sexo_x_cohorte,hombre|1991+,998,2493292.0,0.8223982590085718,0.1776017409914282,0.0
sexo_x_cohorte,mujer|<=1970,2270,5596763.0,0.2970799370993555,0.7029200629006446,0.0
sexo_x_cohorte,mujer|1971-1980,3464,8215657.0,0.38197760690350147,0.6180223930964985,0.0
sexo_x_cohorte,mujer|1981-1990,3421,7846323.0,0.563192975869079,0.43649961899350814,0.00030740513741277285
sexo_x_cohorte,mujer|1991+,1511,4078932.0,0.7426816627489745,0.2573183372510255,0.0
