calc	conducta	dominio	ola	eje	categoria	p	ic_lo	ic_hi	icc_lo	icc_hi	n	result_id_p
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	EDAD-JEFE	12-29	0.143569	0.133318	0.153572			10462	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-EDAD-JEFE-12-29-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	EDAD-JEFE	12-29	0.129155	0.120948	0.137599			10270	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-EDAD-JEFE-12-29-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2018	EDAD-JEFE	12-29	0.137026	0.129086	0.145116	0.120793	0.155057	10964	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2018-EDAD-JEFE-12-29-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	EDAD-JEFE	30-44	0.145693	0.140184	0.151508			30486	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-EDAD-JEFE-30-44-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	EDAD-JEFE	30-44	0.146453	0.141546	0.151462			31759	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-EDAD-JEFE-30-44-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2018	EDAD-JEFE	30-44	0.148135	0.142893	0.153306	0.131969	0.165904	33642	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2018-EDAD-JEFE-30-44-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	EDAD-JEFE	45-59	0.289087	0.280492	0.297887			28145	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-EDAD-JEFE-45-59-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	EDAD-JEFE	45-59	0.298960	0.292121	0.305697			28847	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-EDAD-JEFE-45-59-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2018	EDAD-JEFE	45-59	0.281774	0.275340	0.287900	0.255925	0.309148	35263	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2018-EDAD-JEFE-45-59-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	EDAD-JEFE	60-MAS	0.352848	0.343510	0.362305			22065	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-EDAD-JEFE-60-MAS-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	EDAD-JEFE	60-MAS	0.338514	0.331097	0.346288			23472	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-EDAD-JEFE-60-MAS-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2018	EDAD-JEFE	60-MAS	0.331722	0.324646	0.338764	0.303186	0.361551	29660	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2018-EDAD-JEFE-60-MAS-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	ESCOLARIDAD-JEFE	HASTA-PRIMARIA	0.307435	0.300260	0.314780			40750	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-ESCOLARIDAD-JEFE-HASTA-PRIMARIA-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	ESCOLARIDAD-JEFE	HASTA-PRIMARIA	0.306397	0.300652	0.312535			39838	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-ESCOLARIDAD-JEFE-HASTA-PRIMARIA-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2018	ESCOLARIDAD-JEFE	HASTA-PRIMARIA	0.314573	0.308594	0.320418	0.284861	0.345885	41128	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2018-ESCOLARIDAD-JEFE-HASTA-PRIMARIA-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR	0.183879	0.174906	0.193217			15656	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR	0.184321	0.176587	0.191621			14797	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2018	ESCOLARIDAD-JEFE	MEDIA-SUPERIOR	0.186306	0.178932	0.193959	0.164966	0.209713	18429	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2018-ESCOLARIDAD-JEFE-MEDIA-SUPERIOR-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2009	ESCOLARIDAD-JEFE	SECUNDARIA	0.190533	0.182361	0.198638			19686	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2009-ESCOLARIDAD-JEFE-SECUNDARIA-P
CALC-ENADID-FAMILIA-HOGARES-0001	HOGAR-AMPLIADO	FAMILIA_CUIDADOS	2014	ESCOLARIDAD-JEFE	SECUNDARIA	0.212273	0.205486	0.219006			25011	RESULT-ENADID-FAMILIA-HOGARES-HOGAR-AMPLIADO-2014-ESCOLARIDAD-JEFE-SECUNDARIA-P
