relacion_id	task_id	activo_id_vinculado	reporte_inspeccion_ref	estado_join
REL-c3e1306bb304b019d0a94e4b	SEMTSK-344b4adb025b410eca6b7a87	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-02e6e4861871631dd29048bd	SEMTSK-c906685dfd65fa9409b28d20	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-837d54e76ebe85170870493a	SEMTSK-501759ad5c9a99a7cafbff34	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-be38af5d3d025cfda97775c1	SEMTSK-44673b0933470671d80cb3e6	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-6c15fdac77dea33175ef25c5	SEMTSK-63d38d7f96b33292dccd0aeb	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-8b8dd24f3edbc5fd0b11d4a4	SEMTSK-9b6207c4184c33ba4906af78	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-75de72336ada4a506a3b5476	SEMTSK-045f83e3d32334d308d0a814	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-c6870668d94d02dded8c4126	SEMTSK-bbaee82dc5bf30de2b57bfc3	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-e10120bebb9ed07d210a3a86	SEMTSK-a8fab9db1b7cc9b9d65a663f	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-c59edf3fce0cc17066bed9ee	SEMTSK-f86e4d15afa5b221da8de5ba	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-02b8ee6d0e13dfb6dc7d3331	SEMTSK-dddb9a9097f7fd957a5eb2ce	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-162b116abdb2212886430f08	SEMTSK-dddb9a9097f7fd957a5eb2ce	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-48285fd8e0a22a38147245ed	SEMTSK-dddb9a9097f7fd957a5eb2ce	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-c0ffdbcc616f342880df820a	SEMTSK-dddb9a9097f7fd957a5eb2ce	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-ee1e829631a8bb7de93bcfd3	SEMTSK-dddb9a9097f7fd957a5eb2ce	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-20c9e9445e7c52770b6c3b10	SEMTSK-ce2354d17ce132097cdf80d1	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-bb570a7a7c72c881de31f75d	SEMTSK-ce2354d17ce132097cdf80d1	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-894b3c5025557df7ef942f2a	SEMTSK-5fe01d6b0ee36f93ad99c21c	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-374d073941162109bb37265b	SEMTSK-37f8f057f86be8b36d4f49f3	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-d67770c443936b1d84304513	SEMTSK-7d62da78b912933008a8340a	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-51392f82de7f4c77d1bb75c1	SEMTSK-a157241ebb1c79de3ce81517	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-a750d90d3d9e1e19938fa8c4	SEMTSK-a157241ebb1c79de3ce81517	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-cc6596882b8f135c946ad0f4	SEMTSK-a157241ebb1c79de3ce81517	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-f07a221600f81a075ee85ac8	SEMTSK-a157241ebb1c79de3ce81517	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
REL-60e9df4e4ea6f51ca6e4ddc0	SEMTSK-1c964807bd81e4e0ead2c010	NO_DETERMINADO	NO_DETERMINADO	SIN_JOIN_EXACTO_NO_INFERIR
