propuesta_id	task_id	input_sha256	worker_report_sha256	snapshot_t0_sha256	baseline_sha256	relacion_id	accion	adjudicacion_vigente	adjudicacion_propuesta	afirmacion_origen_tipo	tratar_como_hecho	reporte_inspeccion_ref	evidencia_ref_original	evidencia_ref_accion_original	evidencia_ref_evidencia_original	siguiente_accion_original	siguiente_accion_original_sha256	input_requerido_original	reserva_original	reserva_curador	cegamiento_roto	excepcion_cegamiento_ref	estado_terminal	expediente_integrable	modifica_baseline	fail_closed
SEMPROP-0e91f90db5fe42e911953784	SEMTSK-344b4adb025b410eca6b7a87	f182453b0b65e0b409d60fb342149dba3fb9ba19e77b0ca0281cec373e07209b	66c2aa2fbd61fcd0ebbfc93b4c4f4b89a21f8f3823a79ae6f003c020dd85f37b	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-c3e1306bb304b019d0a94e4b	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	Resolver a un payload canónico local y abrir tabla/diccionario con unidad, periodo y variables de exposición y desenlace.	d037550cd1426688fd2abdfa16eb77e05f030000d4b29c15b046192bde2e8c55	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-cad5493b821afd2b424688ac	SEMTSK-c906685dfd65fa9409b28d20	b77ec23b4a27c9df689089a8fde7077a8b1f7cca85328e86ba07cbf14b253286	9db803533eed7097356f3176855ba4c1411209f2805e5f2eac259ce395204245	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-02e6e4861871631dd29048bd	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:canon/modelo-decision-v4_0.md	MAIN:canon/glosario-v5_6.md;MAIN:canon/integrador-psicologia-mexicano.md;MAIN:canon/modelo-decision-v4_0.md;MAIN:corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	MAIN:canon/modelo-decision-v4_0.md	Resolver ruta PDF.	b51271ab23ff866a3617b7cc659c7cef831925177d4d253277273e2c0b54b5d0	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-5596be842f97ff4f1df2fa9b	SEMTSK-501759ad5c9a99a7cafbff34	b33ee00ca491ac70d9e3b0d9f22038603c008255064fbb37b05a76f5b8df65f4	ce815f9e26aa5c997bc477ded40b0104534c335a4abf956bed34027856b2426d	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-837d54e76ebe85170870493a	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/inventarios/inventario-fuentes-credito-ahorro-finanzas-hogar-mexico.md:L40	MAIN:data/mapa-fuentes-2026-08-06.tsv:L37	MAIN:data/inventarios/inventario-fuentes-credito-ahorro-finanzas-hogar-mexico.md:L40	Abrir tabla específica.	07192782f803140b7b5d5446a6398ec820513e0628a66f7b177d98912f800f79	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-ccef2f127fac71edc841dac1	SEMTSK-44673b0933470671d80cb3e6	9a4e04f325b7137d1a85468a5e2cf9f0b47b3819848b68f923c585c05a0a00c0	6f97be11503b847dfe63624ccf5ac063119a9bdf1c07c78accc3c293e963be44	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-be38af5d3d025cfda97775c1	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L25	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv	Abrir diccionario y mapear evento, actor, repertorio, resultado, geografía y periodo.	66bf90c2e22b22db2e86c216e6fb2123dde2ef881a0c7e3e7d273f9540396e55	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-8117c1dfafc2c5bf107128b5	SEMTSK-63d38d7f96b33292dccd0aeb	e97322201897d6167fdbac4a92453c0900ea97708d8245ac57f6cf0c788949e3	98841adfc6aa795fbb8d6849bc48ab06c2d2e9fcf4a12a4246bde72b75359937	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-6c15fdac77dea33175ef25c5	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L27	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L27	MAIN:data/mapa-fuentes-externas-consolidado-2026-08-06.tsv:L27	Solicitar acceso puntual a la base y codebook; verificar fecha, actor, demanda, respuesta y geografía.	5959cee8bc9642cb0cf5571465361b738b08980458072b68fc90cd27b822a834	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-0f3e774804b7e397e6b0a11f	SEMTSK-9b6207c4184c33ba4906af78	d37015270507c01c04263a8b76e6719132d15c8b6614ce11afcae7901b4cb6cb	e033dbaeb1b866a7e4bf6dbf2263e9ef1a55eb3ff850e2e7be260f9e36baafdd	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-8b8dd24f3edbc5fd0b11d4a4	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-fuentes-2026-08-06.tsv:L39	MAIN:data/mapa-fuentes-2026-08-06.tsv:L39	MAIN:data/mapa-fuentes-2026-08-06.tsv:L39	Abrir tabla CNBV concreta y verificar denominador, institución, segmento, periodo y motivo de rechazo.	bdb55bf8373a4e3abfbf6d2c5a085c8f30a3341fd2d5f9badd5fe3aab31d996e	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-0a887c710c145fe2f3f096bf	SEMTSK-045f83e3d32334d308d0a814	9ed2d28258ab3d845180f8c2412ed01cdda0015d13a50368eefaa89d65f16a25	00d0e8e1e271bb6636627accc40a265b43f34fc6471bb281e66418e5fb047ce5	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-75de72336ada4a506a3b5476	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:canon/modelo-decision-v4_0.md	MAIN:canon/estado-programa-v1_10.md;MAIN:canon/glosario-v5_6.md;MAIN:canon/gobernanza-v1_15.md;MAIN:corpus/reports/Mexican_Population_Genomics__2025-2026_Scientific_and_Market_Opportunity_Update.md	MAIN:canon/modelo-decision-v4_0.md	Resolver BIARE/ENBIARE.	cf539b3df598e43e6e5cc68a2a217c548ddefffc5a38ca9fb6e2655722f39ab1	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-2b87a6d5ac6923a0427d9e6a	SEMTSK-bbaee82dc5bf30de2b57bfc3	33efdb4aa289ef1d9bb19979c1422b883c240b0651cd302c8a18f2a8e3330f88	0b37f98c7551cd6fe89af4652f8b79ca84b7faf67975f1a8c95d82ec9e6916ca	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-c6870668d94d02dded8c4126	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:forense/hitoE-campana-medicion-v2_0.md	MAIN:canon/glosario-v5_6.md;MAIN:corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md;MAIN:corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md;MAIN:corpus/reports/Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	MAIN:forense/hitoE-campana-medicion-v2_0.md	Abrir instrumento, ficha muestral y resultados CCPV; verificar cobertura geográfica y réplica del estimando original.	bc8839c9105b983c1ec7662da6e8685968d946b6441eea23ef00a090e26477db	Revisión de equivalencia y codificación antes de parametrizar.	No se propagó el estado general de la necesidad; requiere evidencia fuente-específica.	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-99959ff3bb1a6c7d8b735bd4	SEMTSK-a8fab9db1b7cc9b9d65a663f	654343183af3b8614459d6d9232e414dd69f5217f5f791e2454f45d91035c361	53eafc380ff08f2fa3b6cb08d9d9adae674575da9a20e40bfacf374e71b297a7	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-e10120bebb9ed07d210a3a86	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-general-2026-08-06.tsv:L12	MAIN:data/mapa-ext-general-2026-08-06.tsv:L12	MAIN:data/mapa-ext-general-2026-08-06.tsv:L12	Abrir cuestionarios de los módulos 2/7 y mapear variables; usar solo como contexto municipal si no existe unidad individual.	41c1af2a283a508fc2f5eae223b31fa2c140d67f04514aff207d90ba60d90ba7	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
SEMPROP-49c67671ca21e8f08a6522e0	SEMTSK-f86e4d15afa5b221da8de5ba	56876377803c4435f96754123a3dbac9db590b2535f21148b5c3cf5a1331173b	29f7fd51fcf9b0e7f82dd47ed89aab50ff21fb8b75290a239ba8761c14f141bb	89f4c3a49c00c0e1ba1f07013e0af10bbc3289fdddc48dde816c37d3da1a742b	4dd527eb25bf9d4ed1047c7956d9ee51f20175361f9404315baae476c057cc76	REL-c59edf3fce0cc17066bed9ee	NO_DETERMINADO	CANDIDATA	CANDIDATA	INFERENCIA_PROPUESTA	NO	NO_DETERMINADO	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L10	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L10	MAIN:data/mapa-ext-academico-2026-08-06.tsv:L10	Abrir codebook y cuestionario México 2018 y documentar variable, codificación y granularidad; cerrar si no aparece el diseño requerido.	68eb1fc86d0f1a425e1a5a7c259246ba20bdf33fa8731f12b32efd604b6d59f4	Revisión de equivalencia y codificación antes de parametrizar.	Escala/diseño/universo:	No hay evidencia nueva con join exacto suficiente para promover una adjudicación.	NO	NO_APLICA	SIN_EXPEDIENTE_INTEGRABLE_SIN_JOIN_EXACTO	NO	NO	SI
