tipo	id	ruta	sha256	commit	fecha_commit	pr	merged_at	firma_gpg_estado	firma_gpg_keyid
CALC	CALC-0001	data/corrida0/CALC-0001/sello.json	aa48aac50e75b5cad3170649f1e46dcda0c18aeab5f8e3005b2e46abe221fbcf	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-0001-v2	data/corrida0/CALC-0001-v2/sello.json	9cb42c7c2153e9a27a311c18d979be7f0d601fd00441a5ac4b9ec2c53f4a977b	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-0002	data/corrida0/CALC-0002/sello.json	066c2402b753c9e297c306304a24c711aed67eae673f477b5605ee9beff0b538	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-0003-v2	data/corrida0/CALC-0003-v2/sello.json	6fbbcc92abd3508b059666ed48c3eeaa5c2ab07d10e9c93ca7c1d823f5f86597	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-0003-v3	data/corrida0/CALC-0003-v3/sello.json	3b2399b1ee8b7b4f5424eadeef537688bd7a499beb1cac5746d44201de001712	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-0003-v4	data/corrida0/CALC-0003-v4/sello.json	b3845dba01ec7856a003c5ec3f2d50b31573fd3cb80402ff6f4dc1fb52a6b230	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-AGG-marco-M-sorteado-v1_3	data/corrida0/CALC-AGG-marco-M-sorteado-v1_3/sello.json	dd0b5b835226d3ccae1bbb19bf2154f008ead6049af1355176b5f6f53d54f129	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-AGG-marco-M-sorteado-v1_3-ola	data/corrida0/CALC-AGG-marco-M-sorteado-v1_3-ola/sello.json	71098cd8634a7be4f0b7ae608454b5988e037828edbc6de2eb1407659d2744c0	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-AGG-marco-M-sorteado-v1_3-ola-v2	data/corrida0/CALC-AGG-marco-M-sorteado-v1_3-ola-v2/sello.json	d90412c1441877ac5903a04349e089a8756517958658cd21801284e115ed9f92	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
CALC	CALC-AGG-marco-M-sorteado-v1_3-ola-v3	data/corrida0/CALC-AGG-marco-M-sorteado-v1_3-ola-v3/sello.json	7e3ec7385a8b21679b14fb0775b9381f1f33e01aa2c6c2c60c636458cc23e382	99a43faf028d47f1d076c6a69b7b413e3105ad15	2026-09-21T19:40:53-06:00	984	2026-09-21T19:40:53-06:00	E	B5690EEEBB952194
