# data/cruce-inverso-v1_1.tsv -- ACTO MAESTRA31-E7 · ETIQUETA, COMMIT-2 (re-corrida del cruce de E5 sobre inventario v1_1)
# Universo (A.10): main=9578ee6, 27/ago/2026 (E6/PR#387 ya fusionado; sin diferencia adicional al confirmar contra origin/main).
# Especificacion CONGELADA sin cambios: forense/notas/2026-08-27-cruce-inverso-spec.md (COMMIT-1 de E5). Lado motor identico: milpa/procedencia.yaml+tramite.yaml, mismas 59 variables, mismas instrumentos_declarados_por_motor/n_citas_en_motor de v1_0 (columnas 3 y 4, sin recalcular -- no dependen del insumo que cambio).
# Lado corpus: data/inventario-reactivos-v1_1.tsv (unico insumo que cambio respecto a v1_0 -- columna instrumento re-derivada para payloads de raiz, ver forense/notas/2026-08-27-etiqueta-regla.md). Cero re-extraccion, cero cambio a variable_id.
# SUPERSEDE a data/cruce-inverso-v1_0.tsv. El delta de veredictos entre v1_0 y v1_1 es el entregable de este acto (forense/notas/2026-08-27-etiqueta-cierre.md).
variable_id	veredicto_a4	instrumentos_declarados_por_motor	n_citas_en_motor	payloads_en_inventario	instrumentos_en_inventario	n_olas_distintas	olas_detalle
AP3_10	EXISTE-SATISFACE	envipe:2025	2	BD_ENCUCI2020_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip;envipe2014/bd_envipe2014_dbf.zip;envipe2015/bd_envipe2015_dbf.zip;envipe2016/bd_envipe2016_dbf.zip;envipe2017/bd_envipe2017_dbf.zip;envipe2018/bd_envipe2018_dbf.zip;envipe2018_csv.zip;envipe2019/bd_envipe2019_dbf.zip;envipe2019_csv.zip;envipe2020/bd_envipe_2020_dbf.zip;envipe2020_csv.zip;envipe2021/bd_envipe_2021_csv.zip;envipe2021/bd_envipe_2021_dbf.zip;envipe2021_csv.zip;envipe2022/bd_envipe_2022_csv.zip;envipe2022/bd_envipe_2022_dbf.zip;envipe2022_csv.zip;envipe2023/bd_envipe_2023_csv.zip;envipe2023/bd_envipe_2023_dbf.zip;envipe2023_csv.zip;envipe2024/bd_envipe_2024_csv.zip;envipe2024/bd_envipe_2024_dbf.zip;envipe2024_csv.zip;envipe2025/bd_envipe_2025_csv.zip;envipe2025/bd_envipe_2025_dbf.zip;envipe2025_csv.zip	encuci2020;envipe2011;envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025	16	encuci2020;envipe2011;envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025
AP3_8	EXISTE-SATISFACE	envipe:2025	2	envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip;envipe2014/bd_envipe2014_dbf.zip;envipe2015/bd_envipe2015_dbf.zip;envipe2016/bd_envipe2016_dbf.zip;envipe2017/bd_envipe2017_dbf.zip;envipe2018/bd_envipe2018_dbf.zip;envipe2018_csv.zip;envipe2019/bd_envipe2019_dbf.zip;envipe2019_csv.zip;envipe2020/bd_envipe_2020_dbf.zip;envipe2020_csv.zip;envipe2021/bd_envipe_2021_csv.zip;envipe2021/bd_envipe_2021_dbf.zip;envipe2021_csv.zip;envipe2022/bd_envipe_2022_csv.zip;envipe2022/bd_envipe_2022_dbf.zip;envipe2022_csv.zip;envipe2023/bd_envipe_2023_csv.zip;envipe2023/bd_envipe_2023_dbf.zip;envipe2023_csv.zip;envipe2024/bd_envipe_2024_csv.zip;envipe2024/bd_envipe_2024_dbf.zip;envipe2024_csv.zip;envipe2025/bd_envipe_2025_csv.zip;envipe2025/bd_envipe_2025_dbf.zip;envipe2025_csv.zip	envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025	14	envipe2012;envipe2013;envipe2014;envipe2015;envipe2016;envipe2017;envipe2018;envipe2019;envipe2020;envipe2021;envipe2022;envipe2023;envipe2024;envipe2025
AP5_16_1	EXISTE-SATISFACE	encuci:2020	2	BD_ENCUCI2020_dbf.zip	encuci2020	1	encuci2020
AP5_17	EXISTE-SATISFACE	encuci:2020	2	BD_ENCUCI2020_dbf.zip	encuci2020	1	encuci2020
AP5_18	EXISTE-SATISFACE	encuci:2020	2	BD_ENCUCI2020_dbf.zip	encuci2020	1	encuci2020
AP5_1_1	EXISTE-SATISFACE	encuci:2020	7	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	encuci2020;endireh2011;envipe2011;envipe2012	4	encuci2020;endireh2011;envipe2011;envipe2012
AP5_1_2	EXISTE-SATISFACE	encuci:2020;enif:sin-ano	8	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	encuci2020;endireh2011;envipe2011;envipe2012	4	encuci2020;endireh2011;envipe2011;envipe2012
AP5_1_3	EXISTE-SATISFACE	encuci:2020	6	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	encuci2020;endireh2011;envipe2011;envipe2012	4	encuci2020;endireh2011;envipe2011;envipe2012
AP5_2_5	EXISTE-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip;envipe2013/bd_envipe13_dbf.zip;envipe2014/bd_envipe2014_dbf.zip	encuci2020;endireh2011;envipe2011;envipe2012;envipe2013;envipe2014	6	encuci2020;endireh2011;envipe2011;envipe2012;envipe2013;envipe2014
AP5_2_6	EXISTE-SATISFACE	encuci:2020	1	BD_ENCUCI2020_dbf.zip;endireh2011/bd_endireh_2011_csv.zip;endireh2011/bd_endireh_2011_dbf.zip;envipe2011/base_de_datos_envipe_2011_dbf.zip;envipe2012/base_de_datos_envipe_2012_dbf.zip	encuci2020;endireh2011;envipe2011;envipe2012	4	encuci2020;endireh2011;envipe2011;envipe2012
