id	prioridad	institucion	fuente_o_edicion	url	necesidad	variable_o_diseno_material	unidad_y_periodo	independencia	estado	calculo_o_decision_que_podria_cambiar	evidencia_y_reserva
EXT-OF-01	PRIORITARIA	Auditoría Superior de la Federación	Auditoría 54-DS Programa de Vacunación, Cuenta Pública 2023	https://www.asf.gob.mx/Trans/Informes/IR2023b/Documentos/Auditorias/2023_0054_a.pdf	R9.2	Cobertura, metas, adquisición, distribución y aplicación de biológicos; auditoría de desempeño con referente 2018-2022	Programa federal, ejercicio 2023 con referente 2018-2022	Sí, órgano fiscalizador externo al prestador	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Puede reemplazar cobertura auto-reportada y cambiar D o la interpretación de disponibilidad/campaña	PDF oficial indexado y abierto en buscador; falta mapear cuadros, geografía y campaña exacta
EXT-OF-02	PRIORITARIA	Auditoría Superior de la Federación	Auditoría 165-DS Servicios de vacunación ISSSTE, Cuenta Pública 2024	https://www.asf.gob.mx/Trans/Informes/IR2024b/Documentos/Auditorias/2024_0165_a.pdf	R9.2	4,437,250 vacunas reportadas, meta de 4,000,000 y 317 unidades vacunadoras; ASF señala falta de registros acreditantes	ISSSTE, unidades/delegaciones, ejercicio 2024	Sí, órgano fiscalizador externo al prestador	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Puede auditar disponibilidad efectiva, denominadores y campaña y cambiar letra o reserva de R9.2	PDF oficial abierto; falta extraer anexos/cuadros y confirmar desagregación publicable
EXT-OF-03	PRIORITARIA	Secretaría de Salud, DGIS/SINBA	Urgencias por unidad médica, ediciones 2024-2026	https://sinba.salud.gob.mx/CubosDinamicos	R4.1; R9.1	Eventos de urgencias enlazables por CLUES; series anuales y preliminar 2026 para construir cambios locales	Atención por unidad médica/CLUES, anual 2024-2026	No, productor sectorial; útil para evento y acceso, no para auditoría independiente	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Puede habilitar panel/evento local y cambiar magnitud o interpretación de acceso posterior a choques	Puerta conocida, pero ediciones 2024-2026 no examinadas; cubos listados oficialmente; falta abrir estructura
EXT-OF-04	PRIORITARIA	Secretaría de Salud, DGIS/SINBA	Egresos hospitalarios sectoriales por unidad médica 2018-2021	https://sinba02des.salud.gob.mx/DGIS/cuboEGRESOS/InstitucionesPublicasMorbilidadUM2018_2021	R4.1; R9.1	Egreso, diagnóstico, estancia y unidad médica; llave CLUES explícita en estándar	Egreso hospitalario por unidad, 2018-2021	No, productor sectorial	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Puede construir desenlace local pre/post enlazado con capacidad SINERHIAS y alterar R4.1	Cubo específico oficial indexado; no se descargó ni verificó diccionario en este acto
EXT-OF-05	PRIORITARIA	Secretaría Ejecutiva del Sistema Nacional Anticorrupción	Plataforma Digital Nacional, sistemas S1-S2-S3-S6	https://www.plataformadigitalnacional.org/	R3.1; R3.2	Declaraciones/intereses, participantes en contratación, sancionados y contratos enlazables para trazabilidad y eventos	Servidor/particular/contrato/ente; cobertura federal y subnacional, periodos por proveedor	Parcial: integra registros de entes, administrada por SESNA	INDEXADO-NO-DESCARGADO	Puede reemplazar percepción de corrupción por trazabilidad administrativa y habilitar panel/eventos de sanción o contratación	Inventario previo solo decía estado operativo no confirmado; SESNA reporta sistemas funcionales y cientos de miles de registros; falta abrir API, cobertura y llaves
EXT-OF-06	PRIORITARIA	Secretaría Ejecutiva del Sistema Nacional Anticorrupción	Informe de cruce S1-S2-S6 para detectar faltas y corrupción en contrataciones	https://www.sesna.gob.mx/datos-personales/informe-sobre-el-analisis-del-cruce-de-datos-entre-los-sistemas-de-evolucion-patrimonial-de-declaracion-de-intereses-y-constancia-de-presentacion-de-declaracion-fiscal-de-servidores-publicos-que-int/	R3.1; R3.2	Diseño oficial de enlace entre intereses, intervinientes y contratación; posibles señales de conflicto	Persona-procedimiento-contrato, publicado 2025	Sí respecto del ente contratado; SESNA diseña el cruce	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Puede definir llaves y desenlace administrativo para una medición reproducible de trazabilidad	Landing oficial abierta; el documento/anexo y sus variables no se abrieron
EXT-OF-07	PRIORITARIA	Instituto Federal de Telecomunicaciones	Base del Reporte sobre uso y confianza de Servicios Financieros Digitales	https://www.ift.org.mx/usuarios-y-audiencias/reporte-sobre-el-uso-y-la-confianza-de-los-servicios-financieros-digitales-sfd	R3.4; coeficientes de confianza/riesgo	Uso de SFD, confianza, riesgos percibidos, medidas de seguridad y fraude potencialmente coobservados	Persona usuaria de internet fijo o telefonía móvil; periodo por confirmar	Sí respecto de bancos/fintech; regulador sectorial	INDEXADO-NO-DESCARGADO	Puede aportar mecanismo de fricción/riesgo en la misma muestra y cambiar signo o magnitud de coeficientes	Página oficial enlaza explícitamente una base de datos; falta cuestionario, muestra, texto y desenlaces exactos
EXT-OF-08	PRIORITARIA	Instituto Electoral de la Ciudad de México	Estadística de Elecciones Locales 2024: participación por sección, edad y género	https://estadisticaparticipacionpelo2024.iecm.mx/sistema/consultas/resultados.php?mod=1	R7.1; reglas cívicas	Lista nominal, votantes, abstención y participación; sección, distrito/demarcación, edad y género	Sección/casilla y grupos de edad-género, elección local 2024	Sí, autoridad electoral local	ABIERTO-SIN-MAPEO	Puede sustituir el agregado federal y habilitar comparación local concurrente o heterogeneidad de participación	Consulta oficial abierta muestra 5,575 secciones y 13,431 casillas; falta identificar descarga y emparejar acto federal/local
EXT-OF-09	PRIORITARIA	Instituto Electoral y de Participación Ciudadana de Jalisco	Base por casilla del estudio muestral de votos nulos 2024	https://www.iepcjalisco.org.mx/informe-de-resultados-del-estudio-muestral-sobre-votos-nulos-en-las-elecciones-locales-2024-en-0	R7.1; reglas cívicas	Clasificación de voto nulo voluntario/involuntario y modalidad, con hoja de vaciado y cuestionario	Casilla/boleta muestreada; gubernatura y diputaciones locales 2024	Sí, autoridad electoral local	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	Puede reemplazar un proxy de abstención por conducta cívica codificada y alterar condicionales	Landing oficial declara base por casilla e instrumentos; falta abrir base y diseño muestral
EXT-OF-10	PRIORITARIA	Instituto Nacional Electoral, Unidad Técnica de Fiscalización	Datos abiertos de ingresos, gastos y agenda de eventos de campañas locales	https://fiscalizacion.ine.mx/web/portalsif/descarga-de-reportes	R7.1; reglas cívicas	Operaciones de ingreso/gasto, rubro y agenda de eventos por proceso y etapa electoral local	Candidatura/operación/evento, procesos locales 2024-2026	Sí como regulador/fiscalizador de candidaturas	INDEXADO-NO-DESCARGADO	Puede construir intensidad real de campaña/eventos y cambiar condicionales de participación o atribución	Portal oficial abierto enumera Excel/datos abiertos; falta verificar llaves geográficas, cobertura histórica y archivos
