archivo	era	estado	bytes	sha256	url_origen
fd_c_amp_v1.pdf	14ymas	DESCARGADO	303437	cf408338e90516148a00a644921dd8b9fbbbb297d30b0008906d3020cb783828	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_amp_v1.pdf
fd_c_amp_v2.pdf	14ymas	DESCARGADO	293353	41257e6f04014146e0f9cdfc0d92bdcdd5c2c1b63bb8b5c9d289944ca0f71f79	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_amp_v2.pdf
fd_c_amp_v3.pdf	14ymas	DESCARGADO	959621	027d2ff97cc7cafcba99c4e9524fbf77254dfcb46dd7933880315466f17a39d1	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_amp_v3.pdf
fd_c_amp_v4.pdf	14ymas	DESCARGADO	1082006	3a53af8acbf312f0cf9164c44ceab624a6b31949ce758d756e0ceb519124b9d7	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_amp_v4.pdf
fd_c_bas_v1.pdf	14ymas	DESCARGADO	292326	775f0f00ab5d247aef6b20e77bd6ec57ab81db50adae6a13646c3f82980ae8cc	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_bas_v1.pdf
fd_c_bas_v2.pdf	14ymas	DESCARGADO	1091129	21e1d7c4316a63c1cae2dd8882b2a6e99b43567379b9c176a3e2781331561bbe	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_bas_v2.pdf
fd_c_bas_amp_conapo.pdf	14ymas	DESCARGADO	1211513	b30dcfe76a5af601000c28d9f5101f26251ff83b948b722665871adb3ccdb5d2	https://www.inegi.org.mx/contenidos/programas/enoe/14ymas/doc/fd_c_bas_amp_conapo.pdf
fd_c_bas_amp_15ymas.pdf	15ymas	DESCARGADO	4383629	f2f6cc39d88a10c89a819727f371150e1981940fb162c5563338debee0b01224	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/doc/fd_c_bas_amp_15ymas.pdf
enoe_123_fd_c_bas_amp.pdf	15ymas	DESCARGADO	2124901	920a1db58ee30527bae48d0d1f45e47c8f17a9302b2dc743cf296228aa205a61	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/doc/enoe_123_fd_c_bas_amp.pdf
enoe_325_fd_c_bas_amp.pdf	15ymas	DESCARGADO	2124734	589b8e51cead1c3dbba5db68f4137aff23bbd9a1e1bd9c118e5f00fca148e9a2	https://www.inegi.org.mx/contenidos/programas/enoe/15ymas/doc/enoe_325_fd_c_bas_amp.pdf
