# data/inventario-reactivos-fd-recuperado-v1_0.tsv -- DERIVADO por tools/recupera_reactivos_fd.py
# ACTO GEN2-RESIDUAL-81-1 (16/sep/2026, NUBE, sin corpus). NO se edita a mano: se re-genera.
#   python3 tools/recupera_reactivos_fd.py --escribe
# Una fila por identidad ciega del indice que la capa FD resuelve por identidad EXACTA.
# IDENTIDAD: instrumento + tabla + variable, EXACTA. La tabla se empareja plegando el miembro
# (minusculas, sin extension) y, si eso no basta, por prefijo de 31 caracteres -- el limite de
# nombre de hoja de Excel que trunca las hojas del descriptor -- y SOLO cuando la hoja candidata
# es unica. NUNCA se empareja por variable_id con la tabla sin resolver (10765 filas emparejarian
# asi y ninguna se publica), NUNCA se propaga texto entre olas y una tabla ambigua nunca se
# resuelve por cercania: doctrina de ACTO GEN2-REACTIVOS-RESIDUALES-BUSQUEDA-UTIL, no aflojada aqui.
# ROTULADO: el FD mezcla en una sola columna etiquetas de variable y preguntas literales. Se separan
# por un rasgo observable -- la marca de interrogacion -- en ETIQUETA_VARIABLE / PREGUNTA_DICCIONARIO.
# Es una heuristica de rotulado declarada, no una afirmacion sobre la fuente. Nunca PREGUNTA_COMPLETA:
# ese rotulo lo reserva contexto-v1_1 para el enunciado integro leido del cuestionario, no del
# descriptor. ALCANCE (A.15): recuperar texto
# no acredita suficiencia cientifica, ni existencia de un constructo, ni comparabilidad entre olas.
id_origen	payload_id	sha256_12	instrumento	ola	archivo_miembro	variable_id	texto_reactivo	texto_tipo	contexto_busqueda	metodo	universo_declarado	fuente_texto	fuente_sha256_12	referencia_fuente
v1_2:17284	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	c_limdisc	Condición de discapacidad o limitación	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17285	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	cond_act	Condición de actividad	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17286	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	edad_1ag	Grupos quinquenales de edad	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17287	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	ent	Clave de Entidad Federativa de levantamiento de la información	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17288	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	est_dis	Estrato de diseño muestral	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17289	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	estrato	Estrato sociodemográfico	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17290	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	fac_per	Factor de expansión por persona (mujer)	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17291	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	gra	Cuál es el último año o grado que aprobó (NOMBRE) en la escuela? Grado	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17292	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	hogar	Consecutivo del hogar en la vivienda	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
v1_2:17293	base_datos_enadid23_csv.zip	995d448ab298	enadid2023	NO_DETERMINADO	TFECHISEMB.csv	llave_emb	Llave única para cada embarazo de la mujer elegible	ETIQUETA_VARIABLE		INSPECT_ZIP	PRESENTE_EN_DATA_RAW	fd_enadid23.xlsx	d56582b7ace0	capa=fd;miembro=fd_enadid23.xlsx;hoja=TFECHISEMB;via=EXACTO
