instrumento	id_manifiesto	sha256_verificado	necesidad	variable_encontrada	texto_del_reactivo	escala	tabla	n_filas	desenlace_coobservado_en_mismo_instrumento	es_panel	llave_ADR57c	clasificacion_a4	universo_declarado
ISSP 2012 (ZA5900)	za5900_v4_0_0_dta	COINCIDE	3.11 sens_estatus (G2,G4)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	cdb(971pp)+q_mx(7pp)+bq(17pp)+backgroundvar_mx(49pp) via pdftotext -layout: terminos status/prestige/estatus/apariencia/vecin = 111/0/1/5 respectivamente; las 111 de cdb son etiquetas demograficas (work status/marital status/employment status), 0 items sustantivos de comparacion de estatus; q_mx (instrumento administrado en Mexico) = 0, 13/ago/2026
ISSP 2017 (ZA6980)	za6980_v2_0_0_dta	COINCIDE	3.11 sens_estatus (G2,G4)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	q_mx(7pp)+backgroundvar_mx(49pp) via pdftotext -layout: terminos status/vecin = 1/5; el unico hit de q_mx es 'Vecino' como opcion de respuesta en la bateria Q7 (a quien recurriria por ayuda), no un item de comparacion de estatus; los 5 de backgroundvar son etiquetas demograficas, 13/ago/2026
ISSP 2012 (ZA5900)	za5900_v4_0_0_dta	COINCIDE	4.6 aversion_riesgo (G2,G3)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	cdb+q_mx+bq+backgroundvar_mx via pdftotext -layout: terminos risk/gambl/riesgo/arriesg/certidumbre/incertidumbre = 0 coincidencias en las 4 fuentes, 13/ago/2026
ISSP 2017 (ZA6980)	za6980_v2_0_0_dta	COINCIDE	4.6 aversion_riesgo (G2,G3)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	q_mx+backgroundvar_mx via pdftotext -layout: terminos risk/gambl/riesgo/arriesg/certidumbre/incertidumbre = 0 coincidencias en ambas fuentes, 13/ago/2026
ISSP 2012 (ZA5900)	za5900_v4_0_0_dta	COINCIDE	10 horizonte_temporal (G4)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	cdb+q_mx+bq+backgroundvar_mx via pdftotext -layout: terminos future/horizon/plan(ning)/futuro/planea/plazo = 8/0/0/0; los 8 de cdb son 'future job' (redaccion estandar de bateria de historial laboral) y nombres de partidos politicos en variable de afiliacion partidista -- ninguno es item de horizonte temporal ni planeacion; q_mx (instrumento administrado) = 0, 13/ago/2026
ISSP 2017 (ZA6980)	za6980_v2_0_0_dta	COINCIDE	10 horizonte_temporal (G4)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	q_mx+backgroundvar_mx via pdftotext -layout: terminos future/horizon/plan(ning)/futuro/planea/plazo = 0 coincidencias en ambas fuentes, 13/ago/2026
ISSP 2012 (ZA5900)	za5900_v4_0_0_dta	COINCIDE	12 familismo_apoyo (no-ENIF)	-	-	-	-	-	-	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	NO-ENCONTRADO	cdb+q_mx+bq+backgroundvar_mx via pdftotext -layout: las unicas coincidencias de apoyo/ayuda (9 cdb, 7 q_mx) pertenecen integramente a la bateria de cuidado a personas mayores/ninos (V27,V34,V35,V36 -- ya contabilizada en necesidad 13 de esta misma fila); ninguna pregunta separada mide apoyo familiar general ante una urgencia/necesidad fuera del dominio de cuidado, 13/ago/2026
ISSP 2017 (ZA6980)	za6980_v2_0_0_dta	COINCIDE	12 familismo_apoyo (no-ENIF)	v26 (Q8a); bateria completa v21-v25 (Q7a-e) + v26-v30 (Q8a-e)	Q7 (p.2 q_mx, v21-25): '¿A quien recurriria primero para...? a)...trabajo en el hogar/jardin b)...si esta enfermo c)...si se siente deprimido d)...consejos sobre problemas familiares e)...ocasion social' -- opciones: 1 Familiar cercano, 2 Familiar mas lejano, 3 Amigo cercano, 4 Vecino, 5 Alguien con quien trabajo, 6 Alguien mas, 7 Ninguno, 8 No puedo elegir. Q8a (p.2 q_mx, v26): '¿A quien o donde acudiria primero para obtener ayuda...que le ayude si necesitara pedir prestada una gran suma de dinero?' -- opciones: 1 Familiares o amigos cercanos (categoria combinada, no separa familia de amistad), 2 Otras personas, 3 Companias privadas, 4 Servicios publicos, 5 Organizaciones sin fines de lucro/religiosas, 6 Otras organizaciones, 7 Ninguna persona u organizacion, 8 No puedo elegir	categorica de 7-8 opciones por item; v26 Mexico: 1=491(49.0%) 2=135 3=165 4=83 5=20 6=50 7=39 8=18 9=1 -- pd.value_counts(dropna=False) sobre mx=df[df.c_alphan=='MX']	v26 (bateria v21-v30)	1002	No es el patron de puente de la fila 14 (esa es esta misma necesidad en su version 'radio_confianza'); v59 (Q31, dificultad para llegar a fin de mes) esta en la misma tabla si se quisiera construir un desenlace adicional, no explorado en esta fila	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna (co-observacion limpia = asociacion, no identificacion, sin llave ADR-57(c): no es panel, no hay grupo de comparacion de experimento natural, no es diseno experimental de terceros)	EXISTE-SATISFACE	q_mx p.2 (espanol, Mexico) + ZA6980_v2-0-0.dta (v21..v30) via zipfile+pandas.io.stata.StataReader, 13/ago/2026
ISSP 2012 (ZA5900)	za5900_v4_0_0_dta	COINCIDE	13 familismo_obligacion	V27 (Q7f); cluster complementario V34,V35,V36 (Q13-Q15)	V27 -- Q7f (cdb p.79; q_mx espanol p.2): EN 'Adult children are an important source of help for elderly parents.' / ES 'Los hijos adultos son una importante fuente de ayuda para los padres ancianos.' Escala 1-5 acuerdo/desacuerdo. CONFIRMA la observacion de portada de R'' (clase-3, forense/notas/2026-08-13-r2-registro-via-completa.md S4): el texto SI dice eso, verificado contra el codebook completo, no heredado. V35 -- Q14 (cdb p.101; q_mx p.3): '...¿Quien cree Ud. que debiera principalmente entregar esta ayuda [a personas ancianas]?' 1 Familia, 2 Gobierno, 3 Sin fines de lucro, 4 Privados, 8 No sabe. V36 -- Q15 (cdb p.103; q_mx p.3): '...¿quien cree Ud. que debiera principalmente pagar los costos de esta ayuda?' 1 Los ancianos mismos o sus familias, 2 El gobierno.	V27: 1-5 acuerdo/desacuerdo(+8,9); Mexico 1=315(20.9%) 2=589(39.0%) 3=272 4=241 5=92 8=14 9=4 (N valido=1509). V35: categorica; Mexico 1=1087(73.1%) 2=347(23.3%) 3=42 4=11 8=11 9=29 (N valido=1487). V36: categorica; Mexico 1=762(51.3%) 2=723(48.7%) 8=9 9=33 (N valido=1485). pd.value_counts sobre mx=df[df.C_ALPHAN=='MX']	V27 (bateria V27,V34,V35,V36)	1527	No es el patron de puente de la fila 14 (esta es la fila 13); V35/V36 son ellos mismos items normativos de asignacion de responsabilidad, no un desenlace conductual distinto de V27	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	EXISTE-SATISFACE	cdb pp.79,99,101,103 + q_mx pp.2-3 (espanol) via pdftotext -layout + ZA5900_v4-0-0.dta (V27,V34,V35,V36) via zipfile+pandas.io.stata.StataReader, 13/ago/2026
ISSP 2017 (ZA6980)	za6980_v2_0_0_dta	COINCIDE	13 familismo_obligacion	v38 (Q13a); bateria v38-v40 (Q13a-c); v16 (Q4) complementario	Q13a -- v38 (q_mx espanol p.3): 'Los hijos adultos tienen el deber de cuidar a sus padres ancianos.' (EN, etiqueta .dta: 'Adult children have a duty to look after their elderly parents.') Escala 1-5 acuerdo/desacuerdo. Palabra 'deber' literal en el reactivo administrado en Mexico -- el item de obligacion normativa mas directo encontrado en todo este acto. Q4 -- v16 (q_mx p.1): '¿...quien cree que deberia brindar atencion/cuidados principalmente a las personas mayores?' 1 Gobierno, 2 Empresas privadas, 3 Sin fines de lucro, 4 Religiosas, 5 Familia/parientes/amigos.	v38: 1-5(+8,9); Mexico 1=371(37.0%) 2=360(35.9%) 3=150 4=100 5=11 8=6 9=4 -- 73.0% de acuerdo (1+2). v16: categorica; Mexico 1=498(49.7%,gobierno) 2=38 3=77 4=35 5=336(33.5%,familia) 8=14 9=4 -- nota: aqui la MAYORIA elige gobierno, no familia, patron distinto (y no contradictorio: son constructos distintos) al 73.1% familia de V35/ZA5900 para 'entregar ayuda domestica'. pd.value_counts sobre mx=df[df.c_alphan=='MX']	v38 (bateria v38,v39,v40; ademas v16)	1002	No es el patron de puente de la fila 14 (esta es la fila 13)	NO (inferencia estructural: ISSP es transversal repetido -- ZA5900 (2012) y ZA6980 (2017) son estudios independientes del programa ISSP, no dos olas de un mismo panel; cada modulo tiene muestra y diseno propios, confirmado por C_ALPHAN/c_alphan y V1-DOI/studyno-doi distintos en cada .dta, 13/ago/2026)	Ninguna	EXISTE-SATISFACE	q_mx p.1,p.3 (espanol) via pdftotext -layout + ZA6980_v2-0-0.dta (v16,v38,v39,v40) via zipfile+pandas.io.stata.StataReader. Corrige lectura previa de R'' (forense/notas/2026-08-13-r2-registro-via-completa.md S3): clasifico esta necesidad 'tematicamente debil' en ZA6980 tras leer solo Q1/Q5/Q7/Q8/Q9/Q11 de pasada, sin llegar a Q13 -- no es un desmentido de R'', es la apertura a nivel variable que R'' mismo declaro pendiente, 13/ago/2026
