id_manifiesto	raiz	archivo	sha256_declarado	tamano_declarado	estado_observado	universo_busqueda	mecanismo	fecha	razon
1008973606mexico_lapop_final_2006_data_set_092906	descargas_mx	[REDACTADO-PRIVACIDAD]	f43fcf78533febabe4eacb539f0ed03470c8320d606f29f54c220cda5abb3039	430124	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
116334_v1	descargas_mx	116334-V1.zip	776d56bf91535beaecef9480c352b022c3aec1ec7fae36c969ccdf6c8cc89d1c	1404772	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
1390537077technical_information_mexico_2006	descargas_mx	[REDACTADO-PRIVACIDAD]	521cba1bd010dedecbb1df0e9ad5ced7f57f21da1f47b56b2656be54b874af60	300398	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
1658622845mexico_2004_export_version	descargas_mx	[REDACTADO-PRIVACIDAD]	e725383552753223d263a1d65e2aaf9549a59859eb1b5777b666f32728700c99	444655	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
1671516622cam_mexico_questionnaire_2004	descargas_mx	[REDACTADO-PRIVACIDAD]	452677a69fe522b8ae9f4eaa779bb62f1b9a8a7df0ca8a359d3028715dd55843	2422589	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
518939279mexico_lapop_final_2006_data_set_092906	descargas_mx	518939279mexico_lapop_final 2006 data set 092906.dta	e426210067f9dba8aca87a0df2161bc7389cc5aaf9e5516aa7ebf9cb52f149fa	416557	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
642348348mexico_2004_export_version	descargas_mx	642348348mexico 2004 export version.dta	ef46b8f5a3c565c931d8ab1d173b2ee34f9f9459987159861ee4e24bf01b9880	429746	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
682647031technical_information_mexico_2004	descargas_mx	682647031Technical information_Mexico_2004.pdf	327716b8bc4eee1f4efe011cd41c18ef80c7416e279294807eedf3fffa48d8da	37463	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
abmex18_v12_0_2_5_spa_190207_w	descargas_mx	ABMex18-v12.0.2.5-Spa-190207_W.pdf	6319cfebeda635563cec7d70573430413e608e3366acf00fa35b61cc41362f5c	1435555	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
abmex2021_mexico_questionnaire_v17_2_5_2_spa_210420_w	descargas_mx	[REDACTADO-PRIVACIDAD]	50d983736dda6f98799ac8abb24bc43b446442ca884154078b5e68a6db77f95c	1029836	FUERA-DE-DISCO	data_raw+descargas_mx (raíces configuradas)	JOIN-EXACTO-RAIZ-RUTA+INVENTARIO-SHA256-W0	2026-08-17	NO-LOCALIZADO-EN-UNIVERSO-CONFIGURADO
