url	programa	anio	carpeta	archivo	formato	en_manifiesto	bytes_declarados
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/doc/fd_mcs2014_biare_ampliado.pdf		2014	doc	fd_mcs2014_biare_ampliado.pdf	pdf	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/doc/mcs2014_biare_ampliado_descripcion_base.pdf		2014	doc	mcs2014_biare_ampliado_descripcion_base.pdf	pdf	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_agropecuario_biare_ampliado_csv.zip		2014	microdatos	mcs_agropecuario_biare_ampliado_csv.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_agropecuario_biare_ampliado_dbf.zip		2014	microdatos	mcs_agropecuario_biare_ampliado_dbf.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_agropecuario_biare_ampliado_spss.zip		2014	microdatos	mcs_agropecuario_biare_ampliado_spss.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_agropecuario_biare_ampliado_stata.zip		2014	microdatos	mcs_agropecuario_biare_ampliado_stata.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_biare_biare_ampliado_csv.zip		2014	microdatos	mcs_biare_biare_ampliado_csv.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_biare_biare_ampliado_dbf.zip		2014	microdatos	mcs_biare_biare_ampliado_dbf.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_biare_biare_ampliado_spss.zip		2014	microdatos	mcs_biare_biare_ampliado_spss.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_biare_biare_ampliado_stata.zip		2014	microdatos	mcs_biare_biare_ampliado_stata.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_concentradohogar_biare_ampliado_csv.zip		2014	microdatos	mcs_concentradohogar_biare_ampliado_csv.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_concentradohogar_biare_ampliado_dbf.zip		2014	microdatos	mcs_concentradohogar_biare_ampliado_dbf.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_concentradohogar_biare_ampliado_spss.zip		2014	microdatos	mcs_concentradohogar_biare_ampliado_spss.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_concentradohogar_biare_ampliado_stata.zip		2014	microdatos	mcs_concentradohogar_biare_ampliado_stata.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_gastoshogar_biare_ampliado_csv.zip		2014	microdatos	mcs_gastoshogar_biare_ampliado_csv.zip	zip	no	
https://www.inegi.org.mx/contenidos/investigacion/bienestar/ampliado/microdatos/2014/mcs_gastoshogar_biare_ampliado_dbf.zip		2014	microdatos	mcs_gastoshogar_biare_ampliado_dbf.zip	zip	no	
