# data/inventario-reactivos-contexto-v1_1.tsv -- sucesor overlay; no reordena fuentes historicas
# contexto_busqueda es vocabulario editorial de recuperacion, no texto literal de la fuente
# {"cache_hits": 22, "cache_misses": 0, "extractor_version": "reactivos-contexto-1.1.4", "filas_con_texto_publicadas": 42332, "filas_metadato_perimetro": 55895, "filas_sin_texto_residual": 13563, "fuentes": {"FD_ENCUCI2020.pdf": "6cd6f7475a0b", "enif_2015_fd.xlsx": "8233cf53f590", "enif_2018_fd.xlsx": "dd8d5c92a7a0", "enif_2021_fd_pdf.zip": "6f4e3aab705d", "enif_2024_fd.xlsx": "17e2ad86ce9e", "ensafi2023/ensafi_2023_fd_xlsx.zip": "37bd0cb6dd54", "envipe2011/fd_envipe2011.xls": "d296c9f18cdb", "envipe2012/fd_envipe2012.xls": "dcca5373391c", "envipe2013/fd_envipe2013.xlsx": "7e842826e3f7", "envipe2014/fd_envipe2014.pdf": "b72ed2be77d4", "envipe2015/fd_envipe2015.pdf": "1042ab57b015", "envipe2016/fd_envipe2016.pdf": "e21428e021a6", "envipe2017/fd_envipe2017.pdf": "a633224e86cd", "fd_enif2012.xlsx": "f03d8e7c82f5", "fd_envipe2018.pdf": "30f78e99e545", "fd_envipe2019.pdf": "47d58f6c38b7", "fd_envipe2020.pdf": "94bcf0b012b9", "fd_envipe2021.pdf": "d85775241d6f", "fd_envipe2022.pdf": "8082959fa017", "fd_envipe2023.pdf": "743c260e89a6", "fd_envipe2024.pdf": "f8d720385957", "fd_envipe2025.pdf": "83fe02467b66"}, "grupos_residuales": 6099, "motivos_residuales": {"CORRESPONDENCIA_AMBIGUA": 2642, "ETIQUETA_TECNICA_NO_ACREDITADA": 2708, "FILA_AUXILIAR_SIN_REACTIVO": 7462, "PREGUNTA_NO_LOCALIZADA": 751}, "objetos": ["envipe", "ennvih", "encuci", "enif", "ensafi"]}
id_origen	payload_id	sha256_12	instrumento	ola	archivo_miembro	variable_id	texto_reactivo	texto_tipo	contexto_busqueda	metodo	universo_declarado	fuente_texto	fuente_sha256_12	referencia_fuente
ext:79	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	control	Número de Control vivienda	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=18
ext:80	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	viv_sel	Número de Vivienda seleccionada	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=20
ext:81	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	hogar	Control del hogar	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=22
ext:82	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	n_ren	2.1 Número de renglón	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=24
ext:83	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	sexo	2.3 (NOMBRE) es hombre (NOMBRE) es mujer?	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=31
ext:84	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	edad	2.3 ¿Cuántos años cumplidos tiene (NOMBRE)?	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=34
ext:85	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	codigo	2.5 ¿En qué día y mes nació (NOMBRE)?	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=40
ext:86	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	tl	Tamaño de Localidad	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=47
ext:87	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	est_dis	Estrato de diseño	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=56
ext:88	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	upm_dis	UPM	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=58
ext:89	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	fac_viv	Factor vivienda	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=52
ext:90	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	fac_per	Factor persona	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=54
ext:91	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TSDEM.sav	estrato	Estrato	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TSDEM;fila=60
ext:92	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	control	Control de vivienda	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=19
ext:93	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	viv_sel	Vivienda	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=21
ext:94	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	p1_1	1.1 ¿Cuántas personas viven normalmente en esta vivienda, contando a los niños chiquitos y a los ancianos? (Incluya a los trabajadores domésticos que vivan aquí).	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=38
ext:95	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	p1_2	1.2 ¿Todas las personas que viven en esta vivienda comparten un mismo gasto para comer?	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=40
ext:96	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	p1_3	1.3 Entonces, ¿cuántos hogares o grupos de personas tienen gastó separado para comer, contando el de usted?	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=43
ext:97	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	tl	Tamaño de Localidad	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=50
ext:98	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	est_dis	Estrato de diseño	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=57
ext:99	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	upm_dis	UPM	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=59
ext:100	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	fac_viv	Factor vivienda	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=55
ext:101	bases_enif2012_sav.zip	9f1d6eb7301b	enif2012	2012	ENIF_TVIVIENDA.sav	estrato	Estrato	PREGUNTA_DICCIONARIO		INSPECT_SPSS	PRESENTE_EN_DATA_RAW	fd_enif2012.xlsx	f03d8e7c82f5	miembro=fd_enif2012.xlsx;hoja=TVIVIENDA;fila=61
