fila	termino	archivo	n_aciertos	contexto_primer_acierto
aversion_riesgo	asegurad	enoe_123_fd_c_bas_amp.pdf	2	y retorno, desocu- asegurado pada, iniciadora con
aversion_riesgo	asegurad	enoe_325_fd_c_bas_amp.pdf	2	retorno, desocu- asegurado
aversion_riesgo	asegurad	fd_c_amp_v1.pdf	2	clase3 4 ocupado ausente con retorno asegurado 5 desocupados i
aversion_riesgo	asegurad	fd_c_amp_v2.pdf	2	clase3 4 ocupado ausente con retorno asegurado 5 desocupados i
aversion_riesgo	asegurad	fd_c_amp_v3.pdf	2	clase3 4 ocupado ausente con retorno asegurado 5 desocupados i
aversion_riesgo	asegurad	fd_c_amp_v4.pdf	2	4 ocupado ausente con retorno asegurado 55 clase3 numerico
aversion_riesgo	asegurad	fd_c_bas_amp_15ymas.pdf	2	con nexo laboral asegurado
aversion_riesgo	asegurad	fd_c_bas_amp_conapo.pdf	2	4 ocupado ausente con retorno asegurado
aversion_riesgo	asegurad	fd_c_bas_v1.pdf	2	clase3 4 ocupado ausente con retorno asegurado 5 desocupados i
aversion_riesgo	asegurad	fd_c_bas_v2.pdf	2	clase3 4 ocupado ausente con retorno asegurado 5 desocupados i
aversion_riesgo	riesgo	c_amp_v5.pdf	2	uedo sin trabajo, ¿cual 04 el trabajo era riesgoso y/o insalubre era la situacion?
aversion_riesgo	riesgo	c_amp_v6a.pdf	2	era el nombre de este oficio, puesto o cargo? 04 el trabajo era riesgoso y/o insalubre 05 lo forzaron a renunciar o a pensionarse
aversion_riesgo	riesgo	enoe_123_fd_c_bas_amp.pdf	2	04 el trabajo era riesgoso y/o insalubre
aversion_riesgo	riesgo	enoe_325_fd_c_bas_amp.pdf	2	04 el trabajo era riesgoso y/o insalubre
aversion_riesgo	riesgo	fd_c_amp_v4.pdf	2	04 el trabajo era riesgoso y/o insalubre
aversion_riesgo	riesgo	fd_c_bas_amp_15ymas.pdf	2	04 el trabajo era riesgoso y/o
aversion_riesgo	riesgo	fd_c_bas_amp_conapo.pdf	2	04 el trabajo era riesgoso y/o insalubre
aversion_riesgo	seguro de	c_amp_v5.pdf	6	afore)? 06 21 a 30 personas 5 seguro de vida? 07 31 a 50 pers
aversion_riesgo	seguro de	c_amp_v6a.pdf	6	5 seguro de vida? 07 31 a 50 pers
aversion_riesgo	seguro de	enoe_123_fd_c_bas_amp.pdf	6	3m5 opcion 5: seguro caracter 1 5 seguro de vida? de vida?
aversion_riesgo	seguro de	enoe_325_fd_c_bas_amp.pdf	6	3m5 opcion 5: seguro caracter 1 5 seguro de vida? de vida?
aversion_riesgo	seguro de	fd_c_amp_v4.pdf	10	5 seguro de vida? 100 p3m5 opcion 5 seguro de vida? ca
aversion_riesgo	seguro de	fd_c_bas_amp_15ymas.pdf	6	3m5 opcion 5: seguro caracter 1 5 seguro de vida?
aversion_riesgo	seguro de	fd_c_bas_amp_conapo.pdf	6	5 seguro de vida?
confianza_institucional[educacion]	escuela	c_amp_v5.pdf	4	ra la que ... trabaja o ayuda? 3 escuela, hospital, clinica o institucion
confianza_institucional[educacion]	escuela	c_amp_v6a.pdf	4	3 escuela, hospital, clinica o institucion (escucha y circula la opcio
confianza_institucional[educacion]	escuela	c_bas_v5.pdf	4	02 ambulante de casa en casa o en la calle 3 escuela, hospital, clinica o institucion 03 pues
confianza_institucional[educacion]	escuela	c_bas_v7.pdf	4	02 ambulante de casa en casa o en la calle 3 escuela, hospital, clinica o institucion 03 pu
confianza_institucional[educacion]	escuela	c_sdem_v4.pdf	4	ra que estudia o estudios termino a la escuela? mujeres)
confianza_institucional[educacion]	escuela	c_sdem_v5a.pdf	4	os nacio ...? recado? escuela?
confianza_institucional[educacion]	escuela	enoe_123_fd_c_bas_amp.pdf	18	escuela (nivel 02 primaria
confianza_institucional[educacion]	escuela	enoe_325_fd_c_bas_amp.pdf	18	escuela (nivel 02 primaria
confianza_institucional[educacion]	escuela	fd_c_amp_v4.pdf	12	00‐09,99 nivel escolar aprobo … en la escuela pregunta 13 ¿hasta que ano 32 cs_p13_2
confianza_institucional[educacion]	escuela	fd_c_bas_amp_15ymas.pdf	18	02 primaria escuela (nivel 03 secundaria
confianza_institucional[educacion]	escuela	fd_c_bas_amp_conapo.pdf	18	2 05 normal aprobo … en la escuela?
confianza_institucional[educacion]	sep	c_amp_v5.pdf	8	(no importa si estan integradas o por separado)
