seccion	item	url	tipo	formato	frecuencia_o_ventana	que_mide_o_contiene	clasificacion_a4	universo_busqueda	receta_manual	notas	sha256_payload	id_manifiesto
A.1	SIE_catalogoSeries_token	https://www.banxico.org.mx/SieAPIRest/service/v1/token ; .../series/catalogoSeries	API REST con token	JSON/CSV	n/a	catalogo completo de 190,000+ series SIE, via de A.1 pedida por el encargo	NO-ACCESIBLE (registro gratuito requerido; este agente no llena formularios con el correo del usuario sin autorizacion explicita -- no es negativa de acceso, es limite de herramienta+autorizacion)	portal SIE, formulario de token por correo	1) Ir a https://www.banxico.org.mx/SieAPIRest/service/v1/token 2) Llenar correo, aceptar terminos (formulario gratuito, <1 min) 3) Token llega por correo 4) GET .../series/catalogoSeries?token=TOKEN y filtrar 'CoDi'/'SPEI' -- NO NECESARIO si se usa la via alterna de este acto (fila siguiente), que ya entrega los ids sin token	NO OBTENIDO POR ESTE AGENTE -- 0 intentos (no es fallo de red, es decision deliberada de no registrar el correo del usuario en un formulario externo sin pedir permiso primero). Superado en la practica por A.2/A.4: la via SieInternet (sin token) ya entrega idCuadro reales y datos.		
A.1	CoDi_SPEI_ids_de_serie	https://www.codi.org.mx/secundarias/estadisticas.html (enlaces reales a SieInternet)	idCuadro SIE (no idSerie SieAPIRest, via distinta)	HTML con enlaces a consultarDirectorioInternetAction.do	diaria (ventana visible sin JS: solo ultimos 3 dias)	5 idCuadro reales: CF881 cuentas validadas, CF882 cuentas pago/cobro, CF884 operaciones, CF885 monto, CF883 dispositivos Android/iOS enrolados	EXISTE-SATISFACE -- resuelve el objetivo de A.1 (localizar los ids) sin necesitar token, via SieInternet en vez de SieAPIRest	codi.org.mx/secundarias/estadisticas.html, abierta byte a byte	n/a -- ya resuelto	PR#149 probo dos conjeturas de idSerie (SF60653/SF61510) y las descarto sin adjudicar; este acto NO repitio esas conjeturas -- encontro los ids reales por el mecanismo correcto (abrir la pagina oficial que los expone). Los 5 cuadros bajados y registrados (ver filas siguientes).	ver filas CF881-CF885 c/u	ver filas CF881-CF885 c/u
A.2	codi_org_mx_estadisticas	https://www.codi.org.mx/secundarias/estadisticas.html	pagina oficial CoDi con 6 descargas	HTML	n/a	landing que separa las 4+ metricas exigidas por la ficha R3.4 en descargas distintas	EXISTE-SATISFACE	n/a -- URL directa del TSV de #149	n/a	Confirmado byte a byte. Es la mejor puerta de entrada -- desde aqui salen los 5 idCuadro.	43119a1bbf066c426c0b40bb9c8f0fa851caed5a4df163cba99f8ea5b9ea5983	codi_org_mx_estadisticas_landing
A.2	SIE_CF881_cuentas_validadas	banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=21&accion=consultarCuadro&idCuadro=CF881	cuadro SIE, sin token	HTML (tabla)	diaria; ventana visible sin JS: 25,26,27-jul-2026 (3 dias)	Total de cuentas validadas por dia, por institucion. Metrica 1/4: cuentas registradas	EXISTE-SATISFACE	n/a	Para serie historica completa: abrir la URL en navegador y usar el selector de fechas interactivo (JS) -- este acto no logro range query por parametros GET (ver B.3-style intento documentado en nota forense)	25/26/27-jul-2026: 5,467 / 4,635 / 6,091 cuentas/dia -- valores pequenos, consistentes con FLUJO diario (altas), no stock.	1debc7f3cc65edde5ef8c48544c03bf7dd6244a836dd19ad299c138e25fc3f55	banxico_sie_cf881_cuentas_validadas
A.2	SIE_CF882_cuentas_pago_cobro	banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=21&accion=consultarCuadro&idCuadro=CF882	cuadro SIE, sin token	HTML (tabla)	diaria; ventana 25-27/jul/2026	Cuentas que han realizado >=1 pago (STOCK) y >=1 cobro (STOCK). Metrica 2/4: cuentas con operacion	EXISTE-SATISFACE	n/a	idem CF881	pago: 2,797,082/2,797,925/2,799,154 -- candidata mas cercana a 3.09M (Cobertura360 oct-2024), no reconciliada del todo (ver fila discrepancia). cobro: 1,126,651/1,126,757/1,126,911. Definicion Banxico: por dia operativo SPEI (18:00 a 18:00).	05cec9b9a2937b22f8644e2f674c183559b86fd97b3235312f23b21ab99f4964	banxico_sie_cf882_cuentas_pago_cobro
A.2	SIE_CF884_operaciones	banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=21&accion=consultarCuadro&idCuadro=CF884	cuadro SIE, sin token	HTML (tabla)	diaria; ventana 25-27/jul/2026	Total de operaciones enviadas por dia. Metrica 3/4: numero de operaciones	EXISTE-SATISFACE	n/a	idem CF881	7,425/5,470/11,687 operaciones/dia -- corrobora Informe Anual IdMF 2024 (9,903 op. promedio diarias, dic-2024): misma serie, dos fuentes primarias independientes coinciden en orden de magnitud.	5bd31243e63fad1cb680728f1a3cfbddba6196506aa0f7779adbc6c8aaa5a5de	banxico_sie_cf884_operaciones
A.2	SIE_CF885_monto	banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=21&accion=consultarCuadro&idCuadro=CF885	cuadro SIE, sin token	HTML (tabla)	diaria; ventana 25-27/jul/2026	Total de monto enviado (pesos) por dia. Metrica 4/4: importes	EXISTE-SATISFACE	n/a	idem CF881	$7,758,533/$3,538,804/$12,985,859 pesos/dia -- corrobora Informe Anual IdMF 2024 ($10.6M promedio diario, dic-2024).	de7658bfa05dbab31166f681a3ad8b481ba3afebb16589d289ae58ac3e083748	banxico_sie_cf885_monto
A.2	SIE_CF883_dispositivos_enrolados	banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=21&accion=consultarCuadro&idCuadro=CF883	cuadro SIE, sin token	HTML (tabla)	diaria (STOCK); ventana 25-27/jul/2026	Dispositivos Android/iOS enrolados (apps). NO es ninguna de las 4 metricas de la ficha -- es apps/dispositivos.	EXISTE-NO-SATISFACE (existe y es fuerte candidata para la discrepancia, pero no es 'cuentas' en sentido estricto)	n/a	idem CF881 para historico	Android: 24,150,606/24,155,308/24,161,851 (6-ago-2026) -- candidata mas fuerte para explicar 21.8M (El Economista, sept-2025): trayectoria de crecimiento compatible. iOS total no extraido (presupuesto de tiempo).	f6456499e8ab2e498cf0995308f6a14250ae9529611fe9320a578642d85c5b1a	banxico_sie_cf883_dispositivos_enrolados
A.2	banxico_codi_avances_fecha	https://www.banxico.org.mx/sistemas-de-pago/codi-avances-banco-mexico.html	pagina oficial, institucional	HTML	actualizacion declarada en pagina	avance de instituciones financieras (no cifras de usuario final): 35 participantes SPEI con CoDi, tiempos de procesamiento	EXISTE-SATISFACE (confirma fecha; NO satisface para cifras de cuentas/operaciones -- ver CF88x)	n/a	n/a	CONFIRMADO byte a byte: 'Ultima Actualizacion: 10 de julio de 2026' -- coincide exacto con snippet citado por EXPLORA-1.	3052e7114cb2b100d7f170c2dc78549ca47174a7b2f9e581e36bea12bfb0252a	banxico_codi_avances_2026
A.2	Informe_Anual_IdMF_2019_a_2024	banxico.org.mx/publicaciones-y-prensa/informe-anual-sobre-las-infraestructuras-de-los-me/informes-infraestructuras-mer.html (listado; 6 PDFs con GUID por edicion)	listado + 6 PDF	HTML (listado) + PDF (6 ediciones)	anual, 2019-2024	Politica IdMF + cifras operativas oficiales anuales de CoDi/SPEI (ed.2024 secc.2.3.3: 9,903 op/dia dic-2024, $10.6M/dia, 35 participantes, 1,020 comercios, 86 gob., ~257.8 mil cuentas activas Q4-2024)	EXISTE-SATISFACE	n/a	n/a -- las 6 ediciones bajadas completas	CONFIRMADO: NO existe edicion 2025 al 6-ago-2026 (la mas reciente es 2024, 9 ediciones totales 2016-2024 en el listado). Ed.2024 es la candidata mas fuerte del encargo Y la que mas cifras primarias aporta -- ninguna de sus cifras de cuentas llega a millones (fortalece hipotesis de que 21.8M/17.8M no son 'cuentas CoDi').	listado:ba11757f...639bff | 2019:fc9ed338...188a | 2020:76340050...96f4 | 2021:63e3e08a...cb95 | 2022:c63ec824...a322 | 2023:efbcd281...047d | 2024:c164b911...78d6f (hashes completos en data/manifiesto.yaml)	banxico_informe_anual_idmf_listado_ediciones, banxico_informe_anual_idmf_2019, _2020, _2021, _2022, _2023, _2024
A.3	discrepancia_3_09M_vs_21_8M_17_8M	(sin URL unica -- reconciliacion contra las fuentes primarias de arriba)	analisis de reconciliacion	n/a	n/a	si 3.09M (Cobertura360 oct-2024) y 21.8M/17.8M (El Economista/Fintechexpert sept-2025) son la misma magnitud en 2 fechas, magnitudes distintas, o una no reproduce	EXISTE-NO-SATISFACE -- ACOTADA, NO RECONCILIADA DEL TODO (dicho con esas palabras, ADR-37)	n/a	Para cerrar del todo: obtener el valor HISTORICO exacto de CF882 (cuentas c/pago) en oct-2024 y de CF883 Android en sept-2025 -- requiere token SieAPIRest + idSerie, o navegador con el selector de fechas JS de SieInternet (ninguno disponible en este acto)	NINGUNA cifra oficial actual (jul-ago 2026) ni del Informe Anual 2024 llega a millones de 'cuentas CoDi' strictu sensu (maximo oficial: ~257.8 mil cuentas activas trimestrales, cierre 2024). Dos magnitudes distintas, no dos fechas de la misma: (a) 21.8M/17.8M sept-2025 -- candidata mas fuerte es dispositivos Android enrolados (24.16M ago-2026, trayectoria de crecimiento compatible hacia atras); 17.8M podria ser iOS+Android con otro corte o la cifra de un solo SO, no verificado. (b) 3.09M oct-2024 -- candidata mas cercana por orden de magnitud es 'cuentas con >=1 pago' (2.80M jul-2026), pero esta ultima DEBERIA ser mayor 21 meses despues si es stock acumulado monotono, no menor -- contradiccion no resuelta, posible cambio de metodologia o que 3.09M mida otra cosa. No se fuerza una reconciliacion falsa.		
A.4	obligacion_reporte_series_encuestas_CoDi_SPEI	n/a -- lista de lo visto, no busqueda nueva	lista	n/a	n/a	Todas las series/encuestas que miden CoDi/SPEI vistas en este acto	n/a (obligacion de reporte, no una puerta)	n/a	n/a	SIE CF881/CF882/CF884/CF885/CF883 (ver filas arriba). Informe Anual IdMF (banxico, anual, secc.2.3.3 CoDi). ENIF 2024 -- 5 olas, 22/22 COINCIDE+INTEGRO en disco, ya en corpus (respaldo previo, no re-descargado). ENDUTIH -- ya en corpus (id endutih2024_bd_dbf_zip, encuesta ICT/hogares INEGI; NO verificado en este acto si su cuestionario pregunta especificamente por CoDi/pagos digitales -- queda para quien adjudique la ficha). No se identificaron series adicionales de SPEI puro (fuera de CoDi) en las paginas consultadas.		
