id_manifiesto	archivo	raiz	tamano_bytes	usado_para_declara_uso	necesidades_que_lo_citan	tsv_de_apertura_que_lo_toca	estado	universo_declarado
1_vfinal_cuestionario_hogar_ensanut_2024_etiquetas_cuestionarios	1 VFINAL Cuestionario Hogar ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	662210	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
2_vfinal_cuestionario_nios_0_a_9_ensanut_2024_etiquetas_cuestionarios	2 VFINAL Cuestionario nios 0 a 9 ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	518103	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
3_vfinal_cuestionario_adolescentes_ensanut_2024_etiquetas_cuestionarios	3 VFINAL Cuestionario adolescentes ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	479013	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
4_vfinal_cuestionario_adultos_ensanut_2024_etiquetas_cuestionarios	4 VFINAL Cuestionario adultos ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	795644	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
5_vfinal_cuestionario_utilizadores_ensanut_2024_etiquetas_cuestionarios	5 VFINAL Cuestionario utilizadores ENSANUT 2024_ETIQUETAS.Cuestionarios.pdf	descargas_mx	267996	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
adolescentes_ensanut2024_w_csv_csv	adolescentes_ensanut2024_w.csv.csv.zip	descargas_mx	416868	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
adolescentes_ensanut2024_w_stata_stata	adolescentes_ensanut2024_w.stata.stata.zip	descargas_mx	798929	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
adultos_ensanut2024_w_catlogo	adultos_ensanut2024_w.Catlogo.xlsx	descargas_mx	247551	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
adultos_ensanut2024_w_catlogo_csv_csv	adultos_ensanut2024_w.Catlogo.csv.csv.zip	descargas_mx	234627	sin uso asignado — registro de inventario			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_2013_17_crowding_out_70ymas	banxico-2013-17-crowding-out-70ymas.pdf	descargas_mx	253790	Insumo metodologico citado por R5.1-D2 (Commit 4, E4c): precedente metodologico directo -- Amuedo-Dorantes y Juarez Gonzalez (2013), Banxico Documentos de Investigacion 2013-17, mismo pais/encuesta ENIGH/pregunta sustantiva de crowding-out. No es microdato.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_codi_avances_2026	R3.4_Banxico_CoDi_SPEI/banxico_codi_avances_banco_mexico.html	data_raw	8271	MED-R3.4 -- confirma fecha real de actualizacion de la pagina de avances de implantacion (institucional, no cifras de usuario final)			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_codi_cuentas_validadas_x_mil_hab	R3.4_Banxico_CoDi_SPEI/banxico_codi_cuentas_validadas_x_mil_hab_trimestral.xlsx	data_raw	166771	MED-R3.4 -- descarga directa (no cuadro SIE) de cuentas validadas por cada mil habitantes, distribucion geografica trimestral. ACTUALIZADO 2026-08-08 (addendum EXPLORA-2 post-token) -- sumado por trimestre nacional (32 entidades y 382-411 LADAs, cross-check exacto), resuelve la reconciliacion A.3 -- 2025-T3 = 21,884,617 cuentas validadas acumuladas, confirma el 21.8M de prensa (El Economista sept-2025) contra fuente primaria, diff +0.39%. Serie completa 2022-T1 a 2026-T1 en forense/notas/2026-08-08-explora2.md.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_2019	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2019.pdf	data_raw	2494301	MED-R3.4 -- Informe Anual IdMF edicion 2019, candidata primaria mas fuerte segun el encargo EXPLORA-2 A.2			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_2020	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2020.pdf	data_raw	4010821	MED-R3.4 -- Informe Anual IdMF edicion 2020, candidata primaria mas fuerte segun el encargo EXPLORA-2 A.2			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_2021	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2021.pdf	data_raw	3576969	MED-R3.4 -- Informe Anual IdMF edicion 2021, candidata primaria mas fuerte segun el encargo EXPLORA-2 A.2			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_2022	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2022.pdf	data_raw	3149823	MED-R3.4 -- Informe Anual IdMF edicion 2022, candidata primaria mas fuerte segun el encargo EXPLORA-2 A.2			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_2023	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2023.pdf	data_raw	3395130	MED-R3.4 -- Informe Anual IdMF edicion 2023, candidata primaria mas fuerte segun el encargo EXPLORA-2 A.2			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_2024	R3.4_Banxico_CoDi_SPEI/informe_anual_IdMF_2024.pdf	data_raw	4304507	MED-R3.4 -- Informe Anual IdMF edicion 2024, candidata primaria mas fuerte segun el encargo EXPLORA-2 A.2			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_informe_anual_idmf_listado_ediciones	R3.4_Banxico_CoDi_SPEI/banxico_informe_anual_IdMF_listado_ediciones.html	data_raw	11067	MED-R3.4 -- tabla con las 9 ediciones existentes (2016-2024) del Informe Anual IdMF, con su URL real (GUID) por edicion			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_infraestructuras_mercados_fin_landing	R3.4_Banxico_CoDi_SPEI/banxico_infraestructuras_mercados_fin_landing.html	data_raw	10267	MED-R3.4 -- landing de politica IdMF; confirma SPEI como sistemicamente importante desde 2016 y enlaza al listado de ediciones del Informe Anual			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_sie_cf881_cuentas_validadas	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF881_cuentas_validadas.html	data_raw	467574	MED-R3.4 -- cuadro SIE CF881 'Total de cuentas validadas' por institucion, definicion propia de Banxico. Metrica 1 de 4 (cuentas registradas).			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_sie_cf882_cuentas_pago_cobro	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF882_cuentas_pago_cobro.html	data_raw	116399	MED-R3.4 -- cuadro SIE CF882, DOS series: 'Cuentas que han realizado al menos un pago' y '...un cobro'. Metrica 2 de 4 (cuentas con >=1 operacion), STOCK acumulado.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_sie_cf883_dispositivos_enrolados	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF883_dispositivos_enrolados.html	data_raw	886364	MED-R3.4 -- cuadro SIE CF883, dos series 'Total de dispositivos Android enrolados' y '...iOS enrolados'. NO es ninguna de las 4 metricas que pide la ficha (es apps/dispositivos, no cuentas/operaciones/monto) -- candidata mas fuerte para explicar 21.8M/17.8M.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_sie_cf884_operaciones	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF884_operaciones.html	data_raw	792297	MED-R3.4 -- cuadro SIE CF884 'Total de operaciones enviadas'. Metrica 3 de 4 (numero de operaciones), FLUJO diario.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
banxico_sie_cf885_monto	R3.4_Banxico_CoDi_SPEI/banxico_sie_cuadro_CF885_monto.html	data_raw	788382	MED-R3.4 -- cuadro SIE CF885 'Total de monto enviado' (pesos). Metrica 4 de 4 (importes), FLUJO diario.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
codi_org_mx_estadisticas_landing	R3.4_Banxico_CoDi_SPEI/codi_org_mx_estadisticas_landing.html	data_raw	17874	MED-R3.4 -- landing que expone los 5 cuadros SIE (CF881-CF885) separados por metrica: cuentas validadas, cuentas con pago, cuentas con cobro, operaciones, monto, apps moviles enroladas			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
conf17_r1_1_paa_componente_apoyo	R1_1_AGROASEMEX/PAA_componente_apoyo.csv	data_raw	210586	Candidata para R1.1 (Ficha 1) — verificación byte a byte por ENCARGO CONF-17. No promueve ni reabre el veredicto D.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
conf17_r1_1_paa_componente_subsidio_agricola	R1_1_AGROASEMEX/PAA_componente_subsidio_ramo_agricola.csv	data_raw	1553774	Candidata para R1.1 (Ficha 1) — verificación byte a byte por ENCARGO CONF-17. No promueve ni reabre el veredicto D.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
conf17_r1_1_paa_componente_subsidio_ganadero	R1_1_AGROASEMEX/PAA_componente_subsidio_ramo_ganadero.csv	data_raw	1153815	Candidata para R1.1 (Ficha 1) — verificación byte a byte por ENCARGO CONF-17. No promueve ni reabre el veredicto D.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
conf17_r1_1_padron_fondos_agroasemex	R1_1_AGROASEMEX/padron_integrantes_sistema_nacional_aseguramiento_agropecuario.csv	data_raw	47848	Candidata para R1.1 (forense/notas/2026-08-05-barrido-publico-17-condiciones-no-existe.md, Ficha 1) — verificación byte a byte por ENCARGO CONF-17. No promueve ni reabre el veredicto D ya sellado de hitoD-R1.1.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
conf17_r4_1_sestad_reporte_2021	R4_1_SESTAD_ESTAD/SESTAD_reporte_2021.pdf	data_raw	1006873	Candidata para R4.1 (Ficha 7, veredicto D ya sellado) — verificación byte a byte por ENCARGO CONF-17. No reabre el veredicto.			SIN-DEMANDA	manifiesto.yaml+relaciones.tsv+abrir4-variables-2026-08-08.tsv+verif3-variables-2026-08-08.tsv @ dcc4f6a..5f90757 (sin cambio en estos 4 archivos en ese rango, verificado)
