ola	era	manifest_id	archivo	sha256	reserva
2005T1	clasica	enoe_2005_1t_csv_microdatos	2005trim1_csv.zip	a9c7823dc60a8ce85478ab115409eeeacd35e6e4aaf604f3c4cbd8c802171a33	LIBRE-SUJETA-A-CONSULTA
2008T1	clasica	enoe_2008_1t_csv_microdatos	2008trim1_csv.zip	a8a8c1917a5e083bdad9f6ddba29e7d9efd0b21cc8137aad7ed36dd63100ad94	LIBRE-SUJETA-A-CONSULTA
2012T1	clasica	enoe_2012_1t_csv_microdatos	2012trim1_csv.zip	fea732fdf1c14349098a16a1d9c635a7621992c21b8688b3f26c7d2f2f0533b5	LIBRE-SUJETA-A-CONSULTA
2014T1	clasica	enoe_2014_1t_csv_microdatos	2014trim1_csv.zip	fbb779cab476cf97ccd7483cdf02b87c19b1315a3147ea1797db06ab356fcbd2	LIBRE-SUJETA-A-CONSULTA
2016T1	clasica	enoe_2016_1t_csv_microdatos	2016trim1_csv.zip	8e29abc983fadf367ef347b40806987d51ad412051b3684ac45fd91f4cadde5d	LIBRE-SUJETA-A-CONSULTA
2016T2	clasica	enoe_2016_2t_csv_microdatos	2016trim2_csv.zip	4aa9a8e2083378fa60aa965a2236bc81ca1a011c1a80cfb5907c462dc3f5a56f	LIBRE-SUJETA-A-CONSULTA
2016T3	clasica	enoe_2016_3t_csv_microdatos	2016trim3_csv.zip	9103423fdceceed4922d6fcd53dee9357c1fb9815854bd58314a726816d2cc28	LIBRE-SUJETA-A-CONSULTA
2016T4	clasica	enoe_2016_4t_csv_microdatos	2016trim4_csv.zip	f5846e8416dbbdb0a907b3f2321e9607083a269878657225fd3c82c708465500	LIBRE-SUJETA-A-CONSULTA
2017T1	clasica	enoe_2017_1t_csv_microdatos	2017trim1_csv.zip	945d848a236630474d1798cf39f5098a8e1f63162550d6728b354cd05b5a73a8	LIBRE-SUJETA-A-CONSULTA
2017T2	clasica	enoe_2017_2t_csv_microdatos	2017trim2_csv.zip	bd58ed29a986e3f8b3642e6e6aa8ea7dbf7277116888cd60f799b562fd545066	LIBRE-SUJETA-A-CONSULTA
2017T3	clasica	enoe_2017_3t_csv_microdatos	2017trim3_csv.zip	1c3c9ad09ab726b6b4546fdb86d68759749758b31d74a97718d4d665e0bb5973	LIBRE-SUJETA-A-CONSULTA
2017T4	clasica	enoe_2017_4t_csv_microdatos	2017trim4_csv.zip	af96a2420779c1cdf82b49bb7ddd5b489771bb791938db9b799da6f8b43d3be4	LIBRE-SUJETA-A-CONSULTA
2018T1	clasica	enoe_2018_1t_csv_microdatos	2018trim1_csv.zip	e078fbd23a6c62a91eb26070818d7c2f5ac2b3ed4f4af698be20a8e522a13d33	LIBRE-SUJETA-A-CONSULTA
2018T2	clasica	enoe_2018_2t_csv_microdatos	2018trim2_csv.zip	2ca4002f7209b029a470caa3174353a2766ca9fc1f4e1ea3c87a063d1218c00f	LIBRE-SUJETA-A-CONSULTA
2018T3	clasica	enoe_2018_3t_csv_microdatos	2018trim3_csv.zip	7273d867ef6b9c5cad0264451b195f41606c6e1a9c84d1662de9139f563487c7	LIBRE-SUJETA-A-CONSULTA
2018T4	clasica	enoe_2018_4t_csv_microdatos	2018trim4_csv.zip	9259fcb81747ebfad7fbbd75b9dc9a65825142bc10366c447f645489b3383774	LIBRE-SUJETA-A-CONSULTA
2019T1	clasica	enoe_2019_1t_microdatos	enoe_microdatos_post2019/2019trim1_csv.zip	9337691044a70d935f3b7e6858730640a726ac5e37145d2dafe34cb9f77e7e89	LIBRE-SUJETA-A-CONSULTA
2019T2	clasica	enoe_2019_2t_microdatos	enoe_microdatos_post2019/2019trim2_csv.zip	721bf45739241179cca3685c42e65a0270cbe02019602571ee79cc1a157a8d36	LIBRE-SUJETA-A-CONSULTA
2019T3	clasica	enoe_2019_3t_microdatos	enoe_microdatos_post2019/2019trim3_csv.zip	6809243e8fa1bc4fe836ab2337b51b387f2bc4b9e28907b70ddcaf9fd67b584b	LIBRE-SUJETA-A-CONSULTA
2019T4	clasica	enoe_2019_4t_microdatos	enoe_microdatos_post2019/2019trim4_csv.zip	d91658be67f515a26f501fc130731e866b7c77c992ed91471217074f4f18ad58	LIBRE-SUJETA-A-CONSULTA
