prioridad	objeto	fuente	acción_mínima	impacto_posible	costo	condición_de_paro	decisión_requerida
1	R1.5-R1.7; R8.2	Encuesta de Competencias Financieras Banxico 2019-2024	Abrir manual 2024 y mapear crédito por aplicación, tienda, estrés/daño y tanda; no abrir microdatos todavía	Desbloquear medición de daño crediticio y precisar si existe puente hacia BNPL/tandas	bajo	Parar si no distingue modalidad, consecuencia financiera o relación entre participantes	A. abrir ahora
2	G5 familismo_apoyo/obligacion; R8.3	ISSP Social Networks and Social Resources 2017 México	Registrar acceso GESIS y abrir cuestionario MX17+variable report; mapear deber, apoyo, confianza y participación	Reemplazar proxy circular y poner actitud/deber/conducta en la misma muestra	bajo-medio	Parar si los reactivos mexicanos no coobservan deber/apoyo con confianza o conducta	A. abrir ahora
3	G5 familismo_obligacion; R5.2	ISSP Family and Changing Gender Roles 2012 México	Abrir MX12 y variable report; construir tabla actitud/conducta/población/condicionantes	Resolver simultáneamente la decisión conceptual de familismo	bajo-medio	Parar si solo contiene roles generales sin conducta/cuidado propio	A. abrir ahora
4	R7.6-R7.9	CSES Module 5 México 2018	Abrir cuestionario, design report y variable table de México; mapear contacto, atribución, voz y voto	Habilitar reglas cívicas en la misma muestra con diseño publicado	bajo	Parar si los mecanismos requeridos no aparecen en el cuestionario mexicano	A. abrir ahora
5	R7.4-R7.5	Mass Mobilization Protest Data	Abrir codebook y filtrar metadatos de cobertura México sin descargar eventos; confirmar location, demand, response e identity	Crear diseño evento×entorno histórico con demanda y respuesta coobservadas	medio	Parar si México no tiene eventos o location no permite clasificar entorno	A. abrir ahora
6	condicionales de confianza; G1/G5; R8.3	ENCOAP 2023	Abrir cuestionario y DDI; mapear confianza interpersonal/institucional, servicios, voz y participación	Recalibrar condicionales y radio de confianza en muestra común especializada	bajo	Parar si no ofrece desenlace pertinente más allá de confianza ya medida	A. abrir ahora
7	G2/G3 riesgo; G3/G4 horizonte; G5 confianza	Global Preferences Survey	Abrir cuestionario/codebook y confirmar muestra, n y variables de México	Sustituir proxies débiles por reactivos validados directos y estimar magnitud/signo	medio	Parar si el archivo no identifica México o no trae ningún desenlace relevante del modelo	A. abrir ahora
8	R7.4-R7.5	GDELT 2.0	Probar una consulta de metadatos México y diseñar deduplicación+CAMEO+unión urbano/rural, sin descargar corpus	Aportar eventos recientes, actores y coordenadas más allá de ACLED agregado	medio-alto	Parar si la clasificación del agravio/respuesta requiere codificación manual no acotable o el sesgo domina	B. mantener en espera tras Mass Mobilization
9	R4.1	IMSS-BIENESTAR Acciones de Infraestructura	Abrir layout CSV y verificar CLUES, municipio, tipo de obra, fecha inicial y fecha operativa	Crear exposición fechada para medición futura de acceso público	medio	Parar si solo hay avance administrativo 2026 sin unidad/fecha operativa enlazable	B. mantener en espera; no cambia hoy el sellado
10	R8.1; R8.4	CNGMD 2023	Abrir únicamente cuestionarios de participación y layout; buscar comité, monitoreo, sanción, contribución y recurrencia	Construir contexto municipal o marco de muestreo para cooperación/sanción	medio	Parar si solo reporta existencia agregada de mecanismos sin identificador ni conducta	B. mantener en espera
