# crosswalk-ejes-v1 -- eje del arbitro <-> corte sellado del modelo (milpa/src/celdas.py::CORTES_C1)
# ESCRITO A MANO por ACTO GEN2-CROSSWALK-EJES-1 (16/sep/2026). NO es derivado: no hay script que lo regenere.
# veredicto in {EQUIVALENTE, MAPEO-N-A-1, NO-EQUIVALENTE, SIN-CORRESPONDENCIA, PENDIENTE-FP-53}
# `firma` vacia = PROPUESTA A MESA, sin firmar. Una fila sin firma NO autoriza consumo por el marcador.
# n_celdas = cardinalidad de la particion del eje. n_celdas_total_arbitro = celdas de ese eje sumadas
#   sobre las 7 entradas `_ejes_` de milpa/tramite-ola5-propuesta-v0.yaml; su suma reconcilia con
#   RESULT-AGGOLA-PUNTOS-POR-EJE-CON-IC = 74 (que cuenta celdas, no ejes -- ver NC-0241: 74 celdas, 64 con IC).
eje	direccion	instrumento	variable	celdas	n_celdas	n_celdas_total_arbitro	corte_modelo	variable_modelo	celdas_modelo	n_celdas_modelo	veredicto	mapeo	pierde_el_marcador	evidencia	evidencia_grado	firma	nota
formalidad	ARBITRO->MODELO	ENIF 2024 (conjunto_de_datos_tmodulo_enif2024)	P3_13	con seguridad social = P3_13 in {1..6} | sin seguridad social = P3_13 = 7 | blanco (no trabaja) y 9 (no sabe) EXCLUIDOS	2	6	formalidad	segsoc (ENIGH, modulo poblacion, nivel PERSONA)	segsoc=1 (Si derechohabiencia) | segsoc=2 (No)	2	MAPEO-N-A-1	P3_13 in {1..6} -> segsoc=1 ; P3_13 = 7 -> segsoc=2 ; P3_13 blanco/9 -> SIN CELDA EN EL MODELO	No colapsa celdas (2 contra 2) pero NO es identidad, por tres diferencias: (i) variable y instrumento distintos -- P3_13 de ENIF, no segsoc de ENIGH; (ii) 7 codigos nativos colapsados a 2; (iii) UNIVERSO RESTRINGIDO: el eje del arbitro excluye a quien no trabaja (cobertura 0.689676 en via_informal, 0.668937 en horizonte_corto; el propio yaml marca universo_restringido=true, A-bis 4 <<no reconcilia contra el marginal poblacional>>). Y el concepto no coincide: segsoc es derechohabiencia POR CUALQUIER VIA; P3_13 pregunta por derecho a servicio medico POR PARTE DE SU TRABAJO -- quien es derechohabiente por su conyuge es segsoc=1 y P3_13=7.	tools/medidor_ahorro_enif24.py:144-149 (P3_13) ; milpa/src/celdas.py:76 (segsoc) ; milpa/catalogo-momentos-v0_1.md:102 (1 Si / 2 No, nivel persona) ; forense/notas/2026-07-31-p1-enigh-semilla.md:54 (segsoc = derechohabiencia, modulo poblacion) ; milpa/tramite-ola5-propuesta-v0.yaml:1476,1549 (universo_restringido=true, A-bis 4)	ABIERTA-EN-ESTE-ACTO (lado arbitro y corte del modelo) + REGISTRADA (definicion de segsoc en ENIGH)	FIRMADA -- FP-376, FIRMA DE MESA del 16/sep/2026 (D1), propagada verbatim por ACTO GEN2-TRAMITE-4. Texto de la firma, verbatim: <<(1) `localidad` <-> `urbanizacion`: MAPEO-N-A-1 con su reserva; (2) `dominio_urbano_rural` <-> `urbanizacion`: NO-EQUIVALENTE, sin mapeo; (3) `formalidad` <-> `formalidad`: MAPEO-N-A-1, no identidad. F-17 queda enmendada: el marcador tiene un eje utilizable, no comparable.>> INCISO (3), Y ENMIENDA A F-17. F-17 (mesa, 16/sep/2026, NC-0240) ratificaba `formalidad = formalidad`; la verificacion por definicion dio MAPEO-N-A-1 y D1 RESUELVE la contradiccion a favor de la verificacion: es MAPEO, NO IDENTIDAD. La enmienda queda asentada con fecha en data/corrida0/decisiones.tsv (objeto F-17). Unico eje del crosswalk que autoriza consumo por el marcador: 6 de 74 celdas (8.1%). || FIRMA ANTERIOR, CONSERVADA: F-17 (mesa, 16/sep/2026, NC-0240) ratifica `formalidad = formalidad`; la verificacion por definicion que la MISMA firma autoriza dice MAPEO-N-A-1. P3 del encargo lo previo: <<si no, es MAPEO-N-A-1 y se dice>>. A mesa, FP-376.	Precedente propio del arbol para la MISMA distincion, en otro instrumento: forense/notas/2026-08-04-enut-paso1-familismo-obligacion.md:103 llama a P5_6_7 de ENUT <<mismo espiritu que segsoc pero no la misma variable ni el mismo catalogo>>; forense/notas/2026-08-04-encup-paso1-deferencia.md:179 precisa que <<segsoc es especificamente afiliacion a seguridad social>>. 6 celdas del arbitro, las 6 con IC, en 3 bloques de 2 (via_informal principal y secundario, horizonte_corto; este ultimo importa EJES_P2 directamente, tools/medidor_horizonte_enif24.py:45).
localidad	ARBITRO->MODELO	ENIF 2024 (conjunto_de_datos_tmodulo_enif2024)	tloc	menor de 15 000 = tloc in {3,4} | 15 000 y mas = tloc in {1,2}	2	4	urbanizacion	tam_loc (ENIGH, concentradohogar, nivel HOGAR; catalogo tam_loc.csv)	1 = 100 000+ | 2 = 15 000-99 999 | 3 = 2 500-14 999 | 4 = <2 500	4	MAPEO-N-A-1	tam_loc in {1,2} -> localidad = <<15 000 y mas>> ; tam_loc in {3,4} -> localidad = <<menor de 15 000>>. Mapeo 2-a-1 en las dos direcciones de lectura; NINGUNA celda del modelo recibe un numero propio.	LA MITAD DE LA RESOLUCION DEL EJE: 4 celdas selladas del modelo colapsan a 2. El marcador NO puede distinguir tam_loc=1 (100 000+) de tam_loc=2 (15 000-99 999), ni tam_loc=3 (2 500-14 999) de tam_loc=4 (<2 500). Las 4 celdas del arbitro (2 entradas x 2) caen sobre 2 coordenadas, no sobre 4.	tools/medidor_ahorro_enif24.py:138-143 (tloc, el colapso {1,2}/{3,4} literal) ; milpa/src/celdas.py:78 (urbanizacion = tam_loc 1,2,3,4) ; milpa/catalogo-momentos-v0_1.md:104 (los cuatro umbrales, catalogo tam_loc.csv) ; forense/notas/2026-08-03-cal-conf-faseb-medicion.md:202-206 (tloc de ENIF <<identico esquema a tam_loc de ENIGH>>, verificado contra el catalogo tloc.csv) ; forense/notas/2026-08-03-cal-conf-faseb-medicion.md:372-378 (marginal medido que MATERIALIZA las cuatro categorias: 100,000+ n=5 551 / 15,000-99,999 n=1 408 / 2,500-14,999 n=1 280 / <2,500 n=2 025)	ABIERTA-EN-ESTE-ACTO (el colapso del arbitro y el corte del modelo) + REGISTRADA (identidad tloc.csv == tam_loc.csv, leida por ACTO cal-conf fase B el 3/ago/2026 con el catalogo abierto). FD de ENIF NO-ACCESIBLE-AQUI: no hay data/raw en la nube (entorno.py: montado=NO, archivos_examinados=0) y ningun *.pdf de FD vive en el repo.	FIRMADA -- FP-376, FIRMA DE MESA del 16/sep/2026 (D1), propagada verbatim por ACTO GEN2-TRAMITE-4. Texto de la firma, verbatim: <<(1) `localidad` <-> `urbanizacion`: MAPEO-N-A-1 con su reserva; (2) `dominio_urbano_rural` <-> `urbanizacion`: NO-EQUIVALENTE, sin mapeo; (3) `formalidad` <-> `formalidad`: MAPEO-N-A-1, no identidad. F-17 queda enmendada: el marcador tiene un eje utilizable, no comparable.>> INCISO (1). El veredicto MAPEO-N-A-1 de la fila queda FIRMADO CON SU RESERVA: la reserva es NC-0270, que sigue ABIERTA -- la evidencia de la identidad tloc.csv == tam_loc.csv es REGISTRADA (ACTO cal-conf fase B, 3/ago/2026), no abierta de primera mano aqui. La firma autoriza el consumo por el marcador con el grano de 2 celdas, no con el de 4.	LA VARIABLE FUENTE SI ES tam_loc CON LOS MISMOS CUATRO UMBRALES -- esa mitad de la pregunta de P2.1 sale SI. Lo que NO es identico es el EJE PUBLICADO: el arbitro no publica cuatro celdas, publica dos. Por eso no es EQUIVALENTE. Instrumentos distintos (ENIF 2024 contra ENIGH): el mapeo es del ESQUEMA DE CODIGOS, no una afirmacion de que los marginales de ENIF y ENIGH coincidan. Nivel concordante: tam_loc es coordenada de HOGAR en el modelo y tloc es atributo geografico de la vivienda en ENIF, constante dentro del hogar -- no hay contraste intra-hogar, que es lo que milpa/src/celdas.py rechaza al construirse.
dominio_urbano_rural	ARBITRO->MODELO	ENVIPE 2025 (tmod_vic / tsdem_envipe2025)	DOMINIO	U = Urbano | C = Complemento urbano | R = Rural	3	3	urbanizacion	tam_loc (ENIGH, concentradohogar; catalogo tam_loc.csv)	1 = 100 000+ | 2 = 15 000-99 999 | 3 = 2 500-14 999 | 4 = <2 500	4	NO-EQUIVALENTE	NINGUNO CONSTRUIBLE. P2.2 del encargo autoriza MAPEO-N-A-1 <<si y solo si los umbrales coinciden en el FD>>. ENVIPE 2025 NO PUBLICA UMBRAL POBLACIONAL ALGUNO: la condicion no es que los umbrales difieran, es que del lado de ENVIPE no existen. Un mapeo R -> tam_loc=4 seria inventar el corte, que es exactamente lo que el encargo prohibe.	Todo: el eje no entra al marcador. Y si mesa forzara el mapeo, no solo perderia celdas -- INVERTIRIA UN SIGNO YA MEDIDO: la evasion de norma sale MAS ALTA en lo urbano (0.592703) que en lo rural (0.403310), con complemento urbano en medio (0.522090) y los tres IC95 sin traslape, al reves de la corazonada <<menor de 15 000 mas alta>> sobre la que se escribio la prediccion.	tools/medidor_evasion_norma_envipe25.py:155-161 (DOMINIO -> U/C/R) ; forense/notas/2026-09-02-MAESTRA35-L1-spec.md:264,268 (tabla de ejes: <<localidad-15k AUSENTE: ENVIPE 2025 no publica TLOC ni umbral alguno>>) ; forense/hallazgos.md:551 (la medicion del FD: 6 diccionarios / 2 225 lineas y fd_envipe2025.pdf / 7 207 lineas solo dan DOMINIO como U/C/R, sin poblacion) ; milpa/tramite-ola5-propuesta-v0.yaml:1724-1727 (la nota del eje sellado: <<eje PROPIO Y DISTINTO, no el corte de 15 000>>) ; :1732-1740 (ejes_ausentes: <<ENVIPE 2025 no publica TLOC ni umbral alguno: 6 diccionarios (2 225 lineas) y el FD solo dan DOMINIO como U/C/R sin poblacion. No se inventa el corte.>>)	ABIERTA-EN-ESTE-ACTO (el lado del arbitro) + REGISTRADA (la lectura NEGATIVA del FD completo de ENVIPE 2025 por ACTO MAESTRA35-L1, 2/sep/2026, con el FD abierto y el conteo de lineas declarado)	FIRMADA -- FP-376, FIRMA DE MESA del 16/sep/2026 (D1), propagada verbatim por ACTO GEN2-TRAMITE-4. Texto de la firma, verbatim: <<(1) `localidad` <-> `urbanizacion`: MAPEO-N-A-1 con su reserva; (2) `dominio_urbano_rural` <-> `urbanizacion`: NO-EQUIVALENTE, sin mapeo; (3) `formalidad` <-> `formalidad`: MAPEO-N-A-1, no identidad. F-17 queda enmendada: el marcador tiene un eje utilizable, no comparable.>> INCISO (2). NO-EQUIVALENTE, SIN MAPEO: la firma ratifica el negativo y NO autoriza construir un mapeo. Esta fila no entra al marcador. Firmar aqui no es autorizar consumo -- es cerrar la pregunta con un no.	Un negativo medido sobre el FD ENTERO no necesita reabrir el FD para sostenerse (A.13: el comando que lo produjo declaro cuantos archivos examino -- 6 diccionarios + el FD). Corroborado dos veces mas, en dos instrumentos distintos, sobre la MISMA variable DOMINIO: forense/notas/2026-08-04-endireh-paso1bis-verificacion-microdato.md:286 (<<no es tam_loc ...; es un proxy mas burdo, no intercambiable sin reclasificar>>) y forense/notas/2026-08-03-cal-conf-faseb-medicion.md:165 (ENCUCI: <<no es identico al tam_loc de 4 tramos de ENIGH>>). El propio eje nacio DECLARADO como propio y distinto, no como reemplazo: forense/encargos/2026-09-02-MAESTRA35-L1-RECORRE-Y-SEGMENTA.md:78.
edad	ARBITRO->MODELO	ENIF 2024 / ENCIG 2025 / ENVIPE 2025	EDAD_V (ENIF) / EDAD (ENCIG, ENVIPE), via tools/ejes_maestra35_l1.py::tramos_edad	18-29 | 30-44 | 45-59 | 60+	4	16	edad	edad (entero, nivel PERSONA)	18-29 | 30-44 | 45-59 | 60+	4	EQUIVALENTE	IDENTIDAD, celda a celda: 18-29 -> 18-29 ; 30-44 -> 30-44 ; 45-59 -> 45-59 ; 60+ -> 60+. No hay colapso ni reagrupacion: el arbitro y el modelo cortan con LA MISMA FUNCION (tools/ejes_maestra35_l1.py::tramos_edad), aplicada a la variable de edad en anios de cada instrumento. RESERVA ESCRITA: el rotulo `60+` no es "60 y mas" -- la cuarta rama de la funcion es (e >= 60) & (e <= 96), de modo que todo valor >= 97 cae a "(fuera)" igual que un blanco. El rotulo se sella tal como lo firma D4; el tope queda escrito aqui y en el comentario del sello para que ningun consumidor lo lea como "60 y mas".	NADA en el eje: es el unico EQUIVALENTE del crosswalk y las 16 celdas del arbitro tienen, por primera vez, celda del modelo donde caer. Lo que el marcador NO gana con esto: las 16 siguen SIN consumir, pero por UN SOLO bloqueador, no dos. ACTUALIZADO al sincronizar contra origin/main = 8d2a985: (i) la firma de mesa sobre el crosswalk YA LLEGO -- FP-376 FIRMADA (D1, 16/sep/2026) y NC-0269 CERRADA, propagadas por ACTO GEN2-TRAMITE-4 (PR #848), que es la firma que las otras tres filas de esta tabla llevan en su columna `firma`; queda (ii) el lado emisor: RESULT-AGGOLA-MARCO-TIENE-COLUMNA-SEGMENTO = NO, el marco del arbitro no publica columna de segmento (NC-0298, abierta por este acto). De tres bloqueadores a UNO en un solo dia, por dos actos independientes.	LADO MODELO: milpa/src/celdas.py CORTES_C1.edad = ("18-29","30-44","45-59","60+"), sellado por este acto bajo ADR-536 + firma D4. LADO ARBITRO, la funcion: tools/ejes_maestra35_l1.py:54-61 (tramos_edad, leida en este clon) y :49 (ORD_EDAD), :35 (FUERA). POR ARCHIVO:VARIABLE, cada FD -- ENIF 2024: enif_2024_fd.xlsx sha256_12 17e2ad86ce9e, TMODULO.EDAD_V "Edad verificada de la persona elegida", y su hermana TSDEM.EDAD "2.5 Cuantos anios cumplidos tiene (NOMBRE)?" (unidad verbatim en el FD); rango observado 18-98, cero menores de 18. ENCIG 2025: encig2025_02_residentes_sec_2.EDAD, encig25_base_datos_csv.zip sha256_12 47daf2f73236; universo declarado 18 anios y mas. ENVIPE 2025 (nivel persona, la base que CORTES_C1 corta): TSDem.EDAD, envipe2025_csv.zip sha256_12 8a7a99fd90ce, con catalogo tsdem_envipe2025/catalogos/edad.csv. Coberturas de tramos_edad medidas en caja por el censo P0 de ACTO MAESTRA35-L1 (forense/notas/2026-09-02-MAESTRA35-L1-P0-censo.md): ENIF 99.8889% (fuera 15), ENCIG 99.6878%/99.4308% (fuera 61/115), ENVIPE 99.7666% (fuera 94). Verificacion completa: forense/notas/2026-09-17-GEN2-CORTE-EDAD-1-p1-por-definicion.md	ABIERTA-EN-ESTE-ACTO para la funcion del arbitro y el corte del modelo (codigo del repo, leido aqui) + ABIERTA para variable/unidad de ENIF 2024 (data/inventario-fd-v1_1.tsv) + REGISTRADA para ENCIG 2025 y ENVIPE 2025. RESERVA DE ALCANCE (A.13, entorno NUBE: acceso_corpus.montado=NO, archivos_examinados=0): la clausula "mismos no-respuesta" que EQUIVALENTE exige NO es verificable aqui para NINGUNO de los tres -- 0 filas con texto_reactivo para EDAD* de envipe2025/encig2025 sobre los 4 inventarios de reactivos, e inventario-fd-v1_1.tsv (30 payloads) no incluye ninguno de los dos (control positivo: envipe2013 -> 22 filas, enif2024 EDAD* -> 2). Los catalogos estan PRESENTE_EN_DATA_RAW. Declarado NO-ACCESIBLE-AQUI y ruteado a caja (NC-0299), no adivinado.	D4 (mesa, 16/sep/2026, conversacion de direccion; archivada verbatim en forense/encargos/2026-09-16-GEN2-CORTE-EDAD-1.md), VERBATIM: "Corte de `edad` para celdas: ''Se adoptan como corte del modelo los cuatro tramos del arbitro -- 18-29 / 30-44 / 45-59 / 60+ -- sobre edad en anios cumplidos, verificados por definicion en ENVIPE 2025, ENCIG 2025 y ENIF 2024. Es un objeto distinto de FP-53 (umbral binario ''joven'' 15-29, firmado el 18/ago para otro uso): `CORTES_C1.edad` deja de citar FP-53 como bloqueador. Se autoriza editar el dato sellado bajo ADR-100(2) con este ADR como fuente.''"	AVISO AL SUCESOR, no decision de este acto: FP-53 esta FIRMADA (ADR-111(b), 18/ago/2026) con la convencion 15-29 para <<joven>>, y su mitad empirica sigue en cola (CORTE-EDAD-EMPIRICO, UBUNTU). CORTES_C1 sigue registrando edad=None. Si un acto futuro sella edad con la convencion de FP-53, el tramo del arbitro 18-29 NO sera equivalente a 15-29: la cota inferior difiere en tres anios porque el universo de ENIF/ENCIG/ENVIPE arranca en 18. Se deja dicho para que no se resuelva por parecido de nombre el dia que el corte se selle. || ENMIENDA FECHADA 17/sep/2026 (ACTO GEN2-CORTE-EDAD-1, ADR-536): el texto de arriba NO se reescribe. EL AVISO SE ATENDIO AL PIE DE LA LETRA. El corte se sello con los tramos DEL ARBITRO (18-29...), NO con la convencion de FP-53 (15-29), precisamente para no resolver por parecido de nombre lo que el aviso senalaba: la cota inferior difiere en tres anios porque el universo de ENIF/ENCIG/ENVIPE arranca en 18. NOTA AL PIE, DESAMBIGUACION: FP-53 y este corte son DOS OBJETOS DISTINTOS. (a) FP-53 = umbral BINARIO "joven" = 15-29 anios (convencion INEGI/ENOE de poblacion joven en estadistica laboral), que gatea 9 SITIOS de canon/modelo-decision-v4_0.md (perfil 5 ":189"; tabla de reglas traducidas ":355/:357/:361"; hipotesis H-02 ":215", H-06 ":219", H-07 ":220"; reglas operativas R2.4 ":457" y R5.4 ":482"). Estado real, re-derivado contra e4f5f77: FIRMADA el 18/ago/2026 por ADR-111(b), EJECUTADA por ADR-116 (PR #281); su mitad empirica (CORTE-EDAD-EMPIRICO) sigue en cola, UBUNTU. (b) Este corte = particion en CUATRO tramos de las celdas del modelo (CORTES_C1.edad), sobre edad en anios cumplidos. Ni el numero de categorias (2 vs 4), ni la cota inferior (15 vs 18), ni el consumidor (9 sitios del modelo-decision vs la malla de celdas) coinciden. CONSECUENCIA: `CORTES_C1.edad` DEJA DE CITAR FP-53 como bloqueador, y FP-53 no se toca.
escolaridad	ARBITRO->MODELO	ENIF 2024 / ENCIG 2025	NIV (mapas ESC_ENIF / ESC_1DIG)	hasta primaria | secundaria | media superior | superior	4	12	(ninguno)	(ninguna)	(ninguna)	0	SIN-CORRESPONDENCIA	NINGUNO: CORTES_C1 no tiene un corte para este eje. No es que el mapeo sea malo -- es que no hay contraparte.	El eje entero no entra al marcador por segmento.	tools/ejes_maestra35_l1.py:39-48 (los tres mapas de NIV) ; milpa/src/celdas.py:74-82 (CORTES_C1 no tiene eje de escolaridad)	ABIERTA-EN-ESTE-ACTO		12 celdas, las 12 con IC. Y una trampa A.15c ya medida en el arbol, que vale para cualquier intento futuro de unificar este eje: NIV NO significa lo mismo en las tres encuestas -- ENIF invierte 04/05 (normal basica contra tecnica con secundaria) respecto de ENCIG y ENVIPE (forense/hallazgos.md:551).
escolaridad_proxy	ARBITRO->MODELO	ENVIPE 2025	tsdem.NIV via ID_PER (mapa ESC_2DIG)	hasta primaria | secundaria | media superior | superior	4	4	(ninguno)	(ninguna)	(ninguna)	0	SIN-CORRESPONDENCIA	NINGUNO: CORTES_C1 no tiene un corte para este eje. No es que el mapeo sea malo -- es que no hay contraparte.	El eje entero no entra al marcador por segmento.	tools/medidor_evasion_norma_envipe25.py:149-154 ; forense/notas/2026-09-02-MAESTRA35-L1-spec.md:264	ABIERTA-EN-ESTE-ACTO		Es PROXY DECLARADO de formalidad laboral, que no existe en ENVIPE 2025 -- no es un eje de escolaridad con intencion propia. No cambia el veredicto: el modelo no tiene corte de escolaridad ni lo tendria por esta via.
sexo	ARBITRO->MODELO	ENIF 2024 / ENCIG 2025 / ENVIPE 2025	SEXO (mapa SEXO)	1 Hombre | 2 Mujer	2	8	(ninguno)	(ninguna)	(ninguna)	0	SIN-CORRESPONDENCIA	NINGUNO: CORTES_C1 no tiene un corte para este eje. No es que el mapeo sea malo -- es que no hay contraparte.	El eje entero no entra al marcador por segmento.	tools/ejes_maestra35_l1.py:52-53 ; milpa/src/celdas.py:74-82	ABIERTA-EN-ESTE-ACTO		8 celdas, las 8 con IC. El modelo no tiene eje de sexo en CORTES_C1; no es un hueco de cableado sino de vocabulario -- anadirlo seria sellar un corte nuevo, acto propio bajo ADR-100(2).
sexo_edad	ARBITRO->MODELO	ENUT 2024	SEXO x tramo amplio de edad (12-17/18-29/30-39/40-59/60+)	hombre|mujer x 5 tramos	10	10	(ninguno)	(ninguna)	(ninguna)	0	SIN-CORRESPONDENCIA	NINGUNO: CORTES_C1 no tiene un corte para este eje. No es que el mapeo sea malo -- es que no hay contraparte.	El eje entero no entra al marcador por segmento.	tools/medidor_cuidado_enut.py:170-183 ; milpa/src/celdas.py:74-82	ABIERTA-EN-ESTE-ACTO		10 celdas, LAS 10 SIN IC -- son las unicas 10 de las 74 que no traen ic95, y son una sola entrada y un solo eje (ver NC-0241). Ademas es un eje CRUZADO (dos coordenadas en una celda) y sus tramos de edad NO son los del resto del arbitro: 12-17/18-29/30-39/40-59/60+ contra 18-29/30-44/45-59/60+.
cuenta_formal	ARBITRO->MODELO	ENIF 2024	P5_4_1..P5_4_9	sin cuenta | con cuenta	2	4	(ninguno)	(ninguna)	(ninguna)	0	SIN-CORRESPONDENCIA	NINGUNO: CORTES_C1 no tiene un corte para este eje. No es que el mapeo sea malo -- es que no hay contraparte.	El eje entero no entra al marcador por segmento.	tools/medidor_ahorro_enif24.py:129,152-162 (CUENTAS y _celda_cuenta) ; milpa/src/celdas.py:74-82	ABIERTA-EN-ESTE-ACTO		Tenencia de cuenta formal. NO es el acceso_digital del modelo (celular/conex_inte, tenencia binaria de hogar): comparten la forma binaria y nada mas. Se dice explicitamente porque es el unico par que podria confundirse por adyacencia tematica una vez descartados los de urbanizacion.
cohorte_nacimiento	ARBITRO->MODELO	EDER 2017	anio_nac via tramos_cohorte	1961-1970 | 1971-1980 | 1981-1990 | 1991+	4	4	(ninguno)	(ninguna)	(ninguna)	0	SIN-CORRESPONDENCIA	NINGUNO: CORTES_C1 no tiene un corte para este eje. No es que el mapeo sea malo -- es que no hay contraparte.	El eje entero no entra al marcador por segmento.	tools/medidor_union_libre.py:62-77 ; milpa/src/celdas.py:74-82	ABIERTA-EN-ESTE-ACTO		Cohorte de nacimiento no es edad: es ano de nacimiento en tramos de diez, sobre una encuesta retrospectiva de 2017. No cae sobre el eje edad del modelo ni aunque FP-53 sellara un corte de edad.
