conducta	conducta_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
K1	Tenencia de crédito formal (cualquiera)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla: K1 = al menos un 6.2.k = 1 (k=1..9). Los veredictos de las otras olas se leen contra esta fila.	P6_2_1..P6_2_9 (6.2); complemento P6_14 (6.14)	6.2 ¿Usted tiene... [batería de 9 productos] · 6.14 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en un banco, tienda o institución financiera?	6.2.1 tarjeta de crédito departamental o de tienda de autoservicio · 6.2.2 tarjeta de crédito bancaria · 6.2.3 crédito de nómina · 6.2.4 crédito personal · 6.2.5 crédito automotriz · 6.2.6 crédito de vivienda como INFONAVIT, FOVISSSTE, banco u otra institución · 6.2.7 crédito grupal, comunal o solidario (como el de Compartamos) · 6.2.8 crédito contratado por Internet o aplicación como Prestadero, Doopla o Playbusiness · 6.2.9 Otro; cada uno 1 Sí / 2 No · 6.14: 1 Sí (PASE A 6.16) / 2 No	6.2 se pregunta a toda persona elegida, sin filtro previo, tras el cintillo «Ahora le preguntaré sobre créditos de bancos, instituciones que prestan o tiendas departamentales»; «SI TODAS TIENEN CÓDIGO 2, PASE A 6.14». Con algún código 1 pregunta 6.3 (cuántos) y 6.4 (atraso) por producto.	P	Persona elegida de 18 años y más (cuestionario 2021 pdf-pág 5: «DE 18 AÑOS Y MÁS»; FD 2021 TModulo fila 1502: EDAD 18-96); residente habitual en vivienda particular	enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 pdf-pág 16 (6.2) y 18 (6.14); enif_2021_fd_pdf.zip/enif_2021_estructura_del_archivo.xlsx sha256/16(zip)=6f4e3aab705ddb69 TModulo filas 624-732, 851	Cuestionario 2021 pdf-págs 15-19 (SECCIÓN 6, 6.1-6.18) + pág 5 (universo) + pág 11 (5.4); FD 2021: TModulo filas 611-899 (P6_1_1..P6_18_9, 96 campos); modelo ER 2021 (TMODULO)				La batería es directa (una etapa); no hay pregunta única «¿tiene algún crédito?». El complemento 6.14 separa nunca-usuarios de ex-usuarios y decide quién recibe 6.15 (K4) o 6.16.
K1	Tenencia de crédito formal (cualquiera)	2024	2021	CAMBIO-MENOR	K1 completa (cualquier producto formal).	P6_2_1..P6_2_9 (6.2); complemento P6_13 (6.13)	6.2 ¿Usted tiene... [batería de 9 productos] · 6.13 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en un banco, tienda o institución financiera?	Idénticas a 2021 salvo: 6.2.2 «tarjeta de crédito bancaria u otra institución financiera» (2021: «tarjeta de crédito bancaria») · 6.2.6 «Infonavit, Fovissste» (mayúsculas) · 6.2.8 «... Prestadero, Doopla o YoTePresto» (2021: Playbusiness); 1 Sí / 2 No; 6.13: 1 Sí (PASE A 6.15) / 2 No	Igual que 2021: batería directa a toda persona elegida; «SI TODAS TIENEN CÓDIGO 2, PASE A 6.13». Se elimina la pregunta «¿cuántos tiene?» (6.3 de 2021): con código 1 se pregunta 6.3 (atraso) y 6.4.	P	Persona elegida de 18 años y más (cuestionario 2024 pdf-pág 4: «PARA PERSONAS DE 18 AÑOS Y MÁS»; FD 2024 TSDEM fila 39); residente habitual en vivienda particular	enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 pdf-pág 17 (6.2) y 19 (6.13); enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 TMODULO filas 690-772, 857	Cuestionario 2024 pdf-págs 16-20 (SECCIÓN 6, 6.1-6.17) + pág 4 (universo) + pág 12 (5.4); FD 2024: TMODULO filas 665-903 (P6_1_1..P6_17_9, 84 campos); modelo lógico 2024 (TMODULO)				Por qué no entra en el estimando de K1: la ampliación de 6.2.2 («u otra institución financiera») mueve respuestas entre casillas de la misma batería (de 6.2.9 Otro / 6.2.8 a 6.2.2), pero «al menos un producto formal» es invariante a esa reasignación. El cambio de ejemplo en 6.2.8 es de marca, no de categoría. Colisión de nemónico a declarar al sucesor: P6_3_k es «cuántos tiene» en 2021 y «se atrasó» en 2024.
K1	Tenencia de crédito formal (cualquiera)	2018	2021	CAMBIO-MENOR	K1 completa; exige recorte de 2021/2024 a 18-70 y la regla de recodificación blanco→No declarada en filtro_y_flujo.	P6_3 (6.3) y P6_4 (6.4) como filtro; P6_8_1..P6_8_8 (6.8) como batería; complemento P6_5 (6.5)	6.3 ¿Usted tiene algún crédito bancario, tarjeta de crédito bancaria, departamental, de tienda de autoservicio o con alguna otra institución financiera? · 6.4 ¿Usted tiene un crédito FONACOT o algún crédito de vivienda con INFONAVIT, FOVISSSTE u otra institución financiera? · 6.5 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en un banco, tienda o institución financiera? · 6.8 ¿Usted tiene...	6.3/6.4/6.5: 1 Sí / 2 No. 6.8: 1 tarjeta de crédito departamental o de tienda de autoservicio · 2 tarjeta de crédito bancaria · 3 crédito de nómina · 4 crédito personal · 5 crédito automotriz · 6 crédito de vivienda (INFONAVIT, FOVISSSTE, banco u otra institución) · 7 crédito grupal, comunal o solidario (como el de Compartamos) · 8 Otro; 1 Sí / 2 No. No existe el ítem «crédito contratado por Internet o aplicación».	Dos etapas: 6.3 Sí → PASE A 6.8; 6.3 No → 6.4; 6.4 Sí → PASE A 6.8; 6.4 No → 6.5; 6.5 Sí → PASE A 6.7; 6.5 No → 6.6 (razón de nunca haber tenido). La batería 6.8 sólo la responde quien dijo Sí en 6.3 o en 6.4; para el resto queda en blanco. «SI TODAS TIENEN CÓDIGO 2, PASE A 6.18». K1 en 2018 = (P6_3 = 1 o P6_4 = 1); equivalente a «algún P6_8_k = 1» si no hay inconsistencias filtro-batería, lo cual el sucesor debe medir, no suponer.	P	Persona elegida de 18 a 70 años (cuestionario 2018 pdf-pág 3: «DE 18 A 70 AÑOS»; FD 2018 TModulo fila 605: EDAD 18..70); residente habitual en vivienda particular	enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e pdf-pág 12 (6.3-6.6) y 13 (6.8); enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 TModulo filas 442-448, 463-526	Cuestionario 2018 pdf-págs 12-15 (SECCIÓN 6, 6.1-6.19) + pág 3 (universo) + pág 8 (5.4-5.6); FD 2018: TModulo filas 410-599 (P6_1_1..P6_19_9, 89 campos) + TModulo2 SECCIÓN 10 (filas 302-393)				Por qué no entra en el estimando de K1: (i) el filtro 6.3+6.4 enumera el mismo universo institucional que la batería (banco, tarjeta bancaria, departamental, autoservicio, otra institución financiera, FONACOT, vivienda), así que «Sí en el filtro» ≡ «algún producto formal»; (ii) el ítem Internet/aplicación de 2021 cae en 2018 dentro de «otra institución financiera» (6.3) u «Otro» (6.8.8) y sigue contando como formal; (iii) la base 18-70 se resuelve recortando 2021/2024, recorte que no toca el segmento de K1 (ancla de nivel, sin segmento). Firma D2: 2018 entra a K1 con este recorte declarado.
K1	Tenencia de crédito formal (cualquiera)	2015	2021	NO-VERIFICABLE-AQUÍ	K1 completa.	P6_4 (6.4) filtro; P6_9_1..P6_9_8 (6.9) batería; complemento P6_5 (6.5) — según FD	6.4 ¿Usted tiene algún crédito bancario, tarjeta de crédito bancaria, departamental, tienda de autoservicio o con alguna otra institución financiera (Infonavit, Fovissste, Fonacot)? · 6.5 ¿Alguna vez tuvo un préstamo, crédito o tarjeta de crédito en dichas instituciones? · 6.9 ¿Usted tiene…	6.4: 1 Sí / 2 No (sin blanco: universal). 6.5: 1 Sí / 2 No / b blanco. 6.9: 1 tarjeta de crédito departamental o de tienda de autoservicio · 2 tarjeta de crédito bancaria · 3 crédito de nómina · 4 crédito personal · 5 crédito automotriz · 6 crédito hipotecario · 7 crédito grupal, comunal o solidario · 8 Otro; 1 Sí / 2 No / b blanco	NO VERIFICABLE: el FD muestra que 6.4 no admite blanco (universal) y 6.5/6.9 sí (dependen de pase), lo que es consistente con el esquema de dos etapas de 2018, pero los pases no están escritos.	P	Persona elegida de 18 a 70 años (FD 2015 TModulo1 fila 634: EDAD [18-70] «18-70 años»); residente habitual en vivienda particular	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 TModulo1 filas 620-624 (6.4, 6.5), TModulo2 filas 75-228 (6.9); enif_2015_modelo_datos.pdf sha256/16=ad534b036e736532 (1 página, imagen; sin texto extraíble)	FD 2015: TModulo1 filas 559-624 (6.1-6.5, 23 campos) + TModulo2 filas 9-332 (6.6-6.21, 101 campos) + TModulo1 5.26.1/5.26.2 + Índice; modelo de datos 2015 = imagen sin texto			Sin cuestionario en el corpus: el FD trae texto de pregunta, opciones y códigos, pero NO los pases ni los filtros (sólo «b blanco por pase»); a quién se le pregunta y en qué orden no es verificable aquí. Lo que el FD sí establece: 6.4 fusiona en una sola pregunta lo que 2018 parte en 6.3 y 6.4 (Infonavit/Fovissste/Fonacot van entre paréntesis); la batería 6.9 tiene los 8 ítems de 2018 con «hipotecario» en lugar de «vivienda (INFONAVIT, FOVISSSTE, banco u otra institución)». La sección 6 se reparte entre dos tablas (6.1-6.5 en TModulo1, 6.6-6.21 en TModulo2): el [SUPUESTO] de una sección identificable se cumple, pero no en una sola tabla.	Cuando llegue el cuestionario 2015 (sucesor 3), el veredicto esperable contra 2021 es CAMBIO-MENOR por las mismas tres razones que 2018, más la fusión 6.3+6.4 → 6.4.
K1	Tenencia de crédito formal (cualquiera)	2012	2021	NO-VERIFICABLE-AQUÍ	K1 completa.	P6_4 (6.4) pregunta única; P6_6_1..P6_6_8 (6.6) batería — según FD	6.4 Ahora, considerando a las instituciones que prestan y a las tiendas departamentales, ¿usted tiene algún préstamo, crédito o tarjeta de crédito? · 6.6 ¿Tiene usted…	6.4: 1 Sí / 2 No (sin blanco: universal). 6.6: 1 tarjeta de crédito bancaria · 2 tarjeta de crédito departamental o de tienda de autoservicio · 3 crédito de nómina · 4 crédito personal · 5 crédito automotriz · 6 crédito hipotecario · 7 crédito grupal, comunal (como el de Compartamos) · 8 Otro; 1 Si / 2 No / b blanco	NO VERIFICABLE: 6.4 universal (sin blanco), 6.6 admite blanco (depende de pase); orden de pases no escrito. No hay pregunta «alguna vez tuvo».	P	Persona elegida de 18 a 70 años (FD 2012 NOTAS ACLARATORIAS fila 15: «tramo de edad de interés de la encuesta, esto es, entre 18 y 70 años»); residente habitual en vivienda particular	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 TMODULO1 filas 506-508 (6.4), 542-737 (6.6-6.11); modelo_enif2012.pdf sha256/16=77a9b05ed53f243d (TMODULO1: P6_4, P6_6_1..P6_6_8)	FD 2012: TMODULO1 filas 445-842 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, 109 campos) + TMODULO1 filas 125-149 (SECCIÓN 4) + TMODULO2 filas 254-443 (SECCIÓN 10) + NOTAS ACLARATORIAS; modelo de datos 2012 (TMODULO1 P6_1_1..P6_20_9)			Sin cuestionario en el corpus: el FD trae texto de pregunta, opciones y códigos, pero NO los pases ni los filtros (sólo «b blanco por pase»); a quién se le pregunta y en qué orden no es verificable aquí. Lo que el FD sí establece: la pregunta única 6.4 es la que da K1 de forma directa; el orden de la batería está invertido respecto de 2015-2024 (1 bancaria, 2 departamental), así que P6_6_1 de 2012 NO es P6_2_1 de 2021 — mismo defecto que NC-0304. Sin ítem «vivienda INFONAVIT»: «hipotecario». No existe «alguna vez tuvo»: 2012 no separa nunca-usuarios de ex-usuarios.	Cuando llegue el cuestionario 2012 (sucesor 3), la comparación es contra 6.4 (pregunta única) y no contra la batería; la ausencia de «alguna vez tuvo» hace que la base de K4 no sea la misma que en 2018+.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Familias: departamental = 6.2.1; bancaria = 6.2.2; nómina = 6.2.3; automotriz = 6.2.5. «Durable» no tiene ítem propio en ninguna ola: la tarjeta departamental/autoservicio es el circuito de bienes durables y se declara como tal, no se infiere.	P6_2_1, P6_2_2, P6_2_3, P6_2_5 (6.2)	6.2 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; con 1 se pregunta 6.3 (¿cuántas(os) tiene?, número) y 6.4 (atraso)	Batería directa a toda persona elegida (ver K1-2021).	P por familia	Persona elegida de 18 años y más (cuestionario 2021 pdf-pág 5: «DE 18 AÑOS Y MÁS»; FD 2021 TModulo fila 1502: EDAD 18-96); residente habitual en vivienda particular	enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 pdf-pág 16; enif_2021_fd_pdf.zip/enif_2021_estructura_del_archivo.xlsx sha256/16(zip)=6f4e3aab705ddb69 TModulo filas 624, 636, 651, 675	Cuestionario 2021 pdf-págs 15-19 (SECCIÓN 6, 6.1-6.18) + pág 5 (universo) + pág 11 (5.4); FD 2021: TModulo filas 611-899 (P6_1_1..P6_18_9, 96 campos); modelo ER 2021 (TMODULO)	durable (como categoría propia)	«durable», «bienes duraderos», «enseres», «electrodoméstico», «a plazos», «abonos» en cuestionario 2021 completo y FD TModulo: 0 reactivos de tenencia de crédito por bien durable. Sólo el destino de crédito (que 2021 no pregunta, ver K8) o la tarjeta departamental aproximan el circuito.		6.3 (número de productos) permite pasar de P a PR para tarjetas, si el sucesor lo necesita.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2024	2021	CAMBIO-DE-INSTRUMENTO	Aplica a la familia BANCARIA (6.2.2). Departamental (6.2.1), nómina (6.2.3) y automotriz (6.2.5) son MISMO-INSTRUMENTO respecto de 2021 (texto, códigos y flujo idénticos).	P6_2_1, P6_2_2, P6_2_3, P6_2_5 (6.2)	6.2 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria u otra institución financiera? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; 2024 elimina «¿cuántas(os) tiene?»: no hay paso P→PR para tarjetas	Batería directa a toda persona elegida (ver K1-2024).	P por familia	Persona elegida de 18 años y más (cuestionario 2024 pdf-pág 4: «PARA PERSONAS DE 18 AÑOS Y MÁS»; FD 2024 TSDEM fila 39); residente habitual en vivienda particular	enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 pdf-pág 17; enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 TMODULO filas 690, 700, 710, 730	Cuestionario 2024 pdf-págs 16-20 (SECCIÓN 6, 6.1-6.17) + pág 4 (universo) + pág 12 (5.4); FD 2024: TMODULO filas 665-903 (P6_1_1..P6_17_9, 84 campos); modelo lógico 2024 (TMODULO)	durable (como categoría propia)	«durable», «bienes duraderos», «enseres», «electrodoméstico», «a plazos», «abonos» en cuestionario 2024 completo y FD TMODULO: 0 reactivos de tenencia por bien durable.		Qué cambió y por qué entra en el estimando: 6.2.2 pasa de «tarjeta de crédito bancaria» a «tarjeta de crédito bancaria u otra institución financiera». Una tarjeta emitida por no-banco (SOFOM, fintech) cae en 2024 dentro de «bancaria» y en 2021 dentro de 6.2.8/6.2.9 o de una autoclasificación no controlada. La hipótesis REPORTADO «bancaria +5.2 pp desde 2021» mezcla este cambio de frontera con el cambio real: no es comparable sin función de enlace. Además desaparece 6.3 (número de productos): K2 en 2024 sólo existe como P.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2018	2021	CAMBIO-MENOR	Las cuatro familias: 6.8.1 departamental, 6.8.2 bancaria, 6.8.3 nómina, 6.8.5 automotriz; texto de ítem idéntico a 2021. Exige recorte 18-70 y la regla blanco→No del filtro 6.3/6.4.	P6_8_1, P6_8_2, P6_8_3, P6_8_5 (6.8), gateadas por P6_3/P6_4	6.8 ¿Usted tiene... 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No por ítem; con 1 se pregunta 6.9 (¿cuántas(os) tiene?) y 6.10 (atraso)	Sólo responde 6.8 quien dijo Sí en 6.3 o 6.4 (ver K1-2018); para quien dijo No en ambas, cada P6_8_k queda en blanco y el sucesor lo recodifica a No declarándolo.	P por familia	Persona elegida de 18 a 70 años (cuestionario 2018 pdf-pág 3: «DE 18 A 70 AÑOS»; FD 2018 TModulo fila 605: EDAD 18..70); residente habitual en vivienda particular	enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e pdf-pág 13; enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 TModulo filas 463, 472, 481, 499	Cuestionario 2018 pdf-págs 12-15 (SECCIÓN 6, 6.1-6.19) + pág 3 (universo) + pág 8 (5.4-5.6); FD 2018: TModulo filas 410-599 (P6_1_1..P6_19_9, 89 campos) + TModulo2 SECCIÓN 10 (filas 302-393)	durable (como categoría propia)	«durable», «bienes duraderos», «enseres», «electrodoméstico», «a plazos», «abonos» en cuestionario 2018 completo y FD TModulo/TModulo2: 0 reactivos de tenencia por bien durable; 6.12 (destino) trae «vehículos, joyas, animales» como destino, no como tenencia.		Por qué no entra en el estimando por familia: el filtro 6.3 nombra explícitamente «tarjeta de crédito bancaria, departamental, de tienda de autoservicio» y «crédito bancario»; nómina y automotriz están cubiertos por «crédito bancario ... o con alguna otra institución financiera». Un No en 6.3 y 6.4 implica No en las cuatro familias. Riesgo residual (crédito automotriz de financiera de marca autoclasificado fuera de 6.3) se declara, no se corrige.
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2015	2021	NO-VERIFICABLE-AQUÍ	Las cuatro familias según FD: 6.9.1 departamental, 6.9.2 bancaria, 6.9.3 nómina, 6.9.5 automotriz.	P6_9_1, P6_9_2, P6_9_3, P6_9_5 (6.9) — según FD	6.9 ¿Usted tiene… 1 tarjeta de crédito departamental o de tienda de autoservicio? 2 tarjeta de crédito bancaria? 3 crédito de nómina? 5 crédito automotriz?	1 Sí / 2 No / b blanco por ítem; 6.10 ¿Cuántas(os) ... tiene? (número); 6.11/6.12 conoce intereses/comisiones; 6.13 atraso	NO VERIFICABLE: blanco admitido en 6.9 (depende de 6.4), pases no escritos.	P por familia	Persona elegida de 18 a 70 años (FD 2015 TModulo1 fila 634: EDAD [18-70] «18-70 años»); residente habitual en vivienda particular	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 TModulo2 filas 75-76, 94-95, 112-113, 150-151; enif_2015_modelo_datos.pdf sha256/16=ad534b036e736532 (1 página, imagen; sin texto extraíble)	FD 2015: TModulo1 filas 559-624 (6.1-6.5, 23 campos) + TModulo2 filas 9-332 (6.6-6.21, 101 campos) + TModulo1 5.26.1/5.26.2 + Índice; modelo de datos 2015 = imagen sin texto	durable (como categoría propia)	«durable», «enseres», «electrodoméstico», «a plazos», «abonos» en FD 2015 (TModulo1, TModulo2): 0 campos.	Sin cuestionario en el corpus: el FD trae texto de pregunta, opciones y códigos, pero NO los pases ni los filtros (sólo «b blanco por pase»); a quién se le pregunta y en qué orden no es verificable aquí. Lo que el FD sí establece: los cuatro textos de ítem son idénticos a 2018/2021 y el orden de la batería coincide con 2018+ (P6_9_1 = departamental).	Veredicto esperable al llegar el cuestionario: CAMBIO-MENOR (mismo esquema de dos etapas que 2018).
K2	Tenencia por familia de producto: departamental · bancaria · nómina · automotriz/durable	2012	2021	NO-VERIFICABLE-AQUÍ	Las cuatro familias según FD: 6.6.1 bancaria, 6.6.2 departamental, 6.6.3 nómina, 6.6.5 automotriz — orden invertido respecto de 2015-2024.	P6_6_1 (bancaria), P6_6_2 (departamental), P6_6_3, P6_6_5 (6.6) — según FD	6.6 ¿Tiene usted… 1 tarjeta de crédito bancaria? 2 tarjeta de crédito departamental o de tienda de autoservicio? 3 crédito de nómina? 5 crédito automotriz?	1 Si / 2 No / b blanco por ítem; 6.7 cuántas; 6.8/6.9 conoce interés/comisiones; 6.10 utilizó (de febrero a la fecha; sólo tarjetas y otro); 6.11 atraso	NO VERIFICABLE: blanco admitido en 6.6 (depende de 6.4), pases no escritos.	P por familia	Persona elegida de 18 a 70 años (FD 2012 NOTAS ACLARATORIAS fila 15: «tramo de edad de interés de la encuesta, esto es, entre 18 y 70 años»); residente habitual en vivienda particular	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 TMODULO1 filas 543, 570, 597, 643; modelo_enif2012.pdf sha256/16=77a9b05ed53f243d	FD 2012: TMODULO1 filas 445-842 (SECCIÓN 6. CRÉDITO INFORMAL Y FORMAL, 6.1-6.20, 109 campos) + TMODULO1 filas 125-149 (SECCIÓN 4) + TMODULO2 filas 254-443 (SECCIÓN 10) + NOTAS ACLARATORIAS; modelo de datos 2012 (TMODULO1 P6_1_1..P6_20_9)	durable (como categoría propia)	«durable», «enseres», «electrodoméstico», «a plazos», «abonos» en FD 2012 (TMODULO1, TMODULO2): 0 campos.	Sin cuestionario en el corpus: el FD trae texto de pregunta, opciones y códigos, pero NO los pases ni los filtros (sólo «b blanco por pase»); a quién se le pregunta y en qué orden no es verificable aquí. Lo que el FD sí establece: P6_6_1 = bancaria y P6_6_2 = departamental (en 2015-2024 el sufijo _1 es departamental y _2 bancaria). Cualquier sucesor que mapee por sufijo cruza las dos familias con más peso del dominio.	La inversión de orden es la trampa concreta de esta ola; queda escrita aquí para que el sucesor no la redescubra.
