instrumento	id_manifiesto	sha256_verificado	necesidad	variable_encontrada	texto_del_reactivo	escala	tabla	n_filas	desenlace_coobservado_en_mismo_instrumento	es_panel	llave_ADR57c	clasificacion_a4	universo_declarado
ZA5900_q_mx.pdf	za5900_q_mx	NO_VERIFICADO_EN_ESTE_ACTO	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: APERTURA-ISSP (PR#200, 13/ago/2026) ya buscó sens_estatus/aversion_riesgo aquí -- NO-ENCONTRADO ambas (forense/notas/2026-08-13-apertura-issp.md:151-152). Censo-explotacion quedó desactualizado en este payload (su corrida fue anterior al merge de APERTURA-ISSP).
ZA5900_q_mx.pdf	za5900_q_mx	NO_VERIFICADO_EN_ESTE_ACTO	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: APERTURA-ISSP (PR#200, 13/ago/2026) ya buscó sens_estatus/aversion_riesgo aquí -- NO-ENCONTRADO ambas (forense/notas/2026-08-13-apertura-issp.md:151-152). Censo-explotacion quedó desactualizado en este payload (su corrida fue anterior al merge de APERTURA-ISSP).
ZA6980_q_mx.pdf	za6980_q_mx	NO_VERIFICADO_EN_ESTE_ACTO	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: APERTURA-ISSP (PR#200, 13/ago/2026) ya buscó sens_estatus/aversion_riesgo aquí -- NO-ENCONTRADO ambas (forense/notas/2026-08-13-apertura-issp.md:151-152). Censo-explotacion quedó desactualizado en este payload.
ZA6980_q_mx.pdf	za6980_q_mx	NO_VERIFICADO_EN_ESTE_ACTO	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: APERTURA-ISSP (PR#200, 13/ago/2026) ya buscó sens_estatus/aversion_riesgo aquí -- NO-ENCONTRADO ambas (forense/notas/2026-08-13-apertura-issp.md:151-152). Censo-explotacion quedó desactualizado en este payload.
enasem_2018_fd.xlsx	enasem2018_fd_xlsx	NO_VERIFICADO_EN_ESTE_ACTO	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: CENSO-v1.1 (PR#198, 13/ago/2026) ya buscó ambas necesidades en las 3 rondas ENASEM -- 0/6,471 variables (forense/censo-estimabilidad-coeficientes-v1_1.md filas 3-4).
enasem_2018_fd.xlsx	enasem2018_fd_xlsx	NO_VERIFICADO_EN_ESTE_ACTO	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: CENSO-v1.1 (PR#198, 13/ago/2026) ya buscó ambas necesidades en las 3 rondas ENASEM -- 0/6,471 variables (forense/censo-estimabilidad-coeficientes-v1_1.md filas 3-4).
enasem_2021_fd.xlsx	enasem2021_fd_xlsx	NO_VERIFICADO_EN_ESTE_ACTO	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: CENSO-v1.1 (PR#198, 13/ago/2026) ya buscó ambas necesidades en las 3 rondas ENASEM -- 0/6,471 variables.
enasem_2021_fd.xlsx	enasem2021_fd_xlsx	NO_VERIFICADO_EN_ESTE_ACTO	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: CENSO-v1.1 (PR#198, 13/ago/2026) ya buscó ambas necesidades en las 3 rondas ENASEM -- 0/6,471 variables.
enasem_2024_fd.xlsx	enasem2024_fd_xlsx	NO_VERIFICADO_EN_ESTE_ACTO	3.11 sens_estatus (G2,G4)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: CENSO-v1.1 (PR#198, 13/ago/2026) ya buscó ambas necesidades en las 3 rondas ENASEM -- 0/6,471 variables.
enasem_2024_fd.xlsx	enasem2024_fd_xlsx	NO_VERIFICADO_EN_ESTE_ACTO	4.6 aversion_riesgo (G2,G3)	—	—	—	—	—	—	—	—	NO-ENCONTRADO	YA CUBIERTO, no reabierto en este acto: CENSO-v1.1 (PR#198, 13/ago/2026) ya buscó ambas necesidades en las 3 rondas ENASEM -- 0/6,471 variables.
