# data/cruce-relaciones-noencontrado-v1_0.tsv -- ACTO MAESTRA38-LOTE-CRUCE, pieza (d) (6/sep/2026).
# Las 29 relaciones NO-ENCONTRADO, una fila cada una. NO se edita data/curacion-registro/relaciones.tsv.
# El veredicto es del CONSTRUCTO (necesidad), no de la fuente: relaciones de la misma necesidad comparten veredicto y paralela.
# Medicion: cero. Ningun veredicto de regla.
relacion_id	necesidad_id	fuente_NO_ENCONTRADO	constructo_pedido	veredicto	fuente_paralela	item	texto_reactivo_verbatim	nota	universo_de_busqueda
REL-16d3c66af7fc856df2130139	N10	ENFIH	G4.horizonte_temporal	NINGUNA-EN-CORPUS				70 aciertos de 'futuro|largo plazo|planea|ahorrar para' y 5 de 'descuento|plazo|prefiere hoy vs despues' sobre 350 832 filas: TODOS son otra cosa -- planeacion anual de escuelas (IEPEP MB25), evaluacion de programas (ECEPIE P16_4/P24), si el voto mejorara las cosas en el futuro (LAPOP 2004 abs5), impaciencia de la entrevistada durante la entrevista (ENDIREH pe5_13). Ninguna eleccion intertemporal, ningun punto de indiferencia temporal, ninguna escala de orientacion al futuro. La CAFR 2005, que si trae la elicitacion de riesgo (N4), NO trae la gemela temporal. Es el unico de los diez constructos sin ninguna paralela	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-bd82e13d9685752cad01ec8d	N10	ENASIC	G4.horizonte_temporal	NINGUNA-EN-CORPUS				70 aciertos de 'futuro|largo plazo|planea|ahorrar para' y 5 de 'descuento|plazo|prefiere hoy vs despues' sobre 350 832 filas: TODOS son otra cosa -- planeacion anual de escuelas (IEPEP MB25), evaluacion de programas (ECEPIE P16_4/P24), si el voto mejorara las cosas en el futuro (LAPOP 2004 abs5), impaciencia de la entrevistada durante la entrevista (ENDIREH pe5_13). Ninguna eleccion intertemporal, ningun punto de indiferencia temporal, ninguna escala de orientacion al futuro. La CAFR 2005, que si trae la elicitacion de riesgo (N4), NO trae la gemela temporal. Es el unico de los diez constructos sin ninguna paralela	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-89b5a730c80b52245609d460	N12	ENSAFI	G5.familismo_apoyo	PARALELA-CUBRE	Encuesta Nacional de Salud (UNAM-IIJ, losmexicanos)	p43_1 y p43_2	43 ¿Que tan de acuerdo o en desacuerdo esta usted con las siguientes frases? [p43_1] Cuando lo necesito obtengo de mi FAMILIA ayuda y apoyo emocional / [p43_2] Cuando lo necesito obtengo de mis AMIGOS ayuda y apoyo emocional	el par p43_1/p43_2 es el constructo con su contraste incorporado: familia contra amigos, misma escala, misma persona. Eso es exactamente familismo_apoyo, que sin el contraste no se distingue de apoyo social generico	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-a451582fd7fcd4bce1db01ca	N12	ENSAFI	G5.familismo_apoyo	PARALELA-CUBRE	Encuesta Nacional de Salud (UNAM-IIJ, losmexicanos)	p43_1 y p43_2	43 ¿Que tan de acuerdo o en desacuerdo esta usted con las siguientes frases? [p43_1] Cuando lo necesito obtengo de mi FAMILIA ayuda y apoyo emocional / [p43_2] Cuando lo necesito obtengo de mis AMIGOS ayuda y apoyo emocional	el par p43_1/p43_2 es el constructo con su contraste incorporado: familia contra amigos, misma escala, misma persona. Eso es exactamente familismo_apoyo, que sin el contraste no se distingue de apoyo social generico	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-0b6385436015c470992017f1	N13	ENSAFI	G5.familismo_obligacion	PARALELA-CUBRE	Encuesta Nacional de Familia (UNAM-IIJ) + Encuesta Nacional de Envejecimiento + Niños, Adolescentes y Jovenes	Familia p28 y p29 || Envejecimiento p30 || NAJ p23_3	28 ¿En una familia formada por padres e hijos, cual es la OBLIGACION de los padres hacia los hijos? · 29 ¿Y cual es la OBLIGACION de los hijos hacia los padres? || 30 En la actualidad, ¿que tanto considera que los hijos estan dispuestos a cuidar a sus padres, cuando estos son mayores? || 23 ¿cuales son las obligaciones que tienen los niños? Trabajar para ayudar a sus papas	p28/p29 preguntan la obligacion en las dos direcciones a la misma persona, que es la forma en que el constructo se define. Envejecimiento p30 añade la version conductual esperada (disposicion real a cuidar). Seis de las 29 relaciones NO-ENCONTRADO son de esta necesidad, y las seis quedan cubiertas por una fuente que ya estaba en el corpus	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-188d16a18481261d7560a9b7	N13	ENFIH	G5.familismo_obligacion	PARALELA-CUBRE	Encuesta Nacional de Familia (UNAM-IIJ) + Encuesta Nacional de Envejecimiento + Niños, Adolescentes y Jovenes	Familia p28 y p29 || Envejecimiento p30 || NAJ p23_3	28 ¿En una familia formada por padres e hijos, cual es la OBLIGACION de los padres hacia los hijos? · 29 ¿Y cual es la OBLIGACION de los hijos hacia los padres? || 30 En la actualidad, ¿que tanto considera que los hijos estan dispuestos a cuidar a sus padres, cuando estos son mayores? || 23 ¿cuales son las obligaciones que tienen los niños? Trabajar para ayudar a sus papas	p28/p29 preguntan la obligacion en las dos direcciones a la misma persona, que es la forma en que el constructo se define. Envejecimiento p30 añade la version conductual esperada (disposicion real a cuidar). Seis de las 29 relaciones NO-ENCONTRADO son de esta necesidad, y las seis quedan cubiertas por una fuente que ya estaba en el corpus	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-2eef8210b247afc4541e0307	N13	ENSAFI	G5.familismo_obligacion	PARALELA-CUBRE	Encuesta Nacional de Familia (UNAM-IIJ) + Encuesta Nacional de Envejecimiento + Niños, Adolescentes y Jovenes	Familia p28 y p29 || Envejecimiento p30 || NAJ p23_3	28 ¿En una familia formada por padres e hijos, cual es la OBLIGACION de los padres hacia los hijos? · 29 ¿Y cual es la OBLIGACION de los hijos hacia los padres? || 30 En la actualidad, ¿que tanto considera que los hijos estan dispuestos a cuidar a sus padres, cuando estos son mayores? || 23 ¿cuales son las obligaciones que tienen los niños? Trabajar para ayudar a sus papas	p28/p29 preguntan la obligacion en las dos direcciones a la misma persona, que es la forma en que el constructo se define. Envejecimiento p30 añade la version conductual esperada (disposicion real a cuidar). Seis de las 29 relaciones NO-ENCONTRADO son de esta necesidad, y las seis quedan cubiertas por una fuente que ya estaba en el corpus	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-6b52ae9ea4b72a9f27f01260	N13	ENFIH	G5.familismo_obligacion	PARALELA-CUBRE	Encuesta Nacional de Familia (UNAM-IIJ) + Encuesta Nacional de Envejecimiento + Niños, Adolescentes y Jovenes	Familia p28 y p29 || Envejecimiento p30 || NAJ p23_3	28 ¿En una familia formada por padres e hijos, cual es la OBLIGACION de los padres hacia los hijos? · 29 ¿Y cual es la OBLIGACION de los hijos hacia los padres? || 30 En la actualidad, ¿que tanto considera que los hijos estan dispuestos a cuidar a sus padres, cuando estos son mayores? || 23 ¿cuales son las obligaciones que tienen los niños? Trabajar para ayudar a sus papas	p28/p29 preguntan la obligacion en las dos direcciones a la misma persona, que es la forma en que el constructo se define. Envejecimiento p30 añade la version conductual esperada (disposicion real a cuidar). Seis de las 29 relaciones NO-ENCONTRADO son de esta necesidad, y las seis quedan cubiertas por una fuente que ya estaba en el corpus	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-894b3c5025557df7ef942f2a	N13	EARLY_CHILDHOOD_EDUCATION_PROGRAM_IMPACT_EVALUATION_2012_2014	G5.familismo_obligacion	PARALELA-CUBRE	Encuesta Nacional de Familia (UNAM-IIJ) + Encuesta Nacional de Envejecimiento + Niños, Adolescentes y Jovenes	Familia p28 y p29 || Envejecimiento p30 || NAJ p23_3	28 ¿En una familia formada por padres e hijos, cual es la OBLIGACION de los padres hacia los hijos? · 29 ¿Y cual es la OBLIGACION de los hijos hacia los padres? || 30 En la actualidad, ¿que tanto considera que los hijos estan dispuestos a cuidar a sus padres, cuando estos son mayores? || 23 ¿cuales son las obligaciones que tienen los niños? Trabajar para ayudar a sus papas	p28/p29 preguntan la obligacion en las dos direcciones a la misma persona, que es la forma en que el constructo se define. Envejecimiento p30 añade la version conductual esperada (disposicion real a cuidar). Seis de las 29 relaciones NO-ENCONTRADO son de esta necesidad, y las seis quedan cubiertas por una fuente que ya estaba en el corpus	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
REL-a65a1433cd0298e7256aefae	N13	ENBIARE	G5.familismo_obligacion	PARALELA-CUBRE	Encuesta Nacional de Familia (UNAM-IIJ) + Encuesta Nacional de Envejecimiento + Niños, Adolescentes y Jovenes	Familia p28 y p29 || Envejecimiento p30 || NAJ p23_3	28 ¿En una familia formada por padres e hijos, cual es la OBLIGACION de los padres hacia los hijos? · 29 ¿Y cual es la OBLIGACION de los hijos hacia los padres? || 30 En la actualidad, ¿que tanto considera que los hijos estan dispuestos a cuidar a sus padres, cuando estos son mayores? || 23 ¿cuales son las obligaciones que tienen los niños? Trabajar para ayudar a sus papas	p28/p29 preguntan la obligacion en las dos direcciones a la misma persona, que es la forma en que el constructo se define. Envejecimiento p30 añade la version conductual esperada (disposicion real a cuidar). Seis de las 29 relaciones NO-ENCONTRADO son de esta necesidad, y las seis quedan cubiertas por una fuente que ya estaba en el corpus	data/inventario-reactivos-descargas-mx-v1_1 + -v1_2 (nuevo) + -ext-v1_0 + -v1_2: 350 832 filas examinadas por consulta, sobre 4 archivos. Las 29 filas se derivaron de data/curacion-registro/relaciones.tsv (capa4_apertura_mapeo empieza por NO-ENCONTRADO) y el desglose por fuente cuadra celda por celda con A6 §4.3 -- ver S11-CRUCE-spec-v1_0.md §0.3
