ola	tabla	n_variables	n_ausentes_del_post	variables_ausentes_del_post
2005trim1	COE1	186	0	-
2005trim1	COE2	125	0	-
2005trim1	HOG	31	0	-
2005trim1	SDEM	104	0	-
2005trim1	VIV	20	0	-
2008trim1	COE1	169	0	-
2008trim1	COE2	70	0	-
2008trim1	HOG	31	0	-
2008trim1	SDEM	104	0	-
2008trim1	VIV	20	0	-
2012trim1	COE1	186	0	-
2012trim1	COE2	125	0	-
2012trim1	HOG	31	0	-
2012trim1	SDEM	104	0	-
2012trim1	VIV	20	0	-
2014trim1	COE1	186	0	-
2014trim1	COE2	125	0	-
2014trim1	HOG	31	0	-
2014trim1	SDEM	104	0	-
2014trim1	VIV	20	0	-
2016trim1	COE1	186	0	-
2016trim1	COE2	125	0	-
2016trim1	HOG	31	0	-
2016trim1	SDEM	104	0	-
2016trim1	VIV	20	0	-
2018trim4	COE1	169	0	-
2018trim4	COE2	70	0	-
2018trim4	HOG	31	0	-
2018trim4	SDEM	104	0	-
2018trim4	VIV	20	0	-
