seccion	item	url	tipo	formato	frecuencia_o_ventana	que_mide_o_contiene	clasificacion_a4	universo_busqueda	receta_manual	notas
P0	SIE_API_base	https://www.banxico.org.mx/SieAPIRest/service/v1/	API REST	JSON/JSONP/XML	variable por serie (motor de 190,000+ series segun app Estadisticas Banxico)	motor generico de consulta; no confirma que exista serie CoDi/SPEI puntual	EXISTE-NO-SATISFACE (motor existe; id de serie CoDi/SPEI NO localizado en esta sesion)	WebSearch: 'site:banxico.org.mx SIE CoDi serie estadisticas cuentas'; 'Banxico SieAPIRest catalogoSeries sector pagos'	1) Token gratis (form email, sin costo) en https://www.banxico.org.mx/SieAPIRest/service/v1/token 2) GET https://www.banxico.org.mx/SieAPIRest/service/v1/doc/catalogoSeries?token=TOKEN y filtrar texto CoDi/SPEI 3) GET https://www.banxico.org.mx/SieAPIRest/service/v1/series/IDSERIE/datos/2019-01-01/hoy?token=TOKEN	Registro gratuito no cuenta como NO-ACCESIBLE. SF60653/SF61510 probados como adivinanza -- SF60653 resulto ser tipo de cambio, no relacionado; descartado, no adjudicado como inexistente
P0	SIE_directorio_cuadros_sector1	https://www.banxico.org.mx/SieInternet/consultarDirectorioInternetAction.do?sector=1&accion=consultarDirectorioCuadros	directorio HTML de cuadros	HTML	n/a	listado de cuadros (tablas) SIE por sector; sector=1 aparecio en resultados de busqueda de 'sistemas de pago' pero no confirmado byte a byte	EXISTE-NO-SATISFACE (no verificado que sector=1 sea Sistemas de Pago)	WebSearch: 'banxico.org.mx sistemas de pago estadisticas SIE cuadros Sistemas de pago'	Abrir la URL en navegador, confirmar visualmente que el sector listado es Sistemas de Pago, ubicar cuadro CoDi/SPEI y copiar su idCuadro	Candidato manual para hallar idCuadro/idSerie; SIN-FETCH
P0	CoDi_avances_banxico	https://www.banxico.org.mx/sistemas-de-pago/codi-avances-banco-mexico.html	pagina oficial Banxico, narrativa+cifras	HTML	pagina declarada actualizada 10-jul-2026 en snippet de busqueda	avances de adopcion de CoDi segun Banxico directamente (no medio tercero)	EXISTE-SATISFACE (candidata fuerte, SIN-FETCH)	WebSearch: 'Banxico CoDi avances cuentas registradas transaccion estadistica'	Abrir en navegador y leer cifras publicadas directamente por Banxico (no via El Economista/Fintechexpert)	Mejor candidata encontrada para reemplazar la cadena de citas de prensa que sostiene hoy el 21.8M/17.8M del report ancla
P0	CoDi_cobro_digital_info	https://www.banxico.org.mx/sistemas-de-pago/codi-cobro-digital-banco-me.html	pagina informativa de producto	HTML	n/a	descripcion del producto CoDi, no serie de datos	EXISTE-NO-SATISFACE (descriptiva, no cifras)	misma busqueda que fila anterior	n/a	
P0	codi_org_mx_estadisticas	https://www.codi.org.mx/secundarias/estadisticas.html	pagina de estadisticas con descarga declarada	HTML (+descarga segun snippet)	no confirmado	cuentas validadas por municipio entre poblacion adulta, segun snippet de busqueda; no confirmado si trae transacciones/importes	EXISTE-SATISFACE (candidata fuerte, SIN-FETCH)	WebSearch: 'codi.org.mx estadisticas cuentas validadas transacciones descarga'	Abrir la URL, revisar si el boton de descarga trae datos de transacciones ademas de cuentas validadas por municipio	Dominio codi.org.mx (esquema CoDi, no banxico.org.mx) -- declarar el dominio exacto para no confundir con espejo/phishing en un acto futuro
P0	Informe_Anual_Infraestructuras_Mercados_Financieros_landing	https://www.banxico.org.mx/sistemas-de-pago/infraestructuras-mercados-fin.html	landing con serie de PDFs anuales	PDF (por edicion, URL con GUID)	anual; ediciones confirmadas en busqueda: 2016,2017,2019,2023,2024 (2024 publicada 23-may-2025)	tablas oficiales de CoDi/SPEI (cuentas, transacciones, montos) por año, publicacion primaria de Banxico	EXISTE-SATISFACE (candidata mas fuerte de todo Parte 0, SIN-FETCH)	WebSearch: 'Banxico Informe Anual Infraestructuras Mercados Financieros 2024 2025 CoDi SPEI cuentas'	Abrir landing, descargar edicion 2024 y buscar edicion 2025 si ya existe, localizar seccion/tabla CoDi y SPEI con series por año	URLs de PDF individuales llevan GUID no reconstruible sin abrir landing primero; es publicacion oficial anual, mas autorial que citas de prensa
P0	discrepancia_3_09M_vs_21_8M_17_8M_origen	(sin URL unica -- hallazgo de sondeo sobre procedencia)	rastreo de procedencia periodistica	n/a	n/a	de donde viene cada cifra citada en tramite.yaml y en el report ancla	NO-ENCONTRADO-EN-BANXICO-DIRECTO (ambas cifras solo confirmadas via prensa en este sondeo)	WebSearch: 'Banxico CoDi avances cuentas registradas transacciones estadistica'; '21.8 millones de cuentas CoDi Banxico El Economista septiembre 2025'	ver notas	3.09M coincide con Cobertura360 (5-oct-2024, 5o aniversario CoDi): de mas de 20.3M cuentas, solo 3.09M hicieron cobro o pago en 5 años. 21.8M cuentas / 17.8M transacciones coincide con El Economista/Fintechexpert (sept-2025, año 6), ya citado por el report ancla del corpus. AMBAS son prensa citando a Banxico, NINGUNA es la serie primaria de Banxico -- verificarla en Informe Anual de Infraestructuras o SIE sigue pendiente. Observacion aritmetica NO resuelta aqui (MED reconcilia, fuera de perimetro): 17.8M transacciones / 3.09M cuentas activas equivale a ~5.76 transacciones por cuenta activa, orden de magnitud compatible con 'cuentas con >=1 transaccion' siendo subconjunto de un conteo de transacciones mayor -- no verificado byte a byte, declarado como pista, no como hallazgo cerrado
P0	ENIF_2024_respaldo1_ya_en_corpus	corpus/reports/Behavioral_Finance_Mexicano...md:118 (ya en el repo, no requiere red)	encuesta de conocimiento/uso declarado	n/a	ENIF 2024	38.0% conocia CoDi, de ellos 12.8% lo uso -- conocimiento/uso declarado, no serie transaccional	EXISTE-SATISFACE (ya en corpus, no researched de nuevo)	n/a -- ya citado por la propia ficha R3.4	n/a, ya en corpus	Respaldo 1 de la ficha; degrada el registro, no sustituye el gate segun la propia ficha
P1	ENAPROCE_2015_programa	https://www.inegi.org.mx/programas/enaproce/2015/	landing de programa	HTML	ola 2015	pagina de programa; enlaza a Descarga Masiva por microdatos	EXISTE-NO-SATISFACE (landing existe; microdato al que enlaza ya confirmado 'ejemplo/ciega' 4-63KB por DESC-1)	WebSearch: 'INEGI ENAPROCE microdatos descarga'	abrir, seccion Microdatos -- mismo resultado que DESC-1 ya documento	ya explorado por DESC-1 (forense/hallazgos.md, entrada 2026-08-05); este acto no repite la descarga, solo confirma la puerta
P1	ENAPROCE_2015_RNM	https://www.inegi.org.mx/rnm/index.php/catalog/330	catalogo de metadatos (NADA/IHSN)	HTML navegable + posibles recursos PDF/doc	ola 2015	metadatos: variables (ej. catalog/330/variable/V2119), muestreo (catalog/330/sampling), materiales relacionados	EXISTE-NO-SATISFACE (metadato si; microdato real NO -- ver nota de politica de acceso)	WebSearch: 'inegi.org.mx/rnm/index.php/catalog/518 OR /330 ENAPROCE accesspolicy politica de acceso microdatos'	abrir catalog/330, pestañas 'Politica de Acceso a los microdatos' y 'Descargas'	Politica general de INEGI (via snippet de busqueda, no verificada byte a byte): microdatos de encuestas/censos ECONOMICOS son de acceso INDIRECTO (tabulados especiales con costo, o Laboratorio/Procesamiento Remoto gratis para usuarios especializados) -- distinto de encuestas de HOGARES que si tienen descarga directa DBF. ENAPROCE es encuesta a establecimientos (economica) -> se espera que caiga en indirecto. No confirmado abriendo la pagina de politica especifica
P1	ENAPROCE_2018_programa	https://www.inegi.org.mx/programas/enaproce/2018/	landing de programa	HTML	ola 2018	pagina de programa; enlaza a Descarga Masiva	EXISTE-NO-SATISFACE (mismo patron que 2015, confirmado por DESC-1)	misma busqueda	abrir, seccion Microdatos	ya explorado por DESC-1
P1	ENAPROCE_2018_RNM	https://www.inegi.org.mx/rnm/index.php/catalog/518	catalogo de metadatos (NADA/IHSN)	HTML + recursos	ola 2018	metadatos: grupos de variables (catalog/518/variable-groups/VG2), muestreo, materiales relacionados, y DOS enlaces de descarga de recurso: catalog/518/download/13137 y catalog/518/download/19219	EXISTE-NO-SATISFACE (metadato si; naturaleza de los dos /download/NNNNN NO determinada -- podrian ser cuestionario/documentacion, no microdato)	WebSearch: 'inegi.org.mx rnm catalog 518 download data files ENAPROCE 2018 microdata'	abrir catalog/518/download/13137 y /19219 para ver que contienen realmente; abrir pestaña 'Politica de Acceso a los microdatos'	Hallazgo sin adjudicar: existen IDs de descarga en el catalogo RNM que no se abrieron en esta sesion (A.6 -- localizado por busqueda, no verificado). No asumir que son el microdato real
P1	ENESTYC_programas_1992_1995_1999_2001_2005	https://www.inegi.org.mx/programas/enestyc/1992/ ; /1995/ ; /1999/ ; /2001/ ; /2005/	landing de programa (5 olas)	HTML	1992,1995,1999,2001,2005	paginas de programa por ola; enlazan a Descarga Masiva	EXISTE-NO-SATISFACE (1992 y 1995 ya confirmados 'ejemplo/ciega' por DESC-1; 1999/2001/2005 mismo patron esperado pero NO confirmado individualmente por DESC-1 ni por este acto)	WebSearch: 'site:inegi.org.mx rnm catalog ENESTYC Encuesta Nacional de Empleo Salarios Tecnologia y Capacitacion'	abrir cada landing, seccion Microdatos	DESC-1 solo documento explicitamente 1992-2005 como rango con 'ejemplo/ciega' en el titulo -- no ola por ola; este acto no abrio 1999/2001/2005 para confirmar cada una por separado
P1	ENESTYC_RNM_catalogo	NO-ENCONTRADO	catalogo de metadatos (NADA/IHSN)	n/a	n/a	n/a	NO-ENCONTRADO (universo de busqueda declarado abajo, sin resultado con ID de catalogo propio)	WebSearch: 'site:inegi.org.mx rnm catalog ENESTYC ...'; 'inegi.org.mx rnm catalog ENESTYC microdatos politica de acceso'	usar el buscador interno en https://www.inegi.org.mx/rnm/index.php/home con el termino 'ENESTYC' -- no intentado en esta sesion por no tener fetch de formularios	Hipotesis no confirmada: ENESTYC fue descontinuada desde 2005 y RNM podria no documentar encuestas descontinuadas de esa antiguedad; NO se declara ausencia real, solo ausencia en este universo de busqueda
P1	Laboratorio_Microdatos_INEGI	https://www.inegi.org.mx/contenidos/app/microdatos/laboratoriodatos/doc/Solicitud_Uso.pdf	tramite institucional	PDF/formulario + correo	n/a	acceso a microdato real por Laboratorio fisico o Procesamiento Remoto	NO-ACCESIBLE (condicion exacta: afiliacion institucional -- estudiante de posgrado con carta de supervisor, investigador con carta de superior inmediato, o servidor publico/funcionario de organismo internacional; formato firmado; enviar a microdatos@inegi.org.mx con nombre de proyecto, objetivo, justificacion de la desagregacion y plan de difusion)	WebSearch: 'INEGI Laboratorio de Microdatos ENAPROCE ENESTYC acceso investigadores requisitos'; 'INEGI beta.inegi.org.mx laboratorio microdatos enaproce remoto'	descargar y llenar Solicitud_Uso.pdf/doc, conseguir firma de responsable institucional, enviar a microdatos@inegi.org.mx -- tramite de dias/semanas, no de 1 minuto	Distincion exigida por el encargo: esto es NO-ACCESIBLE (condicion institucional), NO es NO-ENCONTRADO. Existe tambien modalidad Procesamiento Remoto (no exige desplazarse a un laboratorio fisico) y sedes fisicas en El Colegio de Mexico, CIDE Santa Fe, entre otras
