payload_id	formato	bucket	causa	causa_detalle	hitoD_preregistro	n_notas_forense	notas_forense	manifiesto_estado	milpa	tamano_bytes
encig23_estructura_base_datos.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	7	2026-07-29-d-bloqueo-encig.md;2026-07-31-cal-conf-fasea.md;2026-07-31-cola-descarga-rederivada.md;2026-07-31-encargo-c-familismo-deferencia-reactivo.md;2026-08-04-w-coeficientes-generador-paso1.md;2026-08-18-cond-atrib-confianza-generico.md;2026-08-25-bibliotecario-56-cierre.md	SEÑAL_DE_USO	NO	3100802
ennvih/doc/ehh05q_b2.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	4	2026-08-05-tc1-corpus.md;2026-08-05-ver1-crudo.md;2026-08-06-map1b-censo-raices.md;2026-08-13-inv-descmx.md	SIN_ENTRADA	NO	276032
ennvih/doc/eloc09q_bcc1.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	4	2026-08-05-s2-idg3-sello.md;2026-08-05-tc1-corpus.md;2026-08-06-map1b-censo-raices.md;2026-08-13-inv-descmx.md	SIN_ENTRADA	NO	1105763
ennvih/calculo-de-factores-de-expansion.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-04-censo-diseno-muestral.md;2026-08-24-adq-diseno-1-cierre.md;2026-08-24-recenso-diseno.md	SEÑAL_DE_USO	NO	337947
ennvih/guia_de_usuario_ennvih-3.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-04-censo-diseno-muestral.md;2026-08-05-corrida-idg3.md;2026-08-24-cal-g3-puntual-cierre.md	SEÑAL_DE_USO	NO	774086
ennvih_diseno/calculo-de-factores-de-expansion.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-04-censo-diseno-muestral.md;2026-08-24-adq-diseno-1-cierre.md;2026-08-24-recenso-diseno.md	SEÑAL_DE_USO	NO	337947
ennvih/doc/ehh02q_b2.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-05-tc1-corpus.md;2026-08-06-map1b-censo-raices.md;2026-08-13-inv-descmx.md	SIN_ENTRADA	NO	155104
ennvih/doc/ehh09q_b2.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-05-tc1-corpus.md;2026-08-06-map1b-censo-raices.md;2026-08-13-inv-descmx.md	SIN_ENTRADA	NO	620273
ennvih/doc/eloc09cb_bcc1.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-05-tc1-corpus.md;2026-08-06-map1b-censo-raices.md;2026-08-13-inv-descmx.md	SIN_ENTRADA	NO	1050128
ennvih/doc/eloc09cb_bcc2.pdf	.pdf	SIN_CAMPOS	A	pdf -- informe/cuestionario/boletin, sin variables por naturaleza	SI	3	2026-08-05-tc1-corpus.md;2026-08-06-map1b-censo-raices.md;2026-08-13-inv-descmx.md	SIN_ENTRADA	NO	927189
