# data/curacion-radio-confianza-v1_0.tsv -- ACTO MAESTRA32-E20 · LOTE-NUBE-1 · P1 (re-emision de MAESTRA32-E17), 31/ago/2026
# reactivo x referente x instrumento x ola x peldano. Escalera de 5 peldanos corrida COMPLETA. 269320 filas de inventario examinadas (union de los 4 inventarios).
# referente por lista cerrada de la receta (a); orden de resolucion OTRO -> INSTITUCIONAL -> INTERPERSONAL -> OTRO por defecto.
# Filas de la PASADA 2 (A.13: el texto del reactivo vive en texto_reactivo O en variable_id segun el metodo de extraccion).
# La pasada 1 (receta literal, solo texto_reactivo) esta reportada en la nota de cierre; no produce filas propias porque es subconjunto de esta.
peldano	pasada	instrumento	ola	payload_id	archivo_miembro	variable_id	lado	referente	texto_reactivo	metodo	inventario
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p6_24_10	THETA	INSTITUCIONAL	6.24.10. No acudió a una autoridad o institución no confía en las autoridades del gobierno	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p7_27_10	THETA	INSTITUCIONAL	7.27.10. No acudió a una autoridad o institución no confía en las autoridades del gobierno	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p8_19_10	THETA	INSTITUCIONAL	8.19.10. No acudió a una autoridad o institución no confía en las autoridades del gobierno	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p10_15_10	THETA	INSTITUCIONAL	10.15.10. No acudió a una autoridad o institución no confía en las autoridades del gobierno	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p13_21_13	THETA	INSTITUCIONAL	13.21.13. No acudió a una autoridad o institución no confía en las autoridades	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2006	2006	endireh2006/fd_endireh06.xls	endireh2006/fd_endireh06.xls	P7_12_10	THETA	INSTITUCIONAL	Usted no acudió a la autoridad por desconfianza de las aut.	INSPECT_XLS_FD	inventario-fd-ext-v1_0.tsv
1	2	endireh2006	2006	endireh2006/fd_endireh06.xls	endireh2006/fd_endireh06.xls	P7_12_10	THETA	INSTITUCIONAL	Usted no acudió a la autoridad por desconfianza de las autoridades	INSPECT_XLS_FD	inventario-fd-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p3_2	DESENLACE-G5	n/a	3.2. ¿Su actual esposo o pareja vive con usted?	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p4ab_2	DESENLACE-G5	n/a	4AB.2. ¿Desde hace cuánto tiempo su esposo o pareja NO vive con usted?	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_mujeres_endireh2016_sitioinegi_spss.zip	bd_mujeres_endireh2016_sitioinegi_spss/BD_MUJERES_ENDIREH2016_SitioINEGI.sav	p18_4	DESENLACE-G5	n/a	18.4. ¿Usted cuida a sus nietos(as) o sobrinos(as)…	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
1	2	endireh2016	2016	endireh2016/bd_sd_endireh2016_sitioinegi_spss.zip	bd_sd_endireh2016_sitioinegi_spss/BD_SD_ENDIREH2016_SitioINEGI.sav	p3_2	DESENLACE-G5	n/a	3.2. ¿Su actual esposo o pareja vive con usted?	INSPECT_SPSS	inventario-reactivos-ext-v1_0.tsv
