tabla	variable	presente_pre_2019	presente_post_2019	clase
COE1	CA	no	si	SOLO_POST
COE1	CD_A	si	si	AMBAS
COE1	CON	si	si	AMBAS
COE1	CVEGEO	no	si	SOLO_POST
COE1	CVE_ENT	no	si	SOLO_POST
COE1	CVE_MUN	no	si	SOLO_POST
COE1	D_SEM	si	si	AMBAS
COE1	EDA	si	si	AMBAS
COE1	ENT	si	si	AMBAS
COE1	FAC	si	si	AMBAS
COE1	FAC_MEN	no	si	SOLO_POST
COE1	FAC_TRI	no	si	SOLO_POST
COE1	H_MUD	si	si	AMBAS
COE1	MES_CAL	no	si	SOLO_POST
COE1	N_ENT	si	si	AMBAS
COE1	N_HOG	si	si	AMBAS
COE1	N_INF	si	si	AMBAS
COE1	N_PRO_VIV	si	si	AMBAS
COE1	N_REN	si	si	AMBAS
COE1	P1	si	si	AMBAS
COE1	P1A1	si	si	AMBAS
COE1	P1A2	si	si	AMBAS
COE1	P1A3	si	si	AMBAS
COE1	P1B	si	si	AMBAS
COE1	P1C	si	si	AMBAS
COE1	P1D	si	si	AMBAS
COE1	P1E	si	si	AMBAS
COE1	P2A_ANIO	si	si	AMBAS
COE1	P2A_DIA	si	si	AMBAS
COE1	P2A_MES	si	si	AMBAS
COE1	P2A_SEM	si	si	AMBAS
COE1	P2B	si	si	AMBAS
COE1	P2B_ANIO	si	si	AMBAS
COE1	P2B_DIA	si	si	AMBAS
COE1	P2B_MES	si	si	AMBAS
COE1	P2B_SEM	si	si	AMBAS
COE1	P2C	si	si	AMBAS
COE1	P2D1	si	si	AMBAS
COE1	P2D10	si	si	AMBAS
COE1	P2D11	si	si	AMBAS
COE1	P2D2	si	si	AMBAS
COE1	P2D3	si	si	AMBAS
COE1	P2D4	si	si	AMBAS
COE1	P2D5	si	si	AMBAS
COE1	P2D6	si	si	AMBAS
COE1	P2D7	si	si	AMBAS
COE1	P2D8	si	si	AMBAS
COE1	P2D9	si	si	AMBAS
COE1	P2D99	si	si	AMBAS
COE1	P2E	si	si	AMBAS
COE1	P2F	si	si	AMBAS
COE1	P2G1	si	si	AMBAS
COE1	P2G2	si	si	AMBAS
COE1	P2H1	si	si	AMBAS
COE1	P2H2	si	si	AMBAS
COE1	P2H3	si	si	AMBAS
COE1	P2H4	si	si	AMBAS
COE1	P2H9	si	si	AMBAS
COE1	P2I	si	si	AMBAS
