objeto	objeto_texto	ola	comparado_con	veredicto	alcance_del_veredicto	reactivo	texto_literal	opciones_y_codigos	filtro_y_flujo	unidad	poblacion_base	ponderador_y_diseno	fuente	secciones_fd_recorridas	componentes_no_estimables	texto_buscado	limite_fd	nota
D-INF	Desenlace, componente 1: ahorró o guardó por alguna vía INFORMAL en la ventana de referencia (ancla 2021: alguna de P5_1_1..P5_1_6 = 1)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. Seis reactivos, ventana de 12 meses. Los veredictos de las otras olas se leen contra esta fila.	P5_1_1..P5_1_6	5.1 De julio de 2020 a la fecha, ¿usted ahorró prestando dinero? (1) · ahorró comprando animales o bienes? (2) · guardó dinero en una caja de ahorro del trabajo o de personas conocidas? (3) · guardó dinero con familiares o personas conocidas? (4) · [5 tanda] · guardó dinero en su casa? (6)	1 = Sí · 2 = No (dominio declarado «1,2»; sin código de no respuesta)	Sin filtro previo: se pregunta a toda persona elegida. Ventana 12 meses (julio 2020 a la fecha).	dicotomía por persona (proporción ponderada de personas, [0,1])	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TModulo filas 370-380	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				Definición vigente en DIN-ahorro-solo-informal-lxe8-spec-v1_2.md §2.2 («informal := alguna de P5_1_1 … P5_1_6 == '1'»).
D-INF	Desenlace, componente 1: ahorró o guardó por alguna vía INFORMAL en la ventana de referencia (ancla 2021: alguna de P5_1_1..P5_1_6 = 1)	2024	2021 (ancla)	MISMO-INSTRUMENTO	Mismos seis reactivos, mismo orden, misma ventana de 12 meses; sólo cambia la fecha de referencia y el preámbulo «En los últimos 12 meses».	P5_1_1..P5_1_6	5.1 En los últimos 12 meses, de junio de 2023 a la fecha, ¿usted ahorró prestando dinero? (1) · ahorró comprando animales o bienes? (2) · guardó dinero en una caja de ahorro del trabajo o de personas conocidas? (3) · guardó dinero con familiares o personas conocidas? (4) · [5 tanda] · guardó dinero en su casa? (6)	1 = Sí · 2 = No	Sin filtro previo. Ventana 12 meses (junio 2023 a la fecha).	dicotomía por persona	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TMODULO filas 539-549	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				Es el lado 2024 que el árbitro marginal sellado ya usa (tramite-ola5-propuesta-v0.yaml:1426).
D-INF	Desenlace, componente 1: ahorró o guardó por alguna vía INFORMAL en la ventana de referencia (ancla 2021: alguna de P5_1_1..P5_1_6 = 1)	2018	2021 (ancla)	MISMO-INSTRUMENTO	Seis reactivos idénticos y en el mismo orden que 2021; ventana de 12 meses. Acotado sólo por la población base (18 a 70, no 18 y más).	P5_1_1..P5_1_6	5.1 De abril de 2017 a la fecha, ¿usted… 1 ahorró prestando dinero? · 2 ahorró comprando animales o bienes? · 3 guardó dinero en una caja de ahorro del trabajo o de conocidos? · 4 guardó dinero con familiares o conocidos? · [5 tanda] · 6 guardó dinero en su casa?	1 = Sí · 2 = No	Sin filtro previo. Ventana 12 meses (abril 2017 a la fecha).	dicotomía por persona	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TModulo filas 264-274	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12				«del trabajo o de conocidos» (2018) vs «del trabajo o de personas conocidas» (2021): redacción, mismo referente.
D-INF	Desenlace, componente 1: ahorró o guardó por alguna vía INFORMAL en la ventana de referencia (ancla 2021: alguna de P5_1_1..P5_1_6 = 1)	2015	2021 (ancla)	CAMBIO-MENOR	Mismo conjunto de seis vías y misma ventana de 12 meses, pero en OTRO ORDEN de índice: el índice k de 2015 no es el de 2021. Comparable sólo si se empareja por texto, nunca por posición. Población base 18 a 70.	P5_1_1..P5_1_6	5.1 En el último año, de julio del año pasado a la fecha ¿usted… 1. guardó dinero en una caja de ahorro del trabajo o de conocidos? · 2. guardó dinero con familiares o conocidos? · 3. guardó dinero en su casa? · 4. ahorró en una tanda? · 5. ahorró prestando dinero? · 6. ahorró comprando animales o bienes?	[1-2]: 1 Sí · 2 No	Sin filtro previo. Ventana 12 meses.	dicotomía por persona	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TModulo1 filas 205-215	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11				Mapa por texto 2015→2021: 1→3, 2→4, 3→6, 4→5, 5→1, 6→2. El defecto que esta fila evita es exactamente el de la corrida 0002 de PISOS-ENIF2021 (alineación por nombre en vez de por par).
D-INF	Desenlace, componente 1: ahorró o guardó por alguna vía INFORMAL en la ventana de referencia (ancla 2021: alguna de P5_1_1..P5_1_6 = 1)	2012	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	Cinco reactivos, no seis, y VENTANA DE REFERENCIA DISTINTA («de febrero a la fecha», ~3 meses, contra 12 meses en todas las demás olas). El indicador no mide la misma cantidad: no se compara sin función de enlace (A-bis 3).	P5_1_1..P5_1_5	5.1 ¿De febrero a la fecha… 1 guardó dinero con familiares o conocidos? · 2 guardó en una caja de ahorro de amigos o conocidos? · 3 prestó dinero? · 4 lo guardó en su casa? · 5 ahorró en una tanda?	1 = Si · 2 = No · b = blanco (el FD acepta blanco por pase en toda la sección 5)	Sin filtro previo. Ventana ~3 meses (febrero a la fecha; levantamiento mayo 2012).	dicotomía por persona, ventana ~3 meses (NO conmensurable con la de 12 meses)	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: TMODULO1 filas 293-305	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9	«ahorró comprando animales o bienes» (la vía 2 de 2021) no tiene casilla en 2012	«comprando animales o bienes» · «animales» · «bienes» en las 1 594 filas del FD 2012 y en las 1 733 líneas del cuestionario 2012: NO-ENCONTRADO. «caja de ahorro de amigos o conocidos» (2012) no es «caja de ahorro del trabajo o de personas conocidas» (2021): excluye la del trabajo.		Dos defectos independientes y ninguno se colapsa: falta una vía Y la ventana es de otro tamaño. Cualquiera de los dos basta para que 2012 no alimente la interacción histórica.
D-FOR	Desenlace, componente 2: guardó o ahorró en alguna de las NUEVE vías FORMALES declaradas (ancla 2021: alguna de P5_7_1..P5_7_9 = 1, gateada por la tenencia P5_4_k)	2021	2021 (ancla)	MISMO-INSTRUMENTO	Fila ancla. NUEVE tipos de cuenta. El nemónico de esta pregunta en 2021 es P5_7_k, NO P5_6_k (P5_6_k de 2021 es tenencia de tarjeta de débito).	P5_7_1..P5_7_9	5.7 De julio de 2020 a la fecha, ¿usted guardó o ahorró en su cuenta o tarjeta de nómina (1) · de pensión (2) · para recibir apoyos de gobierno (3) · cuenta de ahorro (4) · cuenta de cheques (5) · depósito a plazo fijo (6) · fondo de inversión (7) · cuenta contratada por Internet o aplicación como Mercado Pago o Albo (8) · otra cuenta (9)?	1 = Sí · 2 = No · b = Blanco por secuencia	5.4 (P5_4_k, «¿Usted tiene…?») gatea a 5.5/5.6/5.7 por posición k. Sin la cuenta k no hay pregunta de ahorro en k, y la persona entra al desenlace como «no usó esa vía formal».	dicotomía por persona	Persona elegida de 18 años y más (FD TModulo fila 1535, EDAD 18-96 + 98 centinela); TModulo	FAC_ELE (factor del elegido, TModulo fila 1543; NO existe FAC_PER) · EST_DIS 001-235 · UPM_DIS 0000001-0002013	enif_2021_fd_pdf.zip sha256/16(zip)=6f4e3aab705ddb69 :: enif_2021_estructura_del_archivo.xlsx · enif_2021_cuestionario.pdf sha256/16=2fe495a58f2eae73 :: TModulo filas 415-496	FD hojas TVivienda/THogar/TSDEM/TModulo completas (1 539 filas); cuestionario secciones 1-11				spec v1_2 §0.1-0.2: la correspondencia con 2024 es por TEXTO, no por rótulo. Esta fila es la que un lector por nemónico lee mal.
D-FOR	Desenlace, componente 2: guardó o ahorró en alguna de las NUEVE vías FORMALES declaradas (ancla 2021: alguna de P5_7_1..P5_7_9 = 1, gateada por la tenencia P5_4_k)	2024	2021 (ancla)	MISMO-INSTRUMENTO	Los NUEVE tipos, uno a uno por texto, con el mismo gate de tenencia. El nemónico se desplaza de P5_7_k a P5_6_k; el reactivo es el mismo palabra por palabra salvo la fecha y las marcas de la cuenta de Internet.	P5_6_1..P5_6_9	5.6 De junio de 2023 a la fecha, ¿usted guardó o ahorró en su cuenta o tarjeta de nómina (1) · de pensión (2) · para recibir apoyos de gobierno (3) · cuenta de ahorro (4) · cuenta de cheques (5) · depósito a plazo fijo (6) · fondo de inversión (7) · cuenta contratada por internet o aplicación (no bancaria) como Mercado Pago, Nu o Spin de Oxxo (8) · otro tipo de cuenta (9)?	1 = Sí · 2 = No	5.4 (P5_4_k) gatea a 5.5/5.6 por posición k. Mismo gate que 2021.	dicotomía por persona	Persona elegida de 18 años y más (FD TMODULO fila 235, EDAD_V 18-95 + 98 centinela); TMODULO	FAC_PER (factor de expansión a nivel persona, TMODULO fila 1677) · EST_DIS 001-190 · UPM_DIS 00001-02172	enif_2024_fd.xlsx sha256/16=17e2ad86ce9e4fd5 · enif_2024_cuestionario.pdf sha256/16=32e37cc13da38691 :: TMODULO filas 584-647	FD hojas TVIVIENDA/THOGAR/TSDEM/TMODULO completas (1 673 filas); cuestionario secciones 1-11				Cambia la ejemplificación de la vía 8 (Albo → Nu, Spin de Oxxo) y se añade «(no bancaria)». Es el mismo producto; se declara y no se esconde.
D-FOR	Desenlace, componente 2: guardó o ahorró en alguna de las NUEVE vías FORMALES declaradas (ancla 2021: alguna de P5_7_1..P5_7_9 = 1, gateada por la tenencia P5_4_k)	2018	2021 (ancla)	CAMBIO-MENOR	OCHO de las nueve vías, con el mismo verbo y el mismo gate. Falta la vía 8 (cuenta contratada por Internet o aplicación). El objeto construible en 2018 es D8 = informal ∧ ¬formal_8, que NO es D9: por construcción D9 ⊆ D8. Acotado además a 18-70.	P5_13_1..P5_13_8	5.13 De abril de 2017 a la fecha, ¿usted guardó o ahorró en su cuenta o tarjeta de nómina (1) · de pensión (2) · para recibir apoyos de gobierno (3) · cuenta de ahorro (4) · cuenta de cheques (5) · depósito a plazo fijo (6) · fondo de inversión (7) · Otro tipo de cuenta (8)?	1,2: 1 Sí · 2 No	5.9 (P5_9_1..P5_9_8, «¿Usted tiene…?») gatea a 5.10-5.13 por posición. Mismo mecanismo que 2021, con ocho posiciones.	dicotomía por persona	Persona elegida de 18 a 70 años (FD TModulo fila 684, EDAD 18..70); TModulo/TModulo2	FAC_PER (factor persona, TModulo fila 702) · EST_DIS 001-012 · UPM_DIS 00001-01914	enif_2018_fd.xlsx sha256/16=dd8d5c92a7a03150 · enif_2018_cuestionario.pdf sha256/16=cda9a0283a39514e :: TModulo filas 321-393	FD hojas TVivienda/TSDem/TModulo/TModulo2 completas (1 237 filas); cuestionario secciones 1-12	vía 8 de 2021 («cuenta contratada por Internet o aplicación»)	«contratada por Internet» · «aplicación» · «Mercado Pago» · «Albo» en las 1 237 filas del FD 2018 y en el cuestionario 2018: NO-ENCONTRADO. El «Otro tipo de cuenta» de 2018 es el homólogo por texto de la vía 9 de 2021, no de la 8.		CONSECUENCIA OPERATIVA: para usar 2018 hay que armonizar en las DOS olas al mismo conjunto de ocho (quitar la vía 8 también de 2021) y declarar el estimando como D8. Emitir D9 en 2021 contra D8 en 2018 sería comparar dos escalas sin enlace (A-bis 3) y dos universos distintos (A-bis 4).
D-FOR	Desenlace, componente 2: guardó o ahorró en alguna de las NUEVE vías FORMALES declaradas (ancla 2021: alguna de P5_7_1..P5_7_9 = 1, gateada por la tenencia P5_4_k)	2015	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	SEIS posiciones, no nueve, y dos de las nueve vías colapsadas en una sola casilla: nómina y pensión se preguntan juntas. Verbo distinto («guardó, depositó o ahorró»). El conjunto no se recupera desagregando: la información de la partición nómina/pensión no está en el archivo.	P5_16_1..P5_16_6	5.16 En el último año, (de julio del año pasado a la fecha), ¿usted guardó, depositó o ahorró en su cuenta de nómina o pensión (1) · cuenta de ahorro (2) · cuenta de cheques (3) · depósito a plazo fijo (4) · fondo de inversión (5) · (RESPUESTA EN 5.11) (6)?	[1-2], b: 1 Sí · 2 No · b blanco	5.11 (P5_11_1..P5_11_6, «¿Usted tiene…») gatea a 5.12-5.16 por posición.	dicotomía por persona	Persona elegida de 18 a 70 años (FD TModulo1 fila 686, EDAD [18-70]); TModulo1/2/3	FAC_PER (factor personas, TModulo1 fila 687) · EST_DIS 001-012 · UPM_DIS 00001-00826	enif_2015_fd.xlsx sha256/16=8233cf53f5904966 · enif_2015_cuestionario.pdf sha256/16=10688412391ecd5e :: TModulo1 filas 322-427	FD hojas Índice/TVivienda/TSDem/TModulo1/TModulo2/TModulo3 completas (1 886 filas); cuestionario secciones 1-11	vía 3 (apoyos de gobierno) · vía 8 (Internet o aplicación) · la partición entre vía 1 (nómina) y vía 2 (pensión)	«apoyos de gobierno» en las 1 886 filas del FD 2015: NO-ENCONTRADO en la sección 5 (aparece sólo la pregunta 5.4 «…o donde reciba apoyos de gobierno», que es tenencia agregada, no una posición de la batería de ahorro). «contratada por Internet» · «aplicación»: NO-ENCONTRADO.		«guardó, depositó o ahorró» admite el depósito hecho por un tercero (la nómina que deposita el patrón); «guardó o ahorró» de 2018-2024 no lo nombra. Es una diferencia de acto medido, no de redacción.
D-FOR	Desenlace, componente 2: guardó o ahorró en alguna de las NUEVE vías FORMALES declaradas (ancla 2021: alguna de P5_7_1..P5_7_9 = 1, gateada por la tenencia P5_4_k)	2012	2021 (ancla)	CAMBIO-DE-INSTRUMENTO	SEIS posiciones con otra partición (nómina y pensión juntas, sin apoyos de gobierno, sin Internet), otro verbo («ahorró o hizo un depósito») y —lo decisivo— una ventana de referencia que NO coincide con la del componente informal de la misma ola.	P5_10_1..P5_10_6	5.10 De abril de 2011 a la fecha, ¿usted ahorró o hizo un depósito en su (respuesta en 5.5)? — 5.5 ¿Tiene usted… 1 cuenta de ahorro? · 2 cuenta de cheques? · 3 depósito a plazo fijo? · 4 cuenta de nómina (donde depositan su sueldo o pensión)? · 5 fondo de inversión? · 6 Otro	1 = Si · 2 = No · b = blanco	5.3 («¿Usted tiene alguna cuenta de ahorro, nomina, inversion u otra en algun banco?») → 5.5 tenencia por posición → 5.6-5.10 por posición.	dicotomía por persona, ventana ~12 meses (el componente informal de la misma ola usa ~3 meses)	Persona elegida de 18 a 70 años del hogar (cuestionario 2012 pdf-pág. línea 200 «PARA PERSONAS DE 18 A 70 AÑOS»); TMODULO1/TMODULO2	FAC_PER (factor persona, TMODULO1/TMODULO2, FD filas 995-996) · EST_DIS 11-14,21,22,31,32,41,42 · UPM_DIS 00001-00847	fd_enif2012.xlsx sha256/16=f03d8e7c82f511e7 · enif_2012_cuestionario.pdf sha256/16=b7fc1f4a2363a609 :: TMODULO1 filas 330-506	FD hojas TVIVIENDA/TSDEM/TMODULO1/TMODULO2 completas (1 594 filas); cuestionario secciones 1-9	vía 3 (apoyos de gobierno) · vía 8 (Internet o aplicación) · la partición nómina/pensión	«apoyos de gobierno» · «contratada por Internet» · «aplicación» en las 1 594 filas del FD 2012 y en el cuestionario 2012: NO-ENCONTRADO.		DEFECTO QUE MATA LA CONSTRUCCIÓN, y se escribe aquí para que nadie lo descubra midiendo: en 2012 los dos componentes de `ahorra_solo_informal` tienen ventanas distintas (informal ~3 meses, formal ~12). «Ahorró informal Y por ninguna vía formal» mezclaría dos periodos de referencia; el resultado no sería el estimando, sería un artefacto del cuestionario.
