payload_id	representacion_id	sha256_12	sha256	fuente_canonica	objeto_logico_id	necesidad_id	reactivo_id	texto_reactivo_recortado	grado_inspeccion	afirmacion_tipo	veredicto_a4	evidencia	frontera_inspeccion	reporte_neutral_ref	propuesta_id	relacion_id	semrun_id	requiere_decision_mesa	decision_mesa_id	dependencia_fp24	razon_gate	estado_integracion	cegamiento_roto	fecha	razon
116334_v1	REP-b79742468b274360e744ce79761603a3b17bf2f51a38af89298d292e2974c657	776d56bf9153	776d56bf91535beaecef9480c352b022c3aec1ec7fae36c969ccdf6c8cc89d1c	MICROCREDIT_IMPACTS_COMPARTAMOS_RCT	OBJ-B2-b8b57da956292d8ed0a34e8d48389dd99398f48dede2e73d1782115745fb4a3c	N3	OBJ-B2-b8b57da956292d8ed0a34e8d48389dd99398f48dede2e73d1782115745fb4a3c	FORMATO-NO-SOPORTADO; objetos=69; muestra=E2R-fc87b14395017f95a0340fcf0b2806f97c8ffe444d25da1b79ecad31bc411978	E2	RESUMEN-NEUTRAL-COMPACTO	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-00477e22108843245e7041aeb0a800da14ba572c0984ca67210acc8dea3792dc:10e08073b4ee86c85b104f2cf98a24e3bd1542ffddfc86269ddcf4296a35ef37	124 etiquetas del .dta de analisis AEJ, Readme 4pp, LICENSE y 567 elementos XML sin texto; el paquete de replica no incluye cuestionario	RPTC-B2-498d404698615186ad0ec8a992e380546d6ecb3162d648f0fc21e0543bba1b69:7147f55647e21ec051f481b5a1712a9606c54276ec030b016301d5bf2afe6851	PROP-B2-b3313a63a64508199b30dd6347bb9f49dfd3d46974805fa2146a67c4dc53d8a9	REL-c9a73bd2a8258784f9f08ea8	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
116334_v1	REP-b79742468b274360e744ce79761603a3b17bf2f51a38af89298d292e2974c657	776d56bf9153	776d56bf91535beaecef9480c352b022c3aec1ec7fae36c969ccdf6c8cc89d1c	MICROCREDIT_IMPACTS_RANDOMIZED_MICROCREDIT_PROGRAM_PLACEMENT_EXP	OBJ-B2-b8b57da956292d8ed0a34e8d48389dd99398f48dede2e73d1782115745fb4a3c	N3	OBJ-B2-b8b57da956292d8ed0a34e8d48389dd99398f48dede2e73d1782115745fb4a3c	FORMATO-NO-SOPORTADO; objetos=69; muestra=E2R-fc87b14395017f95a0340fcf0b2806f97c8ffe444d25da1b79ecad31bc411978	E2	RESUMEN-NEUTRAL-COMPACTO	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-00477e22108843245e7041aeb0a800da14ba572c0984ca67210acc8dea3792dc:10e08073b4ee86c85b104f2cf98a24e3bd1542ffddfc86269ddcf4296a35ef37	124 etiquetas del .dta de analisis AEJ, Readme 4pp, LICENSE y 567 elementos XML sin texto; el paquete de replica no incluye cuestionario	RPTC-B2-498d404698615186ad0ec8a992e380546d6ecb3162d648f0fc21e0543bba1b69:7147f55647e21ec051f481b5a1712a9606c54276ec030b016301d5bf2afe6851	PROP-B2-cb69b75579fc377715e371ee4ed5776dff747cba59d7488398a99522ec80087e	REL-6c97fe0c5cb528557054a838	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	a012fd2d683603e77cb80abc82dbc076b29299359ea8ead561464fe271c24b57	COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	OBJ-B2-ea1cfc637e1c53a5f361708f83241eeab0a1a30052586cdb7d1f0ed3c92aa008	N25	OBJ-B2-ea1cfc637e1c53a5f361708f83241eeab0a1a30052586cdb7d1f0ed3c92aa008	SECCION-TEXTO; objetos=5600; muestra=E2R-ddaa354322a6631df4b0fd295e1250c5111dc0d8054e18a6570d171717e04e1b	E2	RESUMEN-NEUTRAL-COMPACTO	EXISTE-SATISFACE	E2R-7594ee0374aaf046526aa6c5cb886ed58915dba51c81926d47022725dc9b7998:4bff7f5e399402d5691f9430b6df68d534e5df469163404c67bf0fea9813a71a	5612 secciones del codebook CSES (partes 1-6) y 605 columnas CSV; solo se persistieron lineas de opcion, no los enunciados de pregunta	RPTC-B2-b42f06c43cb52efafc5ad883dee621baa40c92b468649dc51b521d4c4ce3e67d:0f34106ae79d82db4053ba247a85715be221ad50bc8ed74f658feb6c3698747b	PROP-B2-201fce1da5cc41bf91701201c9617c621a51a17158a57f7f60fd1198a210feda	REL-c59edf3fce0cc17066bed9ee	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	a012fd2d683603e77cb80abc82dbc076b29299359ea8ead561464fe271c24b57	CSES	OBJ-B2-f2a1441152c67c0bebde9d072a5b825d841e739335242e92e34ef7237c3f0f23	N17	OBJ-B2-f2a1441152c67c0bebde9d072a5b825d841e739335242e92e34ef7237c3f0f23	SECCION-TEXTO; objetos=5600; muestra=E2R-ddaa354322a6631df4b0fd295e1250c5111dc0d8054e18a6570d171717e04e1b	E2	RESUMEN-NEUTRAL-COMPACTO	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-00020d60c180f2390f62be5f80f7b7c790014361b0297154ac65f982987dfa54:c6a0f8ba16c659d0b2e178d551ae959cf30cfab0066882d9188e3b0e0841f061	605 columnas CSV, 801 secciones del cuestionario y 5612 del codebook CSES; digital/online/internet/impuesto/servicio: sin reactivo	RPTC-B2-b42f06c43cb52efafc5ad883dee621baa40c92b468649dc51b521d4c4ce3e67d:0f34106ae79d82db4053ba247a85715be221ad50bc8ed74f658feb6c3698747b	PROP-B2-99788c82886b789d7d1d74a11d22724b916541b7d5fa2976df8af496407c866a	REL-48285fd8e0a22a38147245ed	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
cses5_modulo5_2016_2021_codebook	REP-472eadceb42f627e02b5c8d2da19c586be175499b27762ce78c99c5849833d0a	a012fd2d6836	a012fd2d683603e77cb80abc82dbc076b29299359ea8ead561464fe271c24b57	CSES	OBJ-B2-f2a1441152c67c0bebde9d072a5b825d841e739335242e92e34ef7237c3f0f23	N26	OBJ-B2-f2a1441152c67c0bebde9d072a5b825d841e739335242e92e34ef7237c3f0f23	SECCION-TEXTO; objetos=5600; muestra=E2R-ddaa354322a6631df4b0fd295e1250c5111dc0d8054e18a6570d171717e04e1b	E2	RESUMEN-NEUTRAL-COMPACTO	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-00020d60c180f2390f62be5f80f7b7c790014361b0297154ac65f982987dfa54:c6a0f8ba16c659d0b2e178d551ae959cf30cfab0066882d9188e3b0e0841f061	801 secciones del cuestionario, 5612 del codebook y 605 columnas CSV; transferencia, monitoreo del voto, dadiva y contacto: sin variable	RPTC-B2-b42f06c43cb52efafc5ad883dee621baa40c92b468649dc51b521d4c4ce3e67d:0f34106ae79d82db4053ba247a85715be221ad50bc8ed74f658feb6c3698747b	PROP-B2-df86e310aa8c9b3ff389353c0be8cee0d265da95e8ec907b5169fdff4e17eb22	REL-ee1e829631a8bb7de93bcfd3	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
cses5_modulo5_2016_2021_cuestionario	REP-a3ae6523d18b5adb2bd245f06f130a2b7b5d716867552b410cc079dfca4a6a72	d4deba9a0386	d4deba9a038639871db1625158ef437fe476a3f8b2a0edc5a8041347528abc6c	CSES	OBJ-B2-ab1a4747dc6e204bf3c7890ca1acd2897d4d11499e4434d12d052cf6dd575b89	N25	OBJ-B2-ab1a4747dc6e204bf3c7890ca1acd2897d4d11499e4434d12d052cf6dd575b89	SECCION-TEXTO; objetos=800; muestra=E2R-186b700f7eddd75788084a56d32b69af226be64f5ea7fe275fa42d65007b388b	E2	RESUMEN-NEUTRAL-COMPACTO	EXISTE-SATISFACE	E2R-239cbfcb1d2c08e45915c6f8fc00cd7871b6417f179515fe45a5df92ebb637e9:857edba5b83bf5431e92cfad2cb4bde42070a2ce92070a893b0324890c4fd932	801 secciones del cuestionario CSES M5; solo se persistieron lineas de opcion numeradas, no los enunciados; no se abrio el microdato	RPTC-B2-9965f095cb96c3092017404518eefcd3d1295e705c220af975272470d4abf0ed:df541d0074f50025ceed82aadb8d5a90f7cd9fdd23ec83faaed44c9c6e9e6b81	PROP-B2-07f1e957820c090d1a2ddb1e011bab9a59aad6599e851cdd6ab295291e46e67f	REL-162b116abdb2212886430f08	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OBJ-B2-0cfb27be06cfef9345101b67edc80d4793eee5a5a7d7092d43d2d155df0bcb08	N17	OBJ-B2-0cfb27be06cfef9345101b67edc80d4793eee5a5a7d7092d43d2d155df0bcb08	[REDACTADO-PRIVACIDAD]	E2	RESUMEN-NEUTRAL-COMPACTO	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-0693651f2885773112a6c1b5e4b041b85930bc5c2ebaf8f5bfe1a9cd04360fe9:c99778490887f7aef36f6ebf6cc11a10f7ad71e20eaa7d9961a65e007070c305	87+20 objetos MM (columnas CSV, variables DTA, secciones del manual); terminos digital/online/internet/tramite/impuesto: ninguna variable	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc:add43b20fa864c46bc07c3850b9f5b11f9c56b0cd6a231edac0925a4f0a19fe0	PROP-B2-1856aededf85900013473d06afb81199ffa86c74ef09ecd673f8d5aca7b4b075	REL-e247f2d5250d822fb74a0638	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OBJ-B2-0cfb27be06cfef9345101b67edc80d4793eee5a5a7d7092d43d2d155df0bcb08	N17	OBJ-B2-0cfb27be06cfef9345101b67edc80d4793eee5a5a7d7092d43d2d155df0bcb08	[REDACTADO-PRIVACIDAD]	E2	RESUMEN-NEUTRAL-COMPACTO	NO-ENCONTRADO-EN-UNIVERSO-INSPECCIONADO	E2R-0693651f2885773112a6c1b5e4b041b85930bc5c2ebaf8f5bfe1a9cd04360fe9:c99778490887f7aef36f6ebf6cc11a10f7ad71e20eaa7d9961a65e007070c305	87+20 objetos MM (columnas CSV, variables DTA, secciones del manual); terminos digital/online/internet/tramite/impuesto: ninguna variable	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc:add43b20fa864c46bc07c3850b9f5b11f9c56b0cd6a231edac0925a4f0a19fe0	PROP-B2-7f54adc8e7708ab45bf0ea7d9afa87d1a56341cdd0bd8274973b261dc25d9e3b	REL-1d9d402e2e1aa77c9c01cb5f	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	MASS_MOBILIZATION_PROTEST_DATA_MEXICO	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	N27	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	[REDACTADO-PRIVACIDAD]	E2	RESUMEN-NEUTRAL-COMPACTO	EXISTE-NO-SATISFACE	E2R-168e924064ac68cdb1cc348665382859e051707fd40052e735222d250b964965:5669b0babb02c785cdc3e79c42b6d92acc8286df97d11a0700abece410a6881f	87 objetos de dataverse_files (31 columnas CSV, 31 variables DTA, manual 6pp) y 20 del manual; sin catalogo de codigos ni celdas de microdato	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc:add43b20fa864c46bc07c3850b9f5b11f9c56b0cd6a231edac0925a4f0a19fe0	PROP-B2-74953c46f4d7c2fbdeb486a1006d83e7bc9c3cb0fc667cdb140209a846dc0236	REL-107500c8d4873fe4d05bb8e3	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
dataverse_files	REP-a434b60075ee7f698b1d34fcf37697c2db2a84839c0c961e75778625ddb60e10	6358fb5ef7aa	6358fb5ef7aaafaa186940591c27bd4fc52c66ecca37e3e9381040c270a4096d	MASS_MOBILIZATION_DATA_PROJECT_EVENTOS_MEXICO	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	N27	OBJ-B2-93c194f57b50ad25ad454fbf680371a45d880ed3da73e7c2da4ee2f9163b77d2	[REDACTADO-PRIVACIDAD]	E2	RESUMEN-NEUTRAL-COMPACTO	EXISTE-NO-SATISFACE	E2R-168e924064ac68cdb1cc348665382859e051707fd40052e735222d250b964965:5669b0babb02c785cdc3e79c42b6d92acc8286df97d11a0700abece410a6881f	87 objetos de dataverse_files (31 columnas CSV, 31 variables DTA) y 20 secciones del manual MM; sin catalogo de codigos legible	RPTC-B2-6558aec5ad97034e3a7f1aca826fe73066cc19837526ee14a5a07228755c51cc:add43b20fa864c46bc07c3850b9f5b11f9c56b0cd6a231edac0925a4f0a19fe0	PROP-B2-a528b3dad25345632941e0ca2be7a95d4af7ad5626a6b1d262e78329062a6ef7	REL-32d05d4dc466d048e2961f7b	SEMRUN-B2SEM-c92c02baf4c28c1a	NO	NO-APLICA	NO	Decidible por evidencia fuente/objeto-especifica del material E2 abierto por BARRIDO-2; no exige la regla de pares	INTEGRADA	NO	2026-08-18	Capa 4 proyectada desde propuestas supervisadas y joins verificados
