# GENERADO por tools/p0_calendario_pel.py (ACTO MAESTRA34-L6, P0). Fuente: acuerdos del Consejo General del INE, repositoriodocumental.ine.mx. No editar a mano.
entidad	anio_jornada	concurrente_con_federal	ayuntamientos	n_actividades_municipales	cargos_declarados	ejemplo_actividad	fuente_archivo	fuente_hoja	fuente_acuerdo_ine	handle_dspace	nota_concurrencia
Aguascalientes	2016	NO	SI	1	Ayuntamientos=11 DipMR=18 DipRP=9 Gub=1 (cuadro verbatim del considerando 20)	cuadro del acuerdo: Aguascalientes Ayuntamientos=11	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Aguascalientes	2018	SI	NO	0			pel2017-2018.xlsx	Aguascalientes	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Aguascalientes	2019	NO	SI	14		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2018-2019ord_CGex201808-6-ap-6-a1.xlsx	AGUASCALIENTES	CG extraordinaria 6/ago/2018, anexo 1 (Aguascalientes)	123456789/97991	anio no federal
Aguascalientes	2021	SI	SI	19		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Aguascalientes	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Aguascalientes	2022	NO	NO	0			pel2021-2022.xlsx	Concentrado	CG ordinaria 28/jul/2021, anexo 1	123456789/122210	anio no federal
Aguascalientes	2024	SI	SI	22	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Aguascalientes	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Baja California	2016	NO	SI	1	Ayuntamientos=5 DipMR=17 DipRP=8 Gub=- (cuadro verbatim del considerando 20)	cuadro del acuerdo: Baja California Ayuntamientos=5	pel2015-2016_CGex1_201512-16_ap25.pdf.txt	considerando 20	CG extraordinaria 16/dic/2015, considerando 20	123456789/87457	anio no federal
Baja California	2019	NO	SI	11		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2018-2019ord_CGex201808-6-ap-6-a2.xlsx	BAJA CALIFORNIA	CG extraordinaria 6/ago/2018, anexo 2 (Baja California)	123456789/97991	anio no federal
Baja California	2021	SI	SI	13		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Baja California	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Baja California	2024	SI	SI	17	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Baja California	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Baja California Sur	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Baja California Sur	2018	SI	SI	8		Precampaña para Ayuntamientos.	pel2017-2018.xlsx	Baja California Sur	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Baja California Sur	2021	SI	SI	15		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Baja California Sur	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Baja California Sur	2024	SI	SI	19	Diputaciones y ayuntamientos	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Baja California Sur	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
Campeche	2015	SI	INDETERMINADO	-1	NO-DETERMINADO-POR-ESTA-FUENTE (el acuerdo enumera entidades, no cargos)		pel2014-2015_CGor201412-18_ap13.pdf.txt	punto de acuerdo	CG ordinaria 18/dic/2014	123456789/87134	anio federal, sin excepcion documentada
Campeche	2018	SI	SI	19		Precampaña para Ayuntamientos	pel2017-2018.xlsx	Campeche	CG extraordinaria 8/sep/2017, anexo 2	123456789/93570	anio federal, sin excepcion documentada
Campeche	2021	SI	SI	14		Aprobación de topes de gastos de precampaña Ayuntamientos	pel2020-2021_CGex202008-07-ap-2-a1.xlsm	Campeche	CG extraordinaria 7/ago/2020, anexo 1	123456789/114312	anio federal, sin excepcion documentada
Campeche	2024	SI	SI	17	Diputaciones, ayuntamientos y Juntas Municipales	Aprobación de topes de gastos de precampaña Ayuntamientos	pel2023-2024.xlsx	Campeche	CG extraordinaria 20/jul/2023, anexo 2	123456789/152565	anio federal, sin excepcion documentada
