fuente_canonica	puerta	evidencia_de_equivalencia	clasificacion_a4_de_la_puerta	capa2_agregada	en_cola	gap
ACLED	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	10	SIN-PUERTA
AHORRO FINANCIERO Y FINANCIAMI	VACIO	candidato CNBV_Portafolio_Informacion comparte institucion (CNBV) pero NO el mismo producto -- la fila fue sondeada en TRIAGE-63/#228 contra pnif.cnbv.gob.mx (Reporte Nacional de Inclusion Financiera), CNBV_Portafolio_Informacion apunta a gob.mx/cnbv/.../informacion-estadistica-100861 (URL distinta, ficha distinta); mismo patron de rechazo que IMSS -- institucion sola no basta	NO-ENCONTRADO	NO_REFERENCIADO	47	SIN-PUERTA
BASE_DEL_OBSERVATORIO_DE_CONFLICTOS_POR_EL_AGUA	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	26	SIN-PUERTA
BASE_DE_EVENTOS_DE_PROTESTA_EN_MEXICO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	27	SIN-PUERTA
BDIF	VACIO	candidato CNBV_Portafolio_Informacion comparte institucion (CNBV) pero necesidad N19 sola, sin URL ni cita que confirme mismo producto (Bases de Datos de Inclusion Financiera es una pagina propia de CNBV, distinta de Portafolio de Informacion) -- rechazado, mismo patron que IMSS	NO-ENCONTRADO	NO_REFERENCIADO	48	SIN-PUERTA
BIARE	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
CANAL_DE_ADQUISICION_REFERIDOS_FINTECH	VACIO	sin URL ni institucion propia declarada; necesidad N19 compartida con CNBV/BID no basta sola -- rechazado, mismo patron que IMSS	NO-ENCONTRADO	NO_REFERENCIADO	20	SIN-PUERTA
CCPV	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	SI_O_REFERENCIADO	NO	SIN-PUERTA
CNGMD	RNM_CNGMD_2023_catalogo977	URL: cola.url_conocida == puertas.url exacta (inegi.org.mx/rnm/index.php/catalog/977)	EXISTE-SATISFACE	NO_REFERENCIADO	28	CON-PUERTA-CLASIFICADA
COMPARATIVE_STUDY_OF_ELECTORAL_SYSTEMS_MEXICO_2018	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	29	SIN-PUERTA
CSES	CSES_Modulo5_2016_2021	nombre idéntico (reconciliado por MAP-B §3 tras fusión #186/#187, re-verificado)	EXISTE-SATISFACE	SI	7	CON-PUERTA-CLASIFICADA
DENUNCIA_VINCULADA_CON_TENENCIA_DE_SEGURO	VACIO	cruce por nombre exacto: 0 coincidencias; cruce por URL (cola.url_conocida vs puertas.url, y sondeo-27 #228 donde aplica): sin coincidencia; cruce por necesidad_que_sirve: sin puerta cuyo nombre/institucion corrobore identidad (solo posible traslape tematico, insuficiente por si solo)	NO-ENCONTRADO	NO_REFERENCIADO	21	SIN-PUERTA
