id_candidata	nombre_fuente	institución	país_o_cobertura	URL_primaria	objeto_del_proyecto	constructo	reactivo_o_variable_candidata	texto_literal_del_reactivo_si_disponible	desenlace	misma_muestra	unidad_de_observación	periodo	granularidad	diseño	tamaño_de_muestra_si_documentado	condición_de_acceso	formato	estado_de_disponibilidad	qué_condición_satisface	qué_condición_sigue_faltando	posible_impacto	costo_estimado_de_apertura	evidencia_revisada	fecha_de_revisión
MAPA-EXT-001	Encuesta Anual de Competencias Financieras de la Población	Banco de México	México	https://www.banxico.org.mx/publicaciones-y-prensa/encuesta-de-competencias-financieras-de-la-poblaci/microdatos/competencias-financieras-mi.html	R1.5-R1.7; R8.2	crédito informal/digital, daño financiero, tandas y conducta financiera	CRED1a-d; CRED3a-d; crédito por aplicación; A2a	A2a: Durante los últimos 3 meses, ¿usted o algún miembro de su hogar participó en tandas?	uso de crédito, historial crediticio, estrés/control financiero y participación en tandas	sí, dentro de cada levantamiento	persona informante con preguntas también a nivel hogar	2019-2024	Nacional; desglose fino por confirmar en manual	cortes anuales repetidos; no panel confirmado	no documentado en la landing revisada	libre, descarga directa	microdatos y manuales por año	SATISFACE-UMBRAL-DOCUMENTAL	coobserva tipos de crédito, tandas y resultados financieros en un instrumento; puede reemplazar inferencias por nombre de producto	no identifica BNPL como modalidad separada ni incumplimiento de tanda entre desconocidos; comparabilidad anual por verificar	puede desbloquear R1.5-R1.7 y descartar o precisar la ruta R8.2	bajo	landing oficial Banxico y manual 2021/2022; la landing lista microdatos+manuales 2019-2024	2026-08-06
MAPA-EXT-002	Global Preferences Survey (GPS)	Universidad de Bonn	76 países; cobertura mexicana debe confirmarse en el codebook	https://gps.econ.uni-bonn.de/home	G2/G3 aversion_riesgo; G3/G4 horizonte_temporal; G5 radio_confianza	riesgo, paciencia, reciprocidad, altruismo y confianza	módulo validado de preferencia al riesgo, preferencia temporal y confianza	La landing confirma medición de risk and time preferences, positive and negative reciprocity, altruism, and trust	demografía y resultados socioeconómicos incluidos en el archivo; desenlaces específicos del modelo por mapear	sí	persona	levantamiento global 2012; versión exacta por confirmar en documentación	Nacional por país	transversal comparado; instrumentos validados	no confirmado para la submuestra México	acceso para investigación desde el portal	cuestionarios y archivos de datos	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	reemplaza proxies débiles con reactivos validados directos de riesgo y tiempo	falta confirmar n de México, texto/codificación exactos y desenlace coobservado pertinente para cada generador	puede cambiar magnitud o signo de coeficientes de riesgo, horizonte y confianza, sin reabrir ADR-52 como búsqueda ENBIARE	medio	landing primaria de GPS; describe constructos, cuestionarios, datos y replicación	2026-08-06
MAPA-EXT-003	Encuesta Nacional de Confianza en la Administración Pública 2023 (ENCOAP)	INEGI	México urbano	https://www.inegi.org.mx/programas/encoap/2023/default.html	condicionales de confianza institucional; G1/G5 radio_confianza; R8.3	confianza interpersonal e institucional, satisfacción con servicios, voz y participación	79 preguntas en nueve secciones; niveles de confianza, determinantes, servicios y participación	El portal documenta preguntas 0-10 de confianza y cobertura de confianza interpersonal e institucional; texto variable por abrir en cuestionario	satisfacción con servicios públicos, participación política, voz y preocupaciones del hogar	sí	persona de 18+ en hogar seleccionado	septiembre-octubre 2023	Nacional urbano	probabilístico, trietápico, estratificado y por conglomerados	2,340 viviendas	libre; microdatos declarados de descarga directa por RNM	microdatos, cuestionario PDF, DDI y metodología	SATISFACE-UMBRAL-DOCUMENTAL	coobserva confianza personal/institucional con servicios, voz y participación; permite condicionales en la misma muestra	no representa ámbito rural; falta mapear variables y confirmar cuál desenlace financiero/social coincide con G5/R8.3	puede recalibrar seis condicionales institucionales y radio de confianza con instrumento especializado	bajo	portal y RNM oficiales INEGI; objetivo, muestra, cobertura, secciones y acceso a microdatos	2026-08-06
MAPA-EXT-004	ISSP 2017 Social Networks and Social Resources, muestra México	ISSP/GESIS	México dentro de comparativo internacional	https://www.gesis.org/en/issp/data-and-documentation/social-networks/2017	G5 familismo_apoyo; G5 familismo_obligacion; G5 radio_confianza; R8.1; R8.3	redes familiares, deberes/derechos, recursos sociales, confianza y participación	cuestionario fuente y cuestionario MX17; contactos, apoyo, deberes, participación asociativa y confianza social	La página temática documenta que el módulo mide nature and contacts with family members and friends, participation in associations and groups, duties and rights in social networks and social trust	apoyo recibido/dado, recursos de red y participación en grupos	sí	persona	julio-agosto 2018	Nacional; desglose subnacional por confirmar	transversal comparado	1,002 en México	registro gratuito GESIS	microdato y documentación	SATISFACE-UMBRAL-DOCUMENTAL	pone actitud/deber, red, confianza y conducta de apoyo/participación en la misma muestra mexicana	falta verificar texto mexicano, dirección, condicionantes y si identifica monitoreo/sanción en grupos	puede sustituir proxies circulares y resolver parte del paquete de familismo con población general	bajo-medio	página primaria GESIS, cobertura México, n, periodo, cuestionarios y temática	2026-08-06
MAPA-EXT-005	ISSP 2012 Family and Changing Gender Roles IV, muestra México	ISSP/GESIS	México dentro de comparativo internacional	https://www.gesis.org/en/issp/data-and-documentation/family-and-changing-gender-roles/2012	G5 familismo_obligacion; G5 familismo_apoyo; R5.2	actitudes familiares, reparto de cuidado y roles de género	cuestionario fuente y MX12 sobre obligaciones familiares, empleo, cuidado y división doméstica	texto literal pendiente de abrir en MX12; la documentación confirma el módulo Family and Changing Gender Roles	conducta/roles domésticos, empleo y características del hogar	sí	persona	2013 en México	Nacional; desglose subnacional por confirmar	transversal comparado	1,527 en México	registro gratuito GESIS	microdato, cuestionarios y variable report	SATISFACE-UMBRAL-DOCUMENTAL	permite contrastar actitud frente a conducta en población general, sin filtro de necesidad de cuidado de ENUT	no es panel; falta mapear texto, forma y si las conductas están referidas al propio hogar	puede resolver la decisión conceptual del paquete de familismo y triangular R5.2	bajo-medio	página primaria GESIS con muestra México, periodo, acceso y documentación	2026-08-06
MAPA-EXT-006	CSES Module 5, Mexico 2018	Comparative Study of Electoral Systems; equipo nacional México	México dentro de comparativo electoral	https://cses.org/data-download/cses-module-5-2016-2021/	R7.6-R7.9; R7.3	contacto partidista, atribución, populismo, voto y participación	variables de voto/turnout, contacto de campaña, evaluación de élites, voz y actitudes populistas	texto literal pendiente del cuestionario México 2018; CSES documenta batería de movilización y variables de voto	voto, turnout, cambio de voto y evaluación política	sí	votante/entrevistado postelectoral	2018	Nacional; distrito primario disponible en CSES	estudio postelectoral transversal con variables micro, distrito y macro	incluido en total Module 5 de 114,714; n México por abrir	libre sin costo	CSV/R/Stata/SPSS, codebook, cuestionario y design report	SATISFACE-UMBRAL-DOCUMENTAL	coobserva conducta electoral y mecanismos de contacto/atribución en una muestra mexicana	no es panel ni padrón de beneficiarios; no identifica por sí solo tratamiento de Pensión del Bienestar	puede desbloquear mediciones R7.6-R7.9 y mejorar especificación de R7.3	bajo	páginas primarias CSES, full release, México 2018 y descripción de variables	2026-08-06
MAPA-EXT-007	GDELT 2.0 Event Database	GDELT Project	Global con eventos geocodificados en México	https://www.gdeltproject.org/data.html	R7.4-R7.5	respuesta colectiva, protesta, actor y entorno	EventCode/CAMEO, Actor1/Actor2, ActionGeo, latitud/longitud, fecha y fuente	No aplica: registro de eventos, no encuesta	tipo de acción/respuesta, actores y tono/severidad en noticia	sí, a nivel evento codificado	evento-noticia deduplicable	2015-presente en 2.0; backfile 1.0 desde 1979	coordenadas y campos geográficos; urbano/rural derivable externamente	serie de eventos observacionales basada en noticias	no aplica	libre; consulta/descarga masiva	CSV/BigQuery y codebook PDF	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	aporta eventos, actores, tipo de acción y geografía que faltan al agregado mensual ACLED_HDX	debe construirse universo México, deduplicar noticias, clasificar agravio/respuesta y unir entorno rural/urbano; sesgo de cobertura	puede convertir R7.4/R7.5 de agregado nacional a análisis evento×entorno	medio-alto	página y codebook primarios GDELT; campos actor, CAMEO y georreferencia	2026-08-06
MAPA-EXT-008	Mass Mobilization Protest Data	Binghamton University / University of Notre Dame	162 países, incluye México	https://massmobilization.github.io/	R7.4-R7.5	movilización colectiva ante demanda y respuesta estatal	protest, location, protester demands, government responses, protester identities	No aplica: registro de eventos; define protesta como reunión de 50+ personas con demanda al gobierno	demanda, respuesta gubernamental, participantes y localización	sí, a nivel evento	evento de protesta	1990-2018	localización reportada; urbano/rural exacto por verificar	serie de eventos codificados desde prensa	no aplica	libre; Dataverse enlazado por productor	CSV/Stata y codebook	SATISFACE-UMBRAL-DOCUMENTAL	coobserva agravio/demanda, actor colectivo, respuesta y lugar, piezas ausentes en ACLED_HDX	no codifica de entrada predicción ambiental del proyecto; cobertura termina 2018 y ubicación puede no llegar a coordenada	puede habilitar contraste histórico R7.4/R7.5 con menor costo que GDELT	medio	landing primaria del proyecto y codebook; periodo, definición y enlace Dataverse	2026-08-06
MAPA-EXT-009	Acciones de Infraestructura Física de Obra, Conservación y Mantenimiento	IMSS-BIENESTAR / datos.gob.mx	México	https://www.datos.gob.mx/dataset/acciones_infraestructura_fisica_obra_conservacion_mantenimiento	R4.1	mejora fechada de acceso público a salud	ubicación, estado y avance físico/financiero de acciones de infraestructura	No aplica: registro administrativo de obras	uso de farmacia/consulta debe venir de ENSANUT u otra fuente	ono; requiere enlace externo	acción de obra/unidad médica	2026 y actualizaciones posteriores; historia retroactiva posible	ubicación declarada; nivel exacto por abrir	cohorte de eventos/obras potencial para antes-después	no aplica	libre CC BY 4.0	CSV	CANDIDATA-NUEVA-POTENCIALMENTE-MATERIAL	aporta evento fechado y localizado de mejora de acceso, faltante central de R4.1	serie demasiado reciente para cambiar hoy el sellado; falta CLUES estable, fecha operativa y desenlace pre/post enlazable	puede habilitar medición futura/event study de R4.1	medio	ficha primaria datos.gob.mx; formato, licencia, ubicación, avance y fecha de actualización	2026-08-06
MAPA-EXT-010	OECD Survey on Drivers of Trust in Public Institutions	OCDE	México y otros países OCDE	https://www.oecd.org/en/data/datasets/oecd-trust-survey-data.html	condicionales de confianza; R8.3	confianza interpersonal/institucional, voz, servicios y preocupaciones financieras	cuestionario OECD 2023/2025; confianza 0-10, satisfacción con servicios, voz y participación	How much do you trust the national/federal government? escala 0-10; otras instituciones y otras personas usan la misma familia de escala	satisfacción de servicios, voz, participación y preocupaciones financieras	sí	persona	2021, 2023 y 2025; México documentado en 2021/2023	México nacional urbano en 2023; representatividad por ola	cortes repetidos comparados	2,527 México en 2021; 2023 por confirmar	solicitud para investigación no comercial	public-use microdata bajo términos; cuestionarios y tabulados	DUPLICADA-DE-FUENTE-CONOCIDA	es la matriz internacional de la ENCOAP mexicana y ofrece olas/comparadores	no aporta una nueva fuente independiente respecto de ENCOAP para 2023; requiere aprobación de acceso	puede servir para tendencia/comparación, no debe contarse como segunda evidencia mexicana independiente	medio	landing primaria OECD, términos de uso, nota México y documentación técnica	2026-08-06
