id_regla	encuesta	payload_manifiesto_id	tier_gen1	situacion_gen1	n	destino	evidencia
dinero.ahorro.tiene_ahorros	ENNViH (olas 2005+2009)	ola2=ennvih2_2005_hogar_dta; ola3=ennvih3_2009_hogar_dta; peso=ennvih2_2005_pond	SELLADA	PENDIENTE-DE-MESA	6028	RE-MEDIDA	P2 de este acto: payload COINCIDE (ennvih2_2005_hogar_dta, ennvih3_2009_hogar_dta, ennvih2_2005_ponderador_transversal), COMMIT-1 nuevo
familia.apoyo.recibe_dinero_familiares	ENIF2024 (TMODULO)	NO-LOCALIZADO -- se uso data/raw/enif_2024_bd_csv.zip (trae TMODULO.csv con FILT	SELLADA	PENDIENTE-DE-MESA	11895	FUERA-DE-ALCANCE	encuesta no nombrada en el objetivo de este acto (ENCUCI/EDER/LAPOP/ENIGH/ENFIH/ENNViH/electorales); payload SI se uso ya (data/raw/enif_2024_bd_csv.zip, distinto de enif2024_csv del manifiesto); sucesor propio de ENIF2024
familia.corresidencia.adulto_familiar	EDER 2017	eder_2017_eder2017_bases_csv	FUERTE	SELLADA-SIN-CARGA	14887	RE-MEDIDA	P2 de este acto: payload COINCIDE (eder_2017_eder2017_bases_csv), COMMIT-1 nuevo
tramite.mordida.discrecional	ENCUCI 2020	encuci2020_bd_dbf	SELLADA	realiza_tramite_gobierno	13435	RE-MEDIDA	P2 de este acto: payload COINCIDE (encuci2020_bd_dbf), COMMIT-1 nuevo
familia.corresidencia.adulto_familiar_actual	EDER 2017	eder_2017_eder2017_bases_csv	SELLADA	SELLADA-SIN-CARGA	9397	RE-MEDIDA	P2 de este acto: payload COINCIDE (eder_2017_eder2017_bases_csv), COMMIT-1 nuevo
familia.seguro.volatilidad_ausencia_estado	ENIGH 2022	enigh2022_nc_csv	SELLADA	PENDIENTE-DE-MESA	90102	RE-MEDIDA	P2 de este acto: payload COINCIDE (enigh2022_nc_csv), COMMIT-1 nuevo
dinero.planeacion.formal_estable	ENFIH 2019	enfih2019_bd_csv_zip	SELLADA	PENDIENTE-DE-MESA	17765	RE-MEDIDA	P2 de este acto: payload COINCIDE (enfih2019_bd_csv_zip), COMMIT-1 nuevo
civico.participacion.contingente	electoral (computos por municipio)	iec_coahuila_2023_gubernatura_x_municipio_xlsx;iec_coahuila_2024_ayuntamientos_x	MEDIA	REFUTADA-COMO-CAUSAL	163	FUERA-DE-ALCANCE	no es un marginal de encuesta (OBJETIVO SS1); computos IEC Coahuila/IEEM EdoMex por municipio
civico.participacion.contingente_escalonado_2016_2024	electoral (computos por municipio)	iec_coahuila_2017_ayuntamientos_x_municipio_xlsx;iec_coahuila_2018_ayuntamientos	MEDIA	SELLADA-SIN-CARGA	269	FUERA-DE-ALCANCE	no es un marginal de encuesta; computos de 5 institutos electorales estatales + acuerdos INE
civico.participacion.tipo_boleta_federal_2016_2024	electoral (computos por municipio/casilla)	ieez_zacatecas_2016_ayuntamientos_x_municipio_htm;ieez_zacatecas_2016_eleccion_x	MEDIA	SELLADA-SIN-CARGA		FUERA-DE-ALCANCE	no es un marginal de encuesta; computos de 6 institutos electorales estatales
