ruta_relativa	tamano_bytes	mtime_utc	sha256
multi1-staging/asignacion-workers.tsv	2523	2026-08-07 00:11:56	3d0436bcfea7c4b79674c0096a28737dbf3fcf7eb2de6d57eb781e103a54fa8e
multi1-staging/integrado/SHA256SUMS.json	1467	2026-08-07 00:15:07	1b52baefa7c0f7ad9a22718a75c5f5521bcf3db7ff9c886c91c087b4065cbdbb
multi1-staging/integrado/asignacion-workers.tsv	2523	2026-08-07 00:11:56	3d0436bcfea7c4b79674c0096a28737dbf3fcf7eb2de6d57eb781e103a54fa8e
multi1-staging/integrado/cambios-clasificacion.tsv	1613	2026-08-07 00:15:07	05ef625c56afd3537a10801ef83e13e6f9ecc7bfe51b6b33fc03f3967fac5101
multi1-staging/integrado/causa-raiz-contaminacion-relaciones.md	458	2026-08-07 00:15:07	08d3c16755aefbea1eabf04bae74cc2b64f6f8f008b0b1f44fd95143bccb4b28
multi1-staging/integrado/conflictos-materiales.tsv	285	2026-08-07 00:15:07	e15082065fa799a59fd8ea6439bd4adb9519176b869e0013fa38f84dd50a16d0
multi1-staging/integrado/decisiones-humanas.tsv	304	2026-08-07 00:15:07	c700260f5c29ae9c5596648429168e236ce371d489ef005587d9f5e382f87f3b
multi1-staging/integrado/diff-curador.patch	521	2026-08-07 00:15:07	d93b0c5434d09274b873226b425681dda7eaf37befbc4c5f59d6018a4e7c5be4
multi1-staging/integrado/pruebas-regresion.txt	1747	2026-08-07 00:15:07	ac332a525f920d2ce528f258b404865b066fed6ea6fddfce605918f2a82871f0
multi1-staging/integrado/registro-demanda-universo-curado.tsv	97662	2026-08-07 00:15:07	f718941b115a702daaaa09485b014827b1a7d5c9d25f644256f90029085ceaf2
multi1-staging/integrado/reporte-supervisor.md	704	2026-08-07 00:15:07	77ed68dfa36f09cd46ed0477dbb2da8057ac18c190671bf407b512bc45d03486
multi1-staging/integrado/validacion.json	1071	2026-08-07 00:15:07	2e611f88ed53d5266fb5c58a662429395bde1bf949defb518df6726e5d15d2a9
multi1-staging/integrado/worker-1-relaciones.tsv	24870	2026-08-07 00:13:56	c5db4ec006753ed2ad4baf7be322f37063f17f6c5e8ecd0a89d5b97a51159a5b
multi1-staging/integrado/worker-1-resumen.json	159	2026-08-07 00:13:56	51bcb3aef37f2298947a491350e509d3637d0a089af772948d9bde118b0ed9c2
multi1-staging/integrado/worker-2-relaciones.tsv	23349	2026-08-07 00:13:36	9bb1580e0dd95b3b9c3d91c8e188f00cd05587dec294a2d7053eddec7d591f28
multi1-staging/integrado/worker-2-resumen.json	159	2026-08-07 00:13:36	db727b9c82ca938dcea2be14ce5686a3b39b97f95892ac01bf809363d91eee36
multi1-staging/integrado/worker-3-relaciones.tsv	34262	2026-08-07 00:13:46	f47f67e6467b9d3a246b267e183ea0bac9c8ccf8714206d1fed25a5c27a7b937
multi1-staging/integrado/worker-3-resumen.json	177	2026-08-07 00:13:46	456e0fc9635c281306efdcb7601489d1821a7c6d0976b52c442d995088dbade5
multi1-staging/pruebas-regresion.txt	1747	2026-08-07 00:14:59	ac332a525f920d2ce528f258b404865b066fed6ea6fddfce605918f2a82871f0
multi1-staging/worker-1-fuentes.json	841	2026-08-07 00:11:56	c1883d351cb0712188187c8dab9aa008832301f63def14cd7cc61a5b39d4d65d
multi1-staging/worker-1-input.tsv	22364	2026-08-07 00:11:56	3dc7cfdb0b4988e7b3463596a6ebcc41b43f7711611836c284aaf1a0781899fa
multi1-staging/worker-1-relaciones.tsv	24870	2026-08-07 00:13:56	c5db4ec006753ed2ad4baf7be322f37063f17f6c5e8ecd0a89d5b97a51159a5b
multi1-staging/worker-1-resumen.json	159	2026-08-07 00:13:56	51bcb3aef37f2298947a491350e509d3637d0a089af772948d9bde118b0ed9c2
multi1-staging/worker-2-fuentes.json	803	2026-08-07 00:11:56	8c934079207d8b5a9d1b0915191564bd7a803d3cea2c95532b6f1cd157e8b638
multi1-staging/worker-2-input.tsv	31209	2026-08-07 00:11:56	663de7703fcb651c60e2bd10f753f45c821b29626ea185aff5b65f01713e18a3
multi1-staging/worker-2-relaciones.tsv	23349	2026-08-07 00:13:36	9bb1580e0dd95b3b9c3d91c8e188f00cd05587dec294a2d7053eddec7d591f28
multi1-staging/worker-2-resumen.json	159	2026-08-07 00:13:36	db727b9c82ca938dcea2be14ce5686a3b39b97f95892ac01bf809363d91eee36
multi1-staging/worker-3-fuentes.json	651	2026-08-07 00:11:56	74e6da4117f7b5fad884b122d13c30767f50382fe6c38261358a736a26e2c4f7
multi1-staging/worker-3-input.tsv	35575	2026-08-07 00:11:56	58f6acfaeade5b88c6bad11bbb984963f3d16706d92b436a983566f76d9b0811
multi1-staging/worker-3-relaciones.tsv	34262	2026-08-07 00:13:46	f47f67e6467b9d3a246b267e183ea0bac9c8ccf8714206d1fed25a5c27a7b937
