id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-6b7fe5aa-01	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L14	ENSU 2025T3 40.6/36.9/35.0/22.4 mide cambios por temor en personas 18+ de 91 áreas urbanas; T4 es otra ola. No separa víctimas directas de no víctimas.		PENDIENTE-ENSU-HABITOS	¿Qué reactivos, factor, áreas y denominadores producen cada hábito T3/T4; existe cruce con victimización directa?	INEGI ENSU 2025T3/T4 presentación y cuestionario; presentación T4 oficial cotejada	ASTRA5-U3	Contratar cuatro hábitos por ola y no llamar efecto en no víctimas sin cruce.
LECTURA-6b7fe5aa-02	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L16	ENVIPE 2024 inseguridad estatal y ENSU 2025T3 inseguridad urbana tienen referente/fecha distintos; comparación con riesgo de violencia grave necesita misma unidad, periodo y delito.		PENDIENTE-MIEDO-RIESGO	¿Qué pregunta y universo ENVIPE/ENSU dan 73.6/63.0 y qué tasa de victimización individual comparable define «riesgo objetivo»?	ENVIPE 2024 percepción; ENSU 2025T3 boletín oficial	ASTRA5-U3	No restar percepción y victimización de instrumentos distintos como brecha causal.
LECTURA-6b7fe5aa-03	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L18	ENCIG 2023 confianza familia/vecinos/policía/partidos y percepción de corrupción son referentes distintos; no observan erosión longitudinal por violencia.		PENDIENTE-ENCIG-CONFIANZA	¿Qué reactivos, categorías, población urbana y tabulados dan 87.4/71.4/37.1/28.9 y 86.7/73.0?	ENCIG 2023 cuestionario/diseño/tabulados por registrar	ASTRA5-U3	Separar niveles de confianza, corrupción y mecanismo temporal.
LECTURA-6b7fe5aa-04	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L20	ENVIPE 2025 estima delitos ocurridos en 2024: 9.6% denunciado y 93.2% sin investigación/carpeta son denominadores delictivos; 0.8% resolución positiva requiere tabla propia. No son tasa de impunidad judicial caso a caso.		PENDIENTE-ENVIPE-CIFRA-OCULTA	¿Qué figura define denuncia, carpeta y resolución positiva; cómo se calcula 0.8% del total?	INEGI ENVIPE 2025 comunicado 127/25 y tabulados; PDF oficial cotejado	ASTRA5-U3	Mantener denominador delito y no atribuir confianza institucional al agregado sin análisis.
LECTURA-6b7fe5aa-05	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L22	IEP impacto económico 2025 ~4 billones/11% PIB y caída del impacto 11.4%; INEGI costo directo 2024 269.6 mil millones/1.07% tienen metodologías/años distintos. La diferencia no estima un «efecto ambiental» residual.		PENDIENTE-IEP-INEGI-COSTOS	¿Qué partidas/modelo IEP e INEGI incluye cada total, qué PIB base y qué incertidumbre; cuál serie de paz cambió 5.1%?	IEP Mexico Peace Index 2026; ENVIPE 2025 costo 2024; IEP nota oficial cotejada	ASTRA5-MESA-VIOLENCIA	Corregir −11.4% como variación de impacto económico, no caída del índice de paz; prohibir resta causal.
LECTURA-6b7fe5aa-06	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L24	Normalización, aceptación moral y resiliencia son constructos diferentes; no hay tasa nacional ni identificación causal de «mecanismo de supervivencia».		PENDIENTE-NORMALIZACION	¿Qué escala/entrevistas mexicanas definen acostumbramiento, agencia y valoración moral, con qué muestra?	Ibero Puebla texto psicosocial; Narco Emotions métodos por registrar	ASTRA5-MESA-VIOLENCIA	Conservar hipótesis cualitativa sin atribuirla a toda población.
LECTURA-6b7fe5aa-07	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L26	ENSU 2025T3 percepción por sexo, miedo en cajeros y CEPAL feminicidios 2024 son unidades/desenlaces distintos; «organizado alrededor» necesita pregunta sobre tipo de amenaza.		PENDIENTE-MIEDO-GENERO	¿Qué pregunta ENSU mide temor sexual/homicida y qué tabla CEPAL define 852 feminicidios/tasa?	ENSU 2025T3 por sexo; CEPAL Observatorio feminicidio 2024; Soto Villagrán por registrar	ASTRA5-U2	Separar percepción, victimización, tipo de violencia y comparación por género.
LECTURA-6b7fe5aa-08	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L28	28,900 personas/72 eventos/13 estados y +129% 2024 son desplazamiento interno; ~390 mil CMDPDH es acumulado de otra metodología.		PENDIENTE-TRAVESIAS	¿Qué definiciones, tabla y fechas del estudio Ibero-ACNUR producen evento/persona/crecimiento y Chiapas 61.8%?	Travesías forzadas 2024 Ibero-ACNUR; CMDPDH serie acumulada por registrar	ASTRA5-MESA-MIGRACION	Deduplicar con LECTURA-6dc7d7a8-11 y no sumar flujo anual con stock.
LECTURA-6b7fe5aa-09	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L30	SESNSP 10,322 víctimas denunciadas ene-nov 2025, ENVIPE 5.7m extorsiones estimadas 2024 y Concanaco 89% entidades son registros/unidades distintos; efectos sobre negocio quedan sin medición común.		PENDIENTE-EXTORSION	¿Qué serie SESNSP, tabla ENVIPE y encuesta Concanaco respaldan magnitudes y unidad empresa/persona/delito/estado?	SESNSP 2025; ENVIPE 2025 extorsión; Concanaco estudio por registrar	ASTRA5-MESA-VIOLENCIA	Fijar años y subregistro; no usar razón implícita de registros heterogéneos.
LECTURA-6b7fe5aa-10	corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md:L32	TEPT Medina-Mora 2005 2.3% mujeres/0.49% hombres es clínica histórica; «hipervigilancia casi universal» carece de instrumento nacional y el criterio de apagarse requiere seguimiento.		PENDIENTE-TEPT-VIGILANCIA	¿Qué entrevista diagnóstica, edad y periodo sustentan TEPT; qué medida distingue vigilancia contextual de síntoma persistente?	Medina-Mora et al. 2005 ENEP y estudio longitudinal de vigilancia por identificar	ASTRA5-MESA-SALUD	No inferir prevalencia actual ni ausencia de trauma de hábitos ENSU.
