id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-916eb783-01	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L15	Foster 1965 modela Tzintzuntzan mestizo; suma cero y sanción no son prevalencias ni mecanismo probado en México contemporáneo.		PENDIENTE-FOSTER-BIEN-LIMITADO	¿Qué observaciones/localidad y críticas delimitan bienes limitados y cambio posterior?	Foster Tzintzuntzan 1965/edición revisada; Kaplan/Saler	ASTRA5-MESA-ESTATUS	Acotar etnografía; no extrapolar a indígenas/urbano.
LECTURA-916eb783-02	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L17	Envidia como emoción y sistema Wolf/Foster son niveles distintos; chisme, mal de ojo y reparto no forman una medida nacional conjunta.		PENDIENTE-ENVIDIA-SISTEMA	¿Qué casos de Wolf 1955/Foster 1972 documentan cada práctica y cuándo?	Wolf 1955; Foster 1972 Anatomy of Envy	ASTRA5-MESA-ESTATUS	Deduplicar con éxito/estatus y separar emoción de institución.
LECTURA-916eb783-03	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L19	Gershman 2015 encuentra asociación intercultural evil eye/desigualdad; no estima efecto causal ni prevalencia mexicana de ocultamiento.		PENDIENTE-MAL-DE-OJO	¿Qué sociedades, variable de creencia, riqueza e instituciones entran al modelo y qué casos son mexicanos?	Gershman JEBO 2015 datos SCCS; etnografía local por registrar	ASTRA5-MESA-RURAL	Separar correlación comparada de uso local y función social.
LECTURA-916eb783-04	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L21	Dunbar chisme como grooming y daño son evidencia general; falta medición mexicana que compare cooperación y exclusión en misma red.		PENDIENTE-CHISME-REPUTACION	¿Qué estudio mexicano observa chisme, blanco, sanción y cooperación con diseño identificable?	Dunbar 1997/2004; Hagene 2010; estudio Chapingo por registrar	ASTRA5-MESA-INTERACCION	Conservar doble efecto como hipótesis situada.
LECTURA-916eb783-05	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L23	Latinobarómetro 2024 15% regional y 26% México miden una pregunta/ola distinta de WVS México 2018 Q57=10.5%; no se fusionan.		PENDIENTE-CONFIANZA-LB	¿Qué pregunta, base/ponderación y fecha dan 26% México y 15% regional?	Latinobarómetro informe 2024/tabulados; WVS 2018 Q57 contrato	ASTRA5-U3	Deduplicar con capital social/emociones; no atribuir causalidad a confianza baja.
LECTURA-916eb783-06	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L25	ENSU 2024T1 47.4% evita llevar objetos de valor por miedo a delito en ciudades cubiertas; no mide inversión ni ocultar riqueza para evitar envidia.		PENDIENTE-ENSU-VALORES	¿Qué reactivo, ámbito urbano, edad y factor generan 47.4%?	INEGI ENSU 2024T1 cuestionario/tabulado/diseño	ASTRA5-U3	Separar conducta defensiva por delito del fear equilibrium de Gershman.
LECTURA-916eb783-07	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L27	ENVE 2024 delitos 2023: 18 entidades, 1,562/10k y cifra negra 90.3/96.7 tienen unidades distintas; visibilidad de prosperidad no figura en esos agregados.		PENDIENTE-ENVE-EXTORSION	¿Qué tabulados ENVE definen delito más frecuente, tasa por unidad y cifra negra general/específica?	INEGI ENVE 2024 cuestionario/diseño/tabulados	ASTRA5-U3	No equiparar extorsión a cobro de piso ni inferir selección por ostentación.
LECTURA-916eb783-08	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L29	Funa digital puede ser denuncia legítima o sanción; no hay conteo representativo ni medida de motivación en el report.		PENDIENTE-FUNA	¿Qué corpus de incidentes mexicanos clasifica objeto, legitimidad, alcance y desenlace?	Estudios UNAM/Corriente Alterna y fuente de plataforma por registrar	ASTRA5-MESA-DIGITAL	No clasificar toda denuncia como envidia ni extrapolar jóvenes urbanos.
LECTURA-916eb783-09	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L31	Migrante de retorno vulnerable a extorsión/secuestro y ocultamiento deliberado son afirmaciones separadas; la última carece de medición dedicada.		PENDIENTE-RETORNO-RIESGO	¿Qué muestra de retornados registra victimización, recursos y ocultamiento intencional?	Encuesta retornados/ENVIPE y casos por registrar	ASTRA5-MESA-MIGRACION	Deduplicar con migración; no inferir motivo desde casos.
LECTURA-916eb783-10	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L33	Tall poppy, Jante, proverbio japonés y chaquetear son analogías heterogéneas; distinción causal valores/escasez no se identificó en diseño comparable.		PENDIENTE-ANALOGIA-NIVELACION	¿Qué escalas comunes comparan sanción, confianza y riesgo material entre países?	Estudios tall poppy/Jante/Chile/Japón por registrar	ASTRA5-MESA-ESTATUS	Mantener analogía, sin ranking causal nacional.
LECTURA-916eb783-11	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L35	Cancian Zinacantán describe gasto ritual y prestigio, pero también estratificación por acceso a cargos; redistribución neta no está probada.		PENDIENTE-CARGOS-NIVELACION	¿Qué datos de Cancian miden gasto, beneficiarios y riqueza antes/después por familia?	Cancian 1965 Economics and Prestige; lectura-rural-indigena-v1_0.tsv	ASTRA5-MESA-RURAL	Resolver tensión con report rural y no llamar automáticamente nivelador.
LECTURA-916eb783-12	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L37	Gradiente comunidad cerrada/anonimato/digital es modelo de redes; falta estimación mexicana con mismo constructo.		PENDIENTE-REDES-REPUTACION	¿Qué medición de densidad, exposición y sanción compara rural, urbano y digital?	Estudio de redes/comunidades mexicanas por identificar	ASTRA5-MESA-INTERACCION	Mantener hipótesis y acotar segmentos.
LECTURA-916eb783-13	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L39	Síndrome del cangrejo es etiqueta popular; no define pregunta medible ni prevalencia de sabotaje.		PENDIENTE-CANGREJO	¿Qué conducta de sabotaje y mecanismo específico quiere contrastarse con fuente verificable?	Estudio laboral/comunitario mexicano por identificar	ASTRA5-MESA-ESTATUS	No convertir cliché en rasgo nacional.
LECTURA-916eb783-14	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L41	Costo de mostrar éxito y eficacia de compartir crédito/ocultar logros son recomendaciones; ENSU mide objetos por delito, no sanción al éxito.		PENDIENTE-ESTRATEGIA-EXITO	¿Qué experimento/observación mexicana cruza visibilidad, sanción y estrategia por contexto seguro/violento?	Estudios de liderazgo/emprendimiento por registrar; ENSU 2024T1	ASTRA5-MESA-ESTATUS	Separar riesgo criminal, reputación y efecto de intervención.
LECTURA-916eb783-15	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L43	Envidia maliciosa/benigna y transparencia de criterios provienen de literatura organizacional; cambio causal a emulación mexicana no probado.		PENDIENTE-MERECIMIENTO	¿Qué ensayo de transparencia y promoción mide percepción de merecimiento, sabotaje y emulación en México?	Literatura organizacional primaria y réplica mexicana por registrar	ASTRA5-MESA-ESTATUS	No promover recomendación a RESULT.
SANCION-INTERNO-01	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L1-L93	Marco Foster/Wolf/Gershman/Dunbar une etnografía local, modelo formal y encuesta intercultural sin un instrumento mexicano común.		PENDIENTE-INTERNO-SANCION	¿Qué localidad, población, desenlace y nivel de análisis tiene cada fuente?	Foster/Wolf/Gershman/Dunbar; ENVE/ENSU	ASTRA5-U0	Descomponer teoría, observación y extrapolación.
SANCION-INTERNO-02	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L95-L193	Seis patrones amplían mal de ojo, chisme, discreción, funa y redes; la defensa ENSU no mide temor a envidia.		PENDIENTE-INTERNO-SANCION	¿Qué preguntas locales observan creencia, sanción y riesgo material en mismas personas?	INEGI ENSU 2024T1; etnografías y estudios digitales	ASTRA5-MESA-ESTATUS	Deduplicar quince hallazgos y conservar doble función de funa/chisme.
SANCION-INTERNO-03	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L195-L235	Causas, segmentos y analogías asignan fuerza por región, clase y generación sin contrastes representativos; tasa Latinobarómetro/WVS difiere.		PENDIENTE-INTERNO-SANCION	¿Qué diseño permite interacción violencia×comunidad×exposición digital?	Latinobarómetro 2024; WVS 2018; encuesta local por localizar	ASTRA5-U3	Evitar gradientes nacionales asumidos y armonizar confianza.
SANCION-INTERNO-04	corpus/reports/Sanción_Social_Horizontal_en_México__Chisme__Envidia_y_Mal_de_Ojo_como_Mecanismos_de_Nivelación.md:L237-L286	Aplicaciones y recomendaciones de crédito, RH y seguridad tienen umbrales propuestos, no evaluados; dato NZ 18% no se traslada a México.		PENDIENTE-INTERNO-SANCION	¿Qué intervención mexicana mide cambio en envidia/sabotaje sin riesgo de victimización?	Ensayos de incentivos por localizar; fuentes de seguridad INEGI	ASTRA5-U0	Mantener consejos y umbrales como hipótesis.
