id_constancia	intento	ruta	url	http_code	bytes	sha256	estructura	fecha_utc	resultado_intento	nota	lote
AUTOCONSTRUCCION-VIVIENDA_SIN-OLA	1	WEBSEARCH	https://www.inegi.org.mx/contenidos/saladeprensa/boletines/2021/envi/ENVI2020.pdf	200	1945771	ef8098f9f8404c2dd2308f427d0bad0ffabfd415d94de83d02d74b65fd17815b	PDF-OK	2026-09-24T20:30:41Z	EXISTE-NO-SATISFACE	Comunicado INEGI de la Encuesta Nacional de Vivienda (ENVI) 2020 bajado integro: contiene textualmente '57.3% se adquirio por autoconstruccion o autoproduccion' (viviendas propias, dato nacional). No trae corte CDMX; no satisface el requisito de la hoja (autoconstruccion de vivienda en CDMX especificamente).	1
COMMONWEALTH-CIEP_2021	1	CABECERAS-LINUX	https://www.commonwealthfund.org/international-health-policy-center/countries/mexico	200	12853296	ea0d2a61c119c77cfe724774c82a56e23e1d7593b22a7027590c20d1e7915c40	HTML-TITULO:Mexico | Commonwealth Fund	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Pagina pais Mexico del Commonwealth Fund International Health Policy Center, corresponde al perfil 2021 citado por SALMEN-006. La serie de gasto en salud mental del CIEP no fue verificada en este lote (limite de intentos).	2
CONEVAL_2020-2022	1	CABECERAS-LINUX	https://www.coneval.org.mx/Medicion/MP/Paginas/Pobreza_2020.aspx	200	109219	b3d362049b7ece5ee89a98213ced7c42720a2a765bd4af003a3d67a1c67d6476	HTML-TITULO:Medicion de pobreza 2016-2020	2026-09-24T20:19:46Z	EXISTE-SATISFACE	Pagina CONEVAL 'Medicion de pobreza 2016-2020' real, contiene 'Pobreza' y '2020'; corresponde al Anexo Estadistico ESTATAL 2020 ya identificado por sesion previa (2026-09-24). Cubre solo la pieza 2020; el comunicado/tabulado 2022 desagregado por edad 65+ sigue sin documento propio identificado en este intento.	1
CONEVAL_2020-2022	2	API-PORTAL	https://www.datos.gob.mx/api/3/action/package_search?q=CONEVAL+pobreza+2022	000	0		ERROR-CURL	2026-09-24T20:20:21Z	NO-ACCESIBLE	CKAN datos.gob.mx bloquea con Access Denied de Akamai edge (no HTTP real, error de borde), no localiza el comunicado/tabulado CONEVAL 2022 desagregado por edad 65+.	1
CPV_2020	1	CABECERAS-LINUX	https://www.inegi.org.mx/programas/ccpv/2020/	200	5163	98d08c294787502ce58923da38955543d9223cffc2455411d59815183cc09a69	HTML-TITULO:Censo de Poblacion y Vivienda (CPV) 2020	2026-09-24T20:33:57Z	EXISTE-NO-SATISFACE	Portal INEGI CPV2020 real (Dataset JSON-LD valido), pero es un shell de 5163B sin los tabulados de analfabetismo por lengua indigena, religion (Cuestionario Ampliado) ni edad de salida del hogar citados en RURAL-028/PAREJA-016/FAM-005/025/035/RELIG-008/VEJEZ-005/006. En un intento anterior al mismo host el servidor devolvio una pagina 'Challenge Validation' con contenido distinto; el comportamiento del host es intermitente.	2
CSTNRH_2024	1	CABECERAS-LINUX	https://www.inegi.org.mx/temas/tnrh/	200	2938	26591a93aef6c5653a063c71d52e6bd08e48d28f058ee4edba03b88ad5c215ea	HTML-TITULO:Trabajo no Remunerado de los Hogares	2026-09-24T20:13:30Z	EXISTE-NO-SATISFACE	Pagina tema INEGI real (no soft-404), pero es shell SPA (biinegi) sin el boletin de prensa 2024 con 23.9%/20.1% incrustado en el HTML: no contiene la cifra.	1
DEPORTACION-PEW-MPI_2025	1	CABECERAS-LINUX	https://deportationdata.org/	200	75305	f72397665c879aabb135391e7dea1e0abcfd0f5a31f804c95e9443c535ff53ac	HTML-TITULO:Deportation Data Project	2026-09-24T20:33:57Z	EXISTE-NO-SATISFACE	Pagina de inicio real del proyecto (menciona ICE, arrests, criminal); confirma la existencia del Deportation Data Project pero no aisla la tabla especifica de arrestos ICE 2025 por antecedentes penales citada en MIGR-040.	2
DEPORTACION-PEW-MPI_2025	2	WEBSEARCH	https://www.pewresearch.org/wp-content/uploads/sites/20/2025/08/RE_2025.08.21_Unauthorized-Immigrants_REPORT.pdf	200	732861	dbce5b81bc65e8f4dacc98df17f5943242b107861d20e716f4ce4162efd06b2b	PDF-OK	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Informe Pew 'Record 14 Million Unauthorized Immigrants Lived in the US in 2023' (ago 2025). Texto confirma literalmente: 'the unauthorized immigrant population born in Mexico ... about 4.3 million', que coincide con el rango ~4.0-4.3M citado en MIGR-042.	2
DEPORTACION-PEW-MPI_2025	3	CABECERAS-LINUX	https://www.migrationpolicy.org/programs/us-immigration-policy-program-data-hub/unauthorized-immigrant-population-profiles	200	1370556	f21c0fca47764f3bf5ae08070faec22f2b5f3a58d4674458e6b6491c8c842269	HTML-TITULO:Unauthorized Immigrant Population Profiles | Migration Policy Institute	2026-09-24T20:33:57Z	EXISTE-SATISFACE	Perfil MPI real, con series por pais de origen y anio para Mexico (valor maximo hallado por extraccion automatica: 5,530,000). Documento y fuente correctos; la cifra puntual ~5.1M citada por el report no se aislo por anio exacto con el grep automatizado.	2
DOC-ASTRA5-U0-APUEST-007	1	OPENALEX	https://api.openalex.org/works?filter=title.search:from%20pawn%20shops%20to%20banks	200	1744		JSON-OK	2026-09-24T20:16:49Z	EXISTE-SATISFACE	OpenAlex confirma World Bank Policy Research Working Paper 6634 (Ruiz 2013) W2734043249, DOI 10.1596/1813-9450-6634, OA cc-by, landing en openknowledge.worldbank.org/handle/10986/16851.	1
