consumidor	pr	rama	sha_rama	estado_pr	estado_main	result_id	calc_id	hash_referido	tipo_hash	alcance_contrato_u0
ASTRA5-U1	1087	codex/astra5-trabajo-enoe-1	c8d524e27ae8d315ae39ebb39e587b5660034460	MERGED	INTEGRADO_MAIN_76b0e56bb626f3448dbaa3c84226d8111a3b18fa	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	3b916aacd14b5bc2c027485dae82dae5d1d68408c3a754b5aa39c99bc9398b8c	sello_sha256	ENOE 2024T3: empleo_informal; sin_contrato_escrito; jornada_mas_50_horas; comparar unidad/denominador antes de atribuir contraste
ASTRA5-U4	1085	codex/astra5-tecnologia-1	4eef38ba17b108310d0a7474efd72e79dec48f93	MERGED	INTEGRADO_MAIN_579462b33914c91094b66637233063583331e825	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	4c0a3b05b6ecef3e9d7e760163cc6a6691ceaf384fa522e620bbe9b663088c25	resultados_sha256	ENDUTIH 2024: P7_1 internet persona 6+; P7_2 categorías 1/3/4 solo no usuarios; P7_2=2 no incluido en CALC; no extrapolar motivo a población total
ASTRA5-U3	1084	codex/astra5-politica-1	8ac0f7a7397a9161bd6b686c72ea32ee0030139a	OPEN	AUSENTE_EN_MAIN	RESULT-INE-PISOS-2024-TABLA	CALC-INE-PISOS-2024-0001	5d5e0ce5bef544457e4c49f34a92b08672c692bf20b83f932b6db44a6da068ca	resultados_sha256	Conteo electoral 2024: marca de voto sobre lista nominal; no equivale a voto presidencial
ASTRA5-U3	1084	codex/astra5-politica-1	8ac0f7a7397a9161bd6b686c72ea32ee0030139a	OPEN	AUSENTE_EN_MAIN	RESULT-ENCUP-PISOS-2012-TABLA	CALC-ENCUP-PISOS-2012-0003	417560d3947963b842e7569cbec23028069fa0bf0129324216a9f673fe6a64e2	resultados_sha256	ENCUP 2012: distribuciones sin peso ni diseño; no inferencia nacional
ASTRA5-U3	1084	codex/astra5-politica-1	8ac0f7a7397a9161bd6b686c72ea32ee0030139a	OPEN	AUSENTE_EN_MAIN	RESULT-LAPOP-PISOS-2019-TABLA	CALC-LAPOP-PISOS-2019-0001	40ecdc8e1f0b2228d357aea0b0284bcf18d97eddc8058831cfd95f4c78008f1f	resultados_sha256	LAPOP 2018-19: CLIEN1NA oferta declarada y B18 confianza policial; no equivale a LAPOP 2023 B18/B21
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-PF-TABLA	CALC-ENDIREH-PISOS-2021-PAREJA-FISICA-0004	2924630885c0577d76bb039a02d6ce039f09ecdd19c9a679aaae0d97df06c067	resultados_sha256	2021 A1/A2 P14_1_1..9, pareja actual física desde relación: subcomponente GEN-001; no 34.7% físico global ni 70.1% cualquier violencia.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-PF-BC-TABLA	CALC-ENDIREH-PISOS-2021-PAREJA-FISICA-BC-0001	51af312d94b053998bd12095d0444fc750da0c81260db12b55aec2b6970037a1	resultados_sha256	2021 B1/B2 ex pareja y C1 noviazgo/última pareja, P14_1_1..9 por grupo: NO mismo universo que A1/A2; no sumar porcentajes ni cerrar 70.1%.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-AYU-TABLA	CALC-ENDIREH-PISOS-2021-AYUDA-0001	e821610a086652ba71f95c9a320f03a377fce1db7e7ec83142148cdec3d4da61	resultados_sha256	2021 A1/A2 afectadas desde relación actual, unión 38 P14_1 y ayuda/denuncia/razones P14_7/P14_8/P14_22: condicional, no prevalencia global GEN-001.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-DEC-TABLA	CALC-ENDIREH-PISOS-2021-DECISIONES-0001	4f1e7e2cd1775b264b559f51ad4787d3daf3659a8c4ccbe04734be63e562ae94	resultados_sha256	2021 A1/A2 P4_11/P15_1AB_3/_7, decisión/control del dinero en pareja actual: ítems separados; no violencia global ni efecto causal.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-COM-TABLA	CALC-ENDIREH-PISOS-2021-COMUNITARIA-0001	443417ff6f80128f80756919e62d53757001bc0be55a51f0e063306bd61044e7	resultados_sha256	2021 P9_1/P9_3 actos comunitarios vida/des octubre 2020, todas entrevistadas A/B/C: ámbito propio, no sustituye agregado 70.1%.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-FAM-TABLA	CALC-ENDIREH-PISOS-2021-FAMILIAR-0001	6806febd86451de569944ee99a4e0a9f43278ab40bc56575e3057cfe562b60d7	resultados_sha256	2021 P11_1 actos familiares desde octubre 2020, todas A/B/C: sin ventana de vida comparable al agregado 70.1%.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-ESC-TABLA	CALC-ENDIREH-PISOS-2021-ESCOLAR-0001	16bda30b84b25a621cd51f3a6d5ae9583148ccb4aae93deff60646037910a4fa	resultados_sha256	2021 P7_6/P7_8, asistentes alguna vez y recientes desde octubre 2020, universos distintos: ámbito propio.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2021-LAB-TABLA	CALC-ENDIREH-PISOS-2021-LABORAL-0001	16732c7b6c5cae762ba44d089a84d75745f6e3d4d17df6b1f8aae6a204bc435c	resultados_sha256	2021 P8_9/P8_11, trabajadoras alguna vez/recientes, actos interpersonales; no discriminación P8_3 ni agregado 70.1%.
ASTRA5-U2	1093	codex/astra5-genero-endireh-1	6797ada376efef5bcf9fbcc469641045c0a21f2b	MERGED	ARCHIVO_MAIN_8721d65859fb7e05382a4309e81969b98f6db349;SELLADA_EN_DISCO_NO_REGISTRADA_PUBLICACION	RESULT-ENDIREH2016-PF-TABLA	CALC-ENDIREH-PISOS-2016-PAREJA-FISICA-0002	c696269b9b90200cc71a6056102475eb4f7ea688e0ec0a4985ecd1089bcaf97a	resultados_sha256	2016 A1/A2, pareja actual física desde relación y desde octubre 2015: otra ola, reactivos/ventana propios, no homologar con 2021 por nombre.
