id_afirmacion	intento	ruta	url	http_code	bytes	sha256	estructura	fecha_utc	resultado_intento	nota	lote
ASTRA5-U0-APUEST-038	c3-1	NAVEGADOR-HEADLESS	https://www.gob.mx/cofepris/acciones-y-programas/resoluciones-y-sanciones	2xx-DOM	107500	b74b07d6608a2855bc1bbd9c5cf1d13f06b5212014a4670d1c8ddaa641154641	HTML-TITULO:Resoluciones y sanciones | Comisión Federal para la Protección contra Riesgos Sa	2026-09-24T20:49:31Z	NO-ENCONTRADO	índice real de COFEPRIS «Resoluciones y sanciones» (53 PDF, 2012-2026); los 52 PDF válidos se examinaron por texto (pdftotext): ninguno nombra a Laboratorios Imperiales Pharma ni BCG (única coincidencia «Imperial»: Hotel Imperial Colón, 2014); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-APUEST-038	c3-2	NAVEGADOR-HEADLESS	https://directoriosancionados.apps.funcionpublica.gob.mx/	DOM	190407		ERROR-RED:ERR_NAME_NOT_RESOLVED	2026-09-24T20:49:01Z	NO-ACCESIBLE	el navegador real no llega: ERROR-RED:ERR_NAME_NOT_RESOLVED; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-APUEST-046	c3-1	NAVEGADOR-HEADLESS	https://www.gob.mx/salud/articulos/conoce-susana-distancia	2xx-DOM	23265	6a7f738dc8871a9a039f11e4c5f63959eab21dfa10fd8f8a4cb9f6d35c1603fa	HTML-TITULO:Secretaría de Salud	2026-09-24T20:49:32Z	NO-ENCONTRADO	la URL candidata renderiza la portada genérica de la Secretaría de Salud, no el comunicado; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-APUEST-046	c3-2	NAVEGADOR-HEADLESS	https://www.gob.mx/salud/es/articulos/susana-distancia-medidas-de-prevencion	2xx-DOM	23265	aa67d0081ca71869ef2942b7a12edd9251f7b1829b730f808639a630472dc5d2	HTML-TITULO:Secretaría de Salud	2026-09-24T20:49:34Z	NO-ENCONTRADO	la URL candidata renderiza la portada genérica de la Secretaría de Salud, no el comunicado; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-FAM-010	c3-1	NAVEGADOR-HEADLESS	https://www.dof.gob.mx/	DOM	8840		VACIO	2026-09-24T20:49:21Z	NO-ACCESIBLE	el navegador real tampoco pasa: VACIO («»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-FAM-010	c3-2	NAVEGADOR-HEADLESS	http://gaceta.diputados.gob.mx/	2xx-DOM	723	5f354a2ce6a0af9969fde5a9c637157333f71556962079bda1770996afdb6f25	HTML-TITULO:Gaceta Parlamentaria, Cámara de Diputados	2026-09-24T20:48:28Z	NO-ENCONTRADO	portada de la Gaceta Parlamentaria; el registro de la Ley General de Cuidados no se ubicó desde ella; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-FAM-038	c3-1	NAVEGADOR-HEADLESS	https://www.unicef.org/mexico/comunicados-prensa	DOM	28845		RETO	2026-09-24T20:50:03Z	NO-ACCESIBLE	el navegador real tampoco pasa: RETO («Un momento…»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-GEN-016	c3-1	NAVEGADOR-HEADLESS	https://www.gob.mx/busqueda?utf8=%E2%9C%93&site_search=&keyword=legislaci%C3%B3n+penal+32+entidades	2xx-DOM	86355	c9155b9322df58240ac75024b9e70a3434bb1e9f6b6c1934387bf46581eb423a	HTML-TITULO:Portal Gob MX	2026-09-24T20:49:28Z	NO-ENCONTRADO	búsqueda de gob.mx renderizada; no devuelve un documento de legislación penal de 32 entidades; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-HUM-027	c3-1	NAVEGADOR-HEADLESS	https://www.dgis.salud.gob.mx/	DOM	129429		RETO	2026-09-24T20:49:19Z	NO-ACCESIBLE	el navegador real tampoco pasa: RETO («Error de privacidad»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-SALUD-011	c3-1	NAVEGADOR-HEADLESS	http://www.imss.gob.mx/conoce-al-imss/informes-memorias	DOM	133466		RETO	2026-09-24T20:48:33Z	NO-ACCESIBLE	el navegador real tampoco pasa: RETO («Sitio Web 'Acercando el IMSS al Ciudadano'»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-SALUD-021	c3-1	NAVEGADOR-HEADLESS	https://search.scielo.org/?q=salud+mexicanos+atencion+medica+grave&lang=es	DOM	2238		RETO	2026-09-24T20:49:14Z	NO-ACCESIBLE	el navegador real tampoco pasa: RETO («Establishing a secure connection ...»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-TRAB-028	c3-1	NAVEGADOR-HEADLESS	http://estadistica.inmujeres.gob.mx/formas/panorama_general.php?menu1=8&IDTema=8&pag=1	DOM	187052		ERROR-RED:ERR_EMPTY_RESPONSE	2026-09-24T20:48:25Z	NO-ACCESIBLE	el navegador real no llega: ERROR-RED:ERR_EMPTY_RESPONSE; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-VEJEZ-033	c3-1	NAVEGADOR-HEADLESS	https://www.saludcasaporcasa.cdmx.gob.mx/	DOM	190295		ERROR-RED:ERR_NAME_NOT_RESOLVED	2026-09-24T20:50:00Z	NO-ENCONTRADO	el navegador real no llega: ERROR-RED:ERR_NAME_NOT_RESOLVED; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-VEJEZ-033	c3-2	NAVEGADOR-HEADLESS	https://www.gob.mx/bienestar/documentos/programa-salud-casa-por-casa-391815	2xx-DOM	99025	0bf03f1e74ff20d9295bf878cbccd36050b3a5bcd7689e1f377340f58a0ee5cf	HTML-TITULO:Programa Salud Casa por Casa | Secretaría de Bienestar | Gobierno | gob.mx	2026-09-24T20:49:24Z	EXISTE-NO-SATISFACE	página oficial del Programa Salud Casa por Casa (Bienestar, federal); las piezas estatales/municipales citadas no están en ella; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-VEJEZ-034	c3-1	NAVEGADOR-HEADLESS	https://ilostat.ilo.org/data/country-profiles/	DOM	28815		RETO	2026-09-24T20:49:04Z	NO-ACCESIBLE	el navegador real tampoco pasa: RETO («Un momento…»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-AUTOR-023	c3-1	NAVEGADOR-HEADLESS	https://imco.org.mx/barometro-de-la-corrupcion-de-america-latina-2019-via-transparencia-internacional/	2xx-DOM	85573	01bf54021de01c860d633dc7cc643d0a6b9609a4501b86b8cd613d084d027962	HTML-TITULO:Barómetro de la Corrupción de América Latina 2019 vía Transparencia Internaciona	2026-09-24T20:49:08Z	EXISTE-NO-SATISFACE	nota real del IMCO sobre el Barómetro Global de la Corrupción 2019 (TI); el texto renderizado no contiene la cifra 27%; tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
ASTRA5-U0-TRAB-041	c3-1	NAVEGADOR-HEADLESS	https://occ.com.mx	DOM	28702		RETO	2026-09-24T20:49:11Z	NO-ACCESIBLE	el navegador real tampoco pasa: RETO («Un momento…»); tools/renderiza_pagina.py (Chrome de Windows headless; el código HTTP no lo expone --dump-dom)	caja3
