id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-d6710e19-01	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L9	Cuatro clases de ahorro contratadas; tenencia de cuenta 63.0% no equivale a ahorro en cuenta	ASTRA5-U0-FIN-001	MIXTA-SEGUNDO-ESTIMANDO	¿Qué definición oficial de «cuenta de ahorro formal» produce 63.0% y a qué P5_4 corresponde?	enif2024_cuestionario_pdf §5 P5_4/P5_6;enif2024_fd_xlsx TMODULO	ASTRA5-MESA-DINERO	Cotejar 63.0 con indicador oficial de tenencia; no añadirlo a las cuatro clases de ahorro efectivo.
LECTURA-d6710e19-02	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L11	Participación en tanda contratada; 22% y 32% tienen bases distintas; infraestructura/causa no medidas	ASTRA5-U0-FIN-002	MIXTA-CIFRA-CONTRATADA-INTERPRETACION-PENDIENTE	¿Qué base usa cada porcentaje y qué evidencia mide función de liquidez/seguro de la tanda?	enif2024_cuestionario_pdf P5_1_5;enif2024_fd_xlsx TMODULO; estudio funcional de ROSCA por identificar	ASTRA5-MESA-DINERO	Reconstruir ambos denominadores y no trasladar la universalidad comparada a causalidad mexicana.
LECTURA-d6710e19-03	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L13	Informalidad ENOE como contexto y colchón de emergencia ENIF; volatilidad y «óptimo» no observados	ASTRA5-U0-ENOE-001	MIXTA-OTRO-REACTIVO-PENDIENTE	¿Qué reactivo ENIF 2024 pregunta capacidad de cubrir un mes de ingreso ante emergencia y con qué base se obtiene ~43%?	enif2024_cuestionario_pdf §4/P4_10 por cotejar;enif2024_fd_xlsx;enoe_2024_3t_csv	ASTRA5-MESA-DINERO	Leer P4_10 y regla oficial de monto/plazo; separar asociación entre informalidad y capacidad de respuesta de juicio de racionalidad causal.
LECTURA-d6710e19-04	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L15	Motivo declarado «desconfianza o mal servicio» contratado; memoria 1982/1987/1994 no está en ese reactivo	ASTRA5-U0-FIN-007	MIXTA-MOTIVO-CONTRATADO-HISTORIA-PENDIENTE	¿Existe pregunta de experiencia/memoria de crisis bancaria individual vinculable a P5_20?	enif2024_cuestionario_pdf P5_20; Banxico Informe Anual 1987 citado en report; instrumento de memoria histórica por identificar	ASTRA5-MESA-DINERO	Usar P5_20 sólo para no tenedores; revisar fuentes históricas separadas y no atribuir mecanismo de memoria a todos.
LECTURA-d6710e19-05	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L17	Confianza radial hacia conocidos/instituciones mezcla preguntas y universos; cifras ENAFI/ENCIG no son contraste causal de tandas		PENDIENTE-DOS-INSTRUMENTOS	¿Qué preguntas ENAFI producen ~22% de confianza interpersonal y qué preguntas ENCIG miden confianza institucional por actor?	ENAFI cuestionario/dato y ENCIG cuestionario/dato con ids específicos por cotejar en manifiesto; comparativo 56 países por identificar	ASTRA5-MESA-DINERO	Identificar reactivos y universos; no unir una media interpersonal con una conducta financiera como si fueran los mismos individuos.
LECTURA-d6710e19-06	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L19	Tasas/CAT de crédito popular describen precio; «bajo ingreso no equivale a baja disposición a pagar» requiere mora y selección		PENDIENTE-ESTIMANDO-PAGO	¿Qué cartera auditada mide cumplimiento por ingreso controlando garantías, cobranza, selección y precio?	Nacional Monte de Piedad y BanCoppel tarifarios citados en report; forense Crédito Popular L9 y compass-4 L12 como complemento	ASTRA5-MESA-DINERO	Reutilizar forense y complemento con un solo concepto CRPOP-PAGO; no usar tasa cobrada como disposición a pagar ni inferir pago voluntario puro.
LECTURA-d6710e19-07	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L21	Deuda como suavización/inversión frente a trampa de sobreendeudamiento es clasificación funcional, no un solo porcentaje		PENDIENTE-USO-Y-RESULTADO	¿Qué pregunta identifica destino de crédito, y qué panel/registro observa trayectoria de deuda y daño posterior en misma unidad?	enif2024_cuestionario_pdf §6 destino/uso por cotejar; forense Crédito Fácil y Sobreendeudamiento; registro longitudinal por identificar	ASTRA5-MESA-DINERO	Separar tipo de crédito, propósito y desenlace; no inferir trampa de tenencia transversal.
LECTURA-d6710e19-08	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L23	Cuenta por app no bancaria contratada; series corporativas Nu/Spin y «reconfiguración» quedan separadas	ASTRA5-U0-FIN-008	MIXTA-REACTIVO-CONTRATADO-SERIE-PENDIENTE	¿Qué fuente corporativa define clientes vs activos Nu/Spin, fecha y denominador adulto comparable?	enif2024_cuestionario_pdf P5_4_8; reportes Nu 3T2025/Impacto Nu 2025; Digital FEMSA 2025 por cotejar	ASTRA5-MESA-DINERO	Usar ENIF por edad/tenencia sin atribuir marca; armonizar cuentas activas/clientes y fechas antes de hablar de velocidad o inclusión previa.
LECTURA-d6710e19-09	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L25	Brechas de cuenta y afore por sexo contratadas; causa «estructural» requiere otro diseño	ASTRA5-U0-FIN-003	MIXTA-CIFRAS-CONTRATADAS-MECANISMO-PENDIENTE	¿La primera cifra es cualquier cuenta o sólo ahorro P5_4_4, y qué variables de ingreso/ocupación explican la brecha sin atribución causal automática?	enif2024_cuestionario_pdf P5_4/P9_1;enif2024_fd_xlsx	ASTRA5-MESA-DINERO	Fijar definición oficial del 68.0/58.6 y desagregar descriptivamente; no usar diferencia cruda como efecto causal de género.
LECTURA-d6710e19-10	corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md:L27	Afore/aportación y expectativas de vejez ya contratadas como dos estimandos	ASTRA5-U0-FIN-004;ASTRA5-U0-FIN-006	MIXTA-DOS-CIFRAS-CONTRATADAS	¿Qué medidor distingue expectativa de recibir apoyo/trabajar de ingreso efectivo en vejez?	enif2024_cuestionario_pdf P9_1/P9_3/P9_9;enif2024_fd_xlsx	ASTRA5-MESA-DINERO	Conservar base condicionada de 7.9 y respuestas múltiples de P9_9; no traducir expectativa a cobertura futura.
