id_afirmacion	estado_result	result_ids	calc_ids	pr_commit_fecha	fecha_o_razon	propietario
ASTRA5-U0-ENOE-001	EN-MEDICIÓN	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	#1087 76b0e56b 2026-09-23	CONFIRMA-MAYORIA-TRIMESTRAL: empleo informal 2024T3 54.64% [54.17–55.09] n=193 623; no reproduce 55.7% anual; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U1
ASTRA5-U0-ENOE-002	EN-MEDICIÓN	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	#1087 76b0e56b 2026-09-23	mide el componente contratado (subordinados sin contrato escrito, TIP_CON 41.49%, n=134 250); sin contraste directo con «más de la mitad sin contrato formal» del report; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U1
ASTRA5-U0-ENOE-003	EN-MEDICIÓN	RESULT-ENOE-PISOS-TABLA	CALC-ENOE-PISOS-0003	#1087 76b0e56b 2026-09-23	MATIZA-COMPONENTE-SEMANAL: >50 h 22.09% trimestral frente a 28.7% sin fecha comparable; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U1
ASTRA5-U0-TEC-001	EN-MEDICIÓN	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	#1085 579462b3 2026-09-23	CONFIRMA-USO: P7_1=1 persona 6+ 83.12% [82.66–83.59] n=58 080; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U4
ASTRA5-U0-TEC-005	EN-MEDICIÓN	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	#1085 579462b3 2026-09-23	MIDE-MOTIVO-INTERES: P7_2=3 entre no usuarios 6+ 16.55% (n=10 840); sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U4
ASTRA5-U0-TEC-006	EN-MEDICIÓN	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	#1085 579462b3 2026-09-23	MIDE-MOTIVO-RECURSOS: P7_2=4 entre no usuarios 6+ 10.77%; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U4
ASTRA5-U0-TEC-007	EN-MEDICIÓN	RESULT-ENDUTIH-PISOS-2024-TABLA	CALC-ENDUTIH-PISOS-2024-0001	#1085 579462b3 2026-09-23	MIDE-MOTIVO-ACCESO: P7_2=1 entre no usuarios 6+ 9.29%; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U4
ASTRA5-U0-GEN-001	EN-MEDICIÓN	RESULT-ENDIREH2021-PF-TABLA	CALC-ENDIREH-PISOS-2021-PAREJA-FISICA-0004	#1093 8721d658 2026-09-23	mide el componente contratado (física de pareja actual A1/A2 desde el inicio de la relación, mujeres 15+ unidas, 15.60% [15.20–15.99] n=68 540); sin contraste directo con 34.7% físico global ni 70.1% agregado; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U2
ASTRA5-U0-POL-001	EN-MEDICIÓN	RESULT-LAPOP-PISOS-2023-POL001	CALC-LAPOP-PISOS-2023-0001	#1098 d2fa8efd 2026-09-24	b18 policía 6–7/7 14.0% [11.9–16.2] n=1 618; b21 partidos 11.2% [9.5–13.0] n=1 613; sin contraste de la jerarquía completa; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U3
ASTRA5-U0-INTER-036	EN-MEDICIÓN	RESULT-LAPOP-PISOS-2004-TABLA;RESULT-LAPOP-PISOS-2006-TABLA;RESULT-LAPOP-PISOS-2019-COMPLEMENTO-TABLA;RESULT-LAPOP-PISOS-2021-TABLA;RESULT-LAPOP-PISOS-2023-POL001	CALC-LAPOP-PISOS-2004-0002;CALC-LAPOP-PISOS-2006-0001;CALC-LAPOP-PISOS-2019-0002;CALC-LAPOP-PISOS-2021-0001;CALC-LAPOP-PISOS-2023-0001	#1098 d2fa8efd 2026-09-24	ROMPE la cifra del report: b21 confianza alta en partidos por ola 14.5%/14.6%/10.9%/11.8%/11.2% (2004–2023); no existe ola 2010 en el corpus ni un 24% o 9.5% en la serie sellada; sellada en disco en main, sin fila en data/corrida0/resultados.tsv (E.7: «sellada en disco, no registrada»); el registro corre por el canal de derivados de main	ASTRA5-U3
ASTRA5-U0-TEC-002	SIN-RESULT				el CALC ENDUTIH 2024 no mide P7_2=2 «no sabe usarlo»: RESULT de otro componente, sin contraste directo	ASTRA5-U4
ASTRA5-U0-TEC-003	SIN-RESULT				el CALC ENDUTIH 2024 corta por TLOC, no por DOMINIO urbano/rural: RESULT de otro componente, sin contraste directo	ASTRA5-U4
