id_afirmacion	procedencia_evidencia	dominio	busqueda_a13	procedencias_minimas	falsador
ASTRA5-U0-AUTOR-001	(a) primaria México	AUTORIDAD	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:autoridad:L15, hallazgo 4; §8 Para política y comportamiento cívico; §	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-AUTOR-002	(a) primaria México	AUTORIDAD	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:autoridad:L15, hallazgo 4; §8 Para política y comportamiento cívico; §	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-AUTOR-003	(a) primaria México	AUTORIDAD	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:autoridad:L19, hallazgo 6; §3 evidencia fuerte; §módulo Desconfianza ≠	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-AUTOR-004	(a) primaria México	AUTORIDAD	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:autoridad:L11, hallazgo 2; §3 evidencia fuerte; §4 respeto ritual	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de World Values Survey ola 7, México 2018 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-CAPSOC-001	(a) primaria México	CAPITAL_SOCIAL	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:capital-social:L14, hallazgo 3; L47 y L96	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENSAFI 2023 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-CAPSOC-002	(a) primaria México	CAPITAL_SOCIAL	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:capital-social:L12, hallazgo 2; L32	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-CAPSOC-003	(a) primaria México	CAPITAL_SOCIAL	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:capital-social:L12, hallazgo 2; L32	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-CAPSOC-004	(a) primaria México	CAPITAL_SOCIAL	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:capital-social:L10, hallazgo 1; L53,L57	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-CAPSOC-005	(a) primaria México	CAPITAL_SOCIAL	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:capital-social:L10, hallazgo 1; L53,L57	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
ASTRA5-U0-CAPSOC-006	(a) primaria México	CAPITAL_SOCIAL	Lectura documental de la sesión Codex del 23/sep (fuente primaria leída y hasheada; ver estado-u0-2026-09-23.md y hoja-adquisicion.md); sin registro de búsqueda por fila	LOC:capital-social:L10, hallazgo 1; L53,L57	Cambiaría si un RESULT GEN2 que reproduzca el mismo reactivo, código, universo y ola de ENCUCI 2020 cae fuera del valor publicado más su IC de diseño, o si el denominador real difiere del contratado.
