ruta	sha256_recalculado	dominio_primario	consumidor	rol
corpus/reports/Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	d47463c20b6ca69c5afbe49e2b69295c75c414f7c974c405b7987c880ff4d74b	TECNOLOGIA	U4	tematico
corpus/reports/Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	36eaeb28928c071d8d8b827d62a77ed4cf8f08407c4fa251f1ddc3de15c20879	DUELO	MESA	tematico
corpus/reports/Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	2f7b4f0340924aebd7a943f9df5c06c88f9983e6a01e9ae1d16a1360b4e5441c	AUTORIDAD	U3	tematico
corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md	d6710e1956c13df90af4accd80c4d20c5740d54962164b66264b1f2a234aa8f7	DINERO	MESA	tematico
corpus/reports/Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	6da09e39cbc7b27c3ea4dfebf021e2816fa27167174cdd578eebbb6f7308da54	CONFIANZA	U3	tematico
corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md	4482e7e0c8a87d4ca3d7e3313f49a83d1931373729f48c3274f817ac0b0211e9	MOVILIDAD	MESA	tematico
corpus/reports/El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	6b7fe5aadece46974cf7f71110f168e93c49a81c59326299a85b8297337f890d	VIOLENCIA	U2	tematico
corpus/reports/El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	112051b24e5f948f3be0aac62f1ecb476ec101d8d59acfa04daef0264e1b1bb8	TIEMPO	U1	tematico_transversal
corpus/reports/El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	546e89ccc00ee6198c8f87594053cd34d395e5e33a39a14ed9f416b57a643472	RURAL_INDIGENA	MESA	tematico
corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	b27f1923c57e16c1bd4fa49760e09e417c72f558b448f21b8451d49569cccfb3	PAREJA	U2	tematico
corpus/reports/Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	c42009a36fb8acd6e96ef22fd27393bd6f04f5bd93ac0c8bd10197101a95d872	GENETICA	MESA	tematico_firewall
corpus/reports/Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	bbdb2e2379ec2384157ae720c11cba50e9ab187b60d858c359ee118070a8ba85	SALUD	MESA	tematico
corpus/reports/Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	57ec2d1791bf3326c031001931ec60711133617bb7ae8a6c133cfbe7efc1dbd6	HUMOR	MESA	tematico
corpus/reports/La_arquitectura_invisible_de_la_interacción_social_en_México.md	612e931c0baa104be6f0c01246a8857ebb2dfde0cefa973c9b9258071bd5d357	INTERACCION	MESA	tematico
corpus/reports/La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	188f152fdc415101316cac041a28102c753cc6b3757f42f3bab8f336fe629407	FAMILIA_CUIDADOS	U2	tematico
