id_lectura	archivo_fuente_linea	componente_y_limite	concepto_deduplicado	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-76a7b8ac-01	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L15	Ausencia en Drive era condición histórica del autor; tres reports citados sí existen hoy en corpus, glosario exacto no localizado; perfiles/G2 no pueden darse por validados a partir de reconstrucción	ASP-PASO0	CORRECCION-ALCANCE	¿Qué definiciones verbatim de perfiles 2/3, G2 y reglas SI-ENTONCES están en los tres reports locales y dónde está glosario-corregido-v2?	corpus/reports/Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md;corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md;corpus/reports/Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md;glosario-corregido-v2 por localizar	ASTRA5-MESA-DINERO	Leer texto local y localizar glosario; mantener veredicto del forense como hipótesis condicionada.
LECTURA-76a7b8ac-02	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L19	Premiumización de cerveza: Heineken 2025 auditado es global, no volumen premium México; 38% México 2018-19 es autodeclaración Modelo; tequila Becle mezcla volumen, ventas y utilidad; estatus no aislado	ASP-BEBIDAS-PREMIUM	MIXTA-GEOGRAFIA-METRICA	¿Qué reporte de emisor desglosa volumen premium México por marca/año y separa precio, mezcla y exportación?	Heineken N.V. Full Year Results 2025; Becle BMV 3T2019/3T2022/3T2025; Grupo Modelo 2018-19 declaración por cotejar	ASTRA5-MESA-DINERO	Reconstruir series auditadas por geografía y métrica; no imputar driver de estatus desde crecimiento de marca.
LECTURA-76a7b8ac-03	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L20	Resumen agrupa contracción de Starbucks/Liverpool/Palacio, pero caso 2 reporta Palacio ingresos +4.2% 1T2026; ventas a mismas tiendas, ingresos y utilidad difieren	ASP-RETAIL-CICLO	CORRECCION-AGREGADO	¿Qué cifras auditadas por empresa, formato, trimestre y misma métrica prueban desaceleración o contracción?	Alsea BMV 2T2026 cafeterías; El Puerto de Liverpool BMV 1T2026; Grupo Palacio de Hierro BMV 1T2026	ASTRA5-MESA-DINERO	Cotejar estados de emisor y conservar divergencia; no inferir blindaje o falta de blindaje causal de tres series distintas.
LECTURA-76a7b8ac-04	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L21	Costco/Sam's no es par controlado y Walmex no desglosa Sam's auditado; iPhone a 24 meses es oferta, no prueba contrafactual de compra sin crédito	ASP-CREDITO-MEMBRESIA	MIXTA-CAUSALIDAD-PENDIENTE	¿Qué datos por formato y diseño de elegibilidad/financiamiento permiten atribuir compra a membresía o mensualidades?	Costco FY2024/FY2025 México; Walmex BMV 2024/2025 consolidado; Telcel/AT&T términos MSI; AppsFlyer/Omdia cuotas por cotejar	ASTRA5-MESA-DINERO	Separar disponibilidad de crédito, aceptación y venta; no llamar experimento al contraste entre empresas.
ASP-CASO-01	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L38	Starbucks/Alsea: VMT cafeterías −2% 2T2026 y cuentas de unidades/órdenes tienen distintas bases; estatus inferido retrospectivamente	ASP-RETAIL-CICLO	PENDIENTE-EMISOR	¿Qué línea de Alsea BMV 2T2026 da VMT cafeterías México y qué tiendas comparables forman la base?	Alsea reporte BMV 2T2026 y comunicado de resultados por cotejar	ASTRA5-MESA-DINERO	Cotejar emisor y periodo, separar cambio de demanda de mecanismo de estatus.
ASP-CASO-02	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L46	Liverpool VMT −2.5% y Palacio ingresos +4.2% 1T2026 no son misma métrica; diferencia no aísla clase/ingreso ni ejecución	ASP-RETAIL-CICLO	PENDIENTE-PAR-COMPARABLE	¿Qué VMT por formato y exposición a crédito/promoción de ambas emisoras son comparables en 1T2026?	Liverpool y Grupo Palacio BMV 1T2026 estados y notas por cotejar	ASTRA5-MESA-DINERO	Armonizar VMT/ingresos y no llamar contrafactual interno a dos emisoras con clientelas/exposición distintas.
ASP-CASO-03	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L53	Miniso México unidades autodeclaradas, crecimiento +21.1% global y meta 230 no prueban ingresos mexicanos ni motivo aspiracional	ASP-FORMATOS-PRIVADOS	PENDIENTE-DESGLOSE-MEXICO	¿Qué filing MINISO desglose México 2025 y qué fuente verifica 223 tiendas observadas frente a meta?	MINISO NYSE 1S2025 y comunicado local oct-2025 por cotejar	ASTRA5-MESA-DINERO	Separar realizado/meta/global/México y dejar driver inferido.
ASP-CASO-04	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L61	Ikea México ventas 182M€ FY2025 y +71% local son autodeclaradas por privado; precio declarado no identifica ausencia de señalización de diseño	ASP-FORMATOS-PRIVADOS	PENDIENTE-IKANO	¿Qué reporte Ikano 2025 define ingresos México y Guadalajara, y qué encuesta de compradores distingue precio, diseño y estatus?	Ikano Retail FY2025 comunicado; encuesta de compradores por identificar	ASTRA5-MESA-DINERO	Conservar clase autodeclarada y no dictaminar mecanismo psicológico desde estrategia comercial.
ASP-CASO-05	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L69	Heineken global +2.7% marca/−1.2% total no es segmento premium México; 38% 2018-19 Modelo es autodeclarado	ASP-BEBIDAS-PREMIUM	PENDIENTE-GEOGRAFIA	¿Qué desglose de México separa volumen premium de volumen total y precio por hectolitro?	Heineken N.V. Full Year Results 2025; Grupo Modelo declaración 2018-19 por cotejar	ASTRA5-MESA-DINERO	Evitar que una serie global valide conducta mexicana; buscar volumen doméstico.
ASP-CASO-06	corpus/forense/Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md:L76	Becle ventas México, utilidad consolidada y volumen/exportación se mezclan entre 2019/2022/2025; utilidades no miden estatus	ASP-BEBIDAS-PREMIUM	PENDIENTE-BECLE	¿Qué tablas BMV por geografía/categoría separan precio, volumen y tipo de tequila cada trimestre?	Becle BMV 3T2019/3T2022/3T2025 por cotejar	ASTRA5-MESA-DINERO	Reconstruir crecimiento de premium México y no atribuir utilidad a preferencia psicológica.
