id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-b27f1923-01	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L5	Edad al matrimonio EMAT 2022, tasa 2014/2023 y estado conyugal ENOE 2023T3 son serie de eventos y stock de personas; «desinstitucionalización» es interpretación.		PENDIENTE-NUPCIALIDAD	¿Qué tabulados EMAT/ENOE, edad, denominador 18+/15+ y comparabilidad por año sustentan 34.1/31.3, 7.2/5.6 y 17.8%?	INEGI EMAT 2022/2023 y ENOE 2023T3 estado conyugal por registrar	ASTRA5-MESA-PAREJA	Separar edad media de casados, tasa de bodas y prevalencia de unión.
LECTURA-b27f1923-02	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L7	Cohabitación tradicional/moderna son tipologías históricas; no se identifican por estado conyugal simple ni tasa de separación.		PENDIENTE-DOBLE-RAIZ	¿Qué estudio, cohorte, región y variables de motivación distinguen ambos tipos; qué universo ENADID 2018 produce razón de separación 3.4?	Quilodrán/Pérez Amador/De Vos; ENADID 2018 historias de unión por registrar	ASTRA5-MESA-PAREJA	Distinguir constructo histórico, medición de uniones y causalidad de disolución.
LECTURA-b27f1923-03	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L9	The CIU 22.3% entre quienes usaron apps, 8.6m activos y 2.7 usos/semana son denominadores y métricas distintos; no equivalen a población mexicana total ni a usuarios ENDUTIH.		PENDIENTE-CIU-APPS	¿Qué cuestionario, marco, N, factor y definición de «activo» originan cada cifra CIU 2026?	The CIU El amor en los Tiempos de las Telecom 2026 informe/método por registrar	ASTRA5-MESA-PAREJA	Verificar extrapolación 8.6m y segmentación urbana antes de llamar infraestructura nacional.
LECTURA-b27f1923-04	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L11	20.2% cualquier violencia, 19.9 emocional, 2.7 física, 2.0 sexual pertenecen al análisis 15-24 ENDIREH 2021 de Rodríguez-Hernández; 39.9% pareja vida y 13.6% acudió autoridad son universos/periodos distintos. GEN-001 A físico actual no los resuelve.		PENDIENTE-ENDIREH-NOVIAZGO	¿Qué cuestionario A/B/C y filtros, periodo, vínculo, edad y ponderación usa el estudio n=7140 para cada tasa; qué preguntas sustentan 13.6%?	Rodríguez-Hernández et al. 2023; ENDIREH 2021 cuestionarios General/A/B/C, FD y diseño	ASTRA5-U2	Registrar subpoblación y reactivos exactos, mantener separado agregado 70.1% y pareja actual GEN-001.
LECTURA-b27f1923-05	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L13	Censo 2010/2020 adscripción religiosa, variación regional y efecto en guion de pareja son afirmaciones separadas; afiliación no mide conducta íntima.		PENDIENTE-RELIGION-PAREJA	¿Qué variables/códigos censales y denominadores producen 82.7/77.7, 7.5/11.2, 4.7/8.1/2.5 y cortes estatales; qué estudio mide guion de pareja?	Censo 2010/2020 tabulados religión; estudio de pareja por identificar	ASTRA5-MESA-RELIGION	Separar cambio de afiliación de mecanismo conyugal; deduplicar con report religiosidad.
LECTURA-b27f1923-06	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L15	Estatus jurídico matrimonio igualitario 2022 y ENDISEG 2021 5.1% 15+ son fuentes/universos distintos; legalidad no equivale a acceso ni igualdad social.		PENDIENTE-LEY-ENDISEG	¿Qué reforma Tamaulipas 2022, reglas de reconocimiento federal y reactivos ENDISEG 2021 definen 5.1% y edad/sexo?	Periódico oficial Tamaulipas 2022; INEGI ENDISEG 2021 cuestionario/diseño/comunicado 340/22	ASTRA5-MESA-PAREJA	Verificar vigencia legal y tasa por pregunta/universo antes de síntesis.
LECTURA-b27f1923-07	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L17	Mitos románticos, tolerancia a violencia y declive de aceptación universitaria son tres constructos; estudios universitarios no son serie nacional generacional.		PENDIENTE-MITOS-ROMANTICOS	¿Qué escala de mitos, muestras, comparador temporal y ajuste sustentan relación con tolerancia a violencia?	Yela/Ferrer/Bosch; estudios mexicanos universitarios por registrar	ASTRA5-MESA-PAREJA	Separar creencia, actitud hacia violencia y conducta real; marcar transferencia de España.
LECTURA-b27f1923-08	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L19	Marianismo/machismo/caballerismo son escalas de constructos distintas, desarrolladas en parte en diáspora; validación mexicana de marianismo n=454 no prueba prevalencia nacional ni erosión por clase.		PENDIENTE-GUIONES	¿Qué ítems, factores, población y propiedades de Castillo 2010/Arciniega 2008 y réplica mexicana?	Marianismo Beliefs Scale; Traditional Machismo and Caballerismo Scale; validación n=454	ASTRA5-MESA-GENERO	Marcar muestra de diáspora (b) cuando corresponda y no transferir puntajes sin invariancia.
LECTURA-b27f1923-09	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L21	EMUCE distingue celos emocionales/control; «control predice violencia» requiere estudio longitudinal o diseño que separe medidas y confusores.		PENDIENTE-CELOS-EMUCE	¿Qué subescalas/ítems EMUCE y qué estudio mexicano estima asociación temporal entre control y violencia?	EMUCE Rivera-Aragón/Flores-Galaz/Díaz-Loving; Rojas-Solís estudio por registrar	ASTRA5-MESA-PAREJA	Separar estructura factorial de predicción de daño; no patologizar toda emoción de celos.
LECTURA-b27f1923-10	corpus/reports/Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md:L23	52% matrimonios 2022 ambos trabajan y 53% igual escolaridad describen parejas que se casan, no todas las díadas; protección contra violencia es otra población/diseño.		PENDIENTE-EMAT-ESCOLARIDAD	¿Qué campos EMAT 2022, faltantes y universo producen 52/53%; qué modelo ENDIREH 15-24 estima escolaridad/actitud como protectores?	INEGI EMAT 2022 microtablas; Rodríguez-Hernández 2023 métodos	ASTRA5-MESA-PAREJA	No inferir cambio causal de poder desde marginales matrimoniales.
