id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-fb2ddd66-01	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L20	ENEP 2003 28.6/13.9/5.8% urbana 18-65 CIE-10; 20% tratamiento primer año y demoras 14/30 años son desenlaces/cohortes distintos; DSM-IV 26.1% no se fusiona.		PENDIENTE-ENEP-TRATAMIENTO	¿Qué entrevista CIDI, edad, cobertura y tablas CIE/DSM; qué denominador usa primer tratamiento?	Medina-Mora 2003; Borges/Wang 2007; Rafful 2012	ASTRA5-MESA-SALUD	Separar prevalencia, contacto alguna vez, primer año y demora.
LECTURA-fb2ddd66-02	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L22	2.2% gasto 2021, CIEP 1.3-1.6% y Atlas 1.6 psiquiatras/100k 2020 tienen años y denominadores diferentes.		PENDIENTE-GASTO-SALUD-MENTAL	¿Qué clasificación presupuestal, ámbito y registro profesional generan tasas?	WHO Mental Health Atlas 2020; Commonwealth Fund 2021; CIEP series	ASTRA5-MESA-SALUD	No promediar fuentes ni asumir distribución actual.
LECTURA-fb2ddd66-03	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L24	Escobar SSI 4.4-20% abreviado vs DSM-III 0.3-0.7% completo son definiciones y muestras diferentes; no prueba México somatiza más.		PENDIENTE-SSI-SOMATIZACION	¿Qué muestras, umbrales, sexos y países usó Escobar 1987/1989?	Escobar SSI estudios primarios 1987/1989	ASTRA5-MESA-SALUD	Marcar diáspora/hispano y separar síntomas de trastorno.
LECTURA-fb2ddd66-04	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L26	Nervios, susto y ataque de nervios son categorías culturales; asociación con depresión/pánico/TEPT no equivale a identidad diagnóstica o eficacia de tratamiento.		PENDIENTE-IDIOMS-DISTRESS	¿Qué estudio mexicano, lugar y escala registra cada idiom y diagnóstico clínico?	Guarnaccia/Lewis-Fernández/Kirmayer; DSM-5 formulación cultural	ASTRA5-MESA-SALUD	Deduplicar con rural indígena; no asumir mismo significado local.
LECTURA-fb2ddd66-05	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L28	Borges 2013 21% tercera generación mexicanoamericana vs 8% mexicanos sin migrante compara poblaciones; causalidad de aculturación no queda aislada.		PENDIENTE-IMMIGRANT-PARADOX	¿Qué diseño, ajuste, ventana 12m y selección migratoria produce contraste 21/8%?	Borges AJPH 2013; NLAAS/ENEP por registrar	ASTRA5-MESA-MIGRACION	Separar asociación generacional y mecanismo de aculturación.
LECTURA-fb2ddd66-06	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L30	ENSANUT 2022 16.7% sintomatología y 38.3% mayores/11.3% adultos requiere edades/escala; ENSANUT 2023-24 20.4/10.9% por sexo es otra ola.		PENDIENTE-ENSANUT-DEPRESION	¿Qué tamizaje, edad, pesos y corte usan ambas olas?	Vázquez-Salas ENSANUT 2022; ENSANUT Continua 2023-24	ASTRA5-MESA-SALUD	No llamar trastorno clínico a sintomatología ni fusionar olas.
LECTURA-fb2ddd66-07	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L32	INEGI 2024 9,051/tasa 7.0 y 2015 5.3 son defunciones, no intentos ni prevalencia; tasa hombre/mujer requiere edades y año.		PENDIENTE-SUICIDIO-SERIE	¿Qué tabulados definitivos, residencia/ocurrencia y denominadores por sexo/edad sustentan cifras?	INEGI Estadísticas de Defunciones Registradas 2015/2024	ASTRA5-MESA-SALUD	Deduplicar con juventud/familia y verificar serie.
LECTURA-fb2ddd66-08	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L34	Reforma DOF 16-05-2022 y afirmación sin ampliación presupuestal son piezas jurídicas/fiscales separadas; implementación no deriva de texto legal.		PENDIENTE-LEY-SALUD-MENTAL	¿Qué artículo vigente, transitorios y presupuesto federal/estatal documentan prohibición y financiamiento?	DOF reforma LGS 16-05-2022; presupuesto 2022-2026 por registrar	ASTRA5-MESA-SALUD	Verificar vigencia oficial y separar mandato de ejecución.
LECTURA-fb2ddd66-09	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L36	ENCOVID CESD-7 27.3→19.7 en 2020 y 13.6 de 2018 pueden tener marcos/métodos distintos; cambio causal pandemia no se deduce de tasas.		PENDIENTE-ENCOVID-DEPRESION	¿Qué población, pregunta, panel y ponderación permiten contraste 2018/2020?	ENCOVID-19 levantamientos; fuente 2018 por identificar	ASTRA5-MESA-SALUD	No equiparar sintomatología con diagnóstico ni atribuir todo a COVID.
LECTURA-fb2ddd66-10	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L38	Estigma, acceso y expresión son mecanismos diferenciables; prioridad cuantitativa del acceso requiere estimación conjunta, no solo declaración Conasama.		PENDIENTE-BARRERAS-MENTALES	¿Qué encuesta de necesidad no atendida pregunta costo/distancia/estigma/idiom en las mismas personas?	Conasama 2024; ENEP uso de servicios; encuesta barreras por localizar	ASTRA5-MESA-SALUD	Conservar distinción conceptual sin ranking causal sin modelo.
LECTURA-fb2ddd66-11	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L40	Arciniega machismo/caballerismo y afrontamiento provienen de mexicanoamericanos/EE.UU.; no explican mortalidad masculina mexicana.		PENDIENTE-MACHISMO-MENTAL	¿Qué escala y réplica mexicana ligan ambos factores con ayuda/estrés ajustado?	Arciniega 2008; estudio mexicano por localizar	ASTRA5-MESA-GENERO	Deduplicar con familia/emociones; marcar diáspora.
LECTURA-fb2ddd66-12	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L42	Nuñez 2016 HCHS/SOL n=4,426 es hispana en EE.UU.; asociación marianismo/autosilenciamiento no estima México ni causalidad.		PENDIENTE-MARIANISMO-MENTAL	¿Qué subescalas, origen mexicano, ajustes y validación local documentan efecto?	Nuñez 2016 HCHS/SOL y estudios México por registrar	ASTRA5-MESA-GENERO	Deduplicar con género/familia; limitar transferencia.
LECTURA-fb2ddd66-13	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L44	UNICEF >70% abrumados/>50% necesitaron ayuda son autoreportes en muestra por verificar; lenguaje TikTok y uso efectivo son desenlaces distintos.		PENDIENTE-GENZ-LENGUAJE	¿Qué n, edad, pregunta y muestreo de UNICEF 2024 dan tasas; qué medición de atención?	UNICEF México La salud mental de la Generación Z 2024	ASTRA5-MESA-JUVENTUD	Deduplicar con juventud y no inferir destigmatización causal.
LECTURA-fb2ddd66-14	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L46	Flores Martínez/Atuesta 2018 distingue narcomensajes, brutalidad y confrontaciones; ejecuciones agregadas no tuvieron efecto significativo en su modelo.		PENDIENTE-VIOLENCIA-TRAUMA	¿Qué unidad geográfica, periodo, desenlace y coeficientes identifican cada exposición?	Flores Martínez y Atuesta CIDE/IJDP 2018	ASTRA5-MESA-SALUD	Deduplicar con violencia ambiental; no usar homicidios como proxy único.
LECTURA-fb2ddd66-15	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L48	Consulta privada 800-2500 y telepsicología 252-999 son rangos comerciales sin fecha/muestra; asequibilidad y cobertura requieren ingreso y oferta local.		PENDIENTE-TERAPIA-ACCESO	¿Qué muestreo de precios, fecha, cobertura y uso por decil/municipio comprueba barrera?	Directorios de proveedores; ENIGH; registros servicios públicos por registrar	ASTRA5-MESA-SALUD	No presentar precio comercial como tarifa nacional ni eficacia de teleterapia.
MENTAL-INTERNO-01	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L50-L114	Marco acceso/estigma/expresión y evidencia ENEP/ENSANUT/SSI no comparten caso, edad ni indicador; prevalencia de vida 28.6 CIE y 26.1 DSM separada.		PENDIENTE-INTERNO-MENTAL	¿Qué población y diagnóstico/tamizaje corresponde a cada cifra?	ENEP CIE/DSM; ENSANUT; Escobar SSI	ASTRA5-U0	Normalizar indicador y procedencia.
MENTAL-INTERNO-02	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L116-L220	Ocho patrones amplían brecha, somatización, supresión, género, clase, digital, rural y fe; varias asociaciones son diáspora o cualitativas.		PENDIENTE-INTERNO-MENTAL	¿Qué muestras mexicanas y diseños comparan acceso, estigma y expresión?	ENEP; Atlas; ENSANUT; HCHS/SOL; estudios rurales	ASTRA5-MESA-SALUD	Deduplicar con familia/juventud/rural y no elevar mecanismo sin medición.
MENTAL-INTERNO-03	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L221-L271	Comparaciones y aplicaciones proponen presupuesto, telepsicología y rutas clínicas sin evaluación; contenido jurídico requiere vigencia.		PENDIENTE-INTERNO-MENTAL	¿Qué intervenciones y gasto/atención primaria muestran efecto medido y qué ley rige?	DOF LGS; presupuestos; evaluación de servicios	ASTRA5-MESA-SALUD	Separar recomendación clínica, legal y efecto.
MENTAL-INTERNO-04	corpus/reports/Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md:L273-L321	Auditoría corrige ENEP 28.6 CIE frente a 26.1 DSM, 9.2 sustancias frente a 9.1 afectivos y violencia no ligada a ejecuciones simples.		PENDIENTE-INTERNO-MENTAL	¿Qué tabla primaria confirma cada corrección y qué transferencias de diáspora aplican?	Medina-Mora 2003; BJP 2007; Flores/Atuesta 2018	ASTRA5-U0	Conservar correcciones y no etiquetar prevalencia 2003 como actual.
