id_lectura	archivo_fuente_linea	componente_dictaminado_o_residual	contrato_existente	estado_lectura	pregunta_documental_pendiente	archivo_pieza_exacta	propietario	siguiente_operacion
LECTURA-4482e7e0-01	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L9	INEGI 42.2% hogares/47.2m personas clase media, Teruel 25-27% seguridad y autoidentificación 60/77% de firmas distintas son tres definiciones/muestras; no se puede restar como brecha individual.		PENDIENTE-CLASE-IDENTIDAD	¿Qué índice INEGI 2018/2020, umbral Teruel y reactivos De las Heras/Parametría producen cada cuota, por hogar/persona/votante?	INEGI Cuantificando la Clase Media 2021; Teruel/CONEVAL; De las Heras/Forbes; Parametría salida 2021	ASTRA5-MESA-ESTATUS	Armonizar unidad y periodo; no llamar identidad aspiracional de todos sin cruce misma muestra.
LECTURA-4482e7e0-02	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L11	Informalidad ~55% ENOE, sistema de salud/seguro y «miedo racional a caer» son contexto e inferencia; falta escala mexicana de temor y exposición individual al riesgo.		PENDIENTE-MIEDO-CAER	¿Qué pregunta representativa mide probabilidad subjetiva de caída, pérdidas e ingreso/seguro en mismos hogares?	ENOE 2025T4 informalidad; ENBIARE percepción económica; escala de temor por localizar	ASTRA5-MESA-ESTATUS	Separar riesgo objetivo, percepción y mecanismo causal.
LECTURA-4482e7e0-03	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L13	CEEY ESRU-EMOVI 2023 50/100 persistencia quintil bajo y 2/100 ascenso al alto es matriz intergeneracional, no probabilidad anual de caer desde clase media.		PENDIENTE-EMOVI-MOVILIDAD	¿Qué diseño, edad, recuerdo de origen, factor y celdas de matriz del informe 2025 sustentan 50/2?	CEEY Informe Movilidad Social México 2025 y ESRU-EMOVI 2023 por registrar	ASTRA5-MESA-ESTATUS	Deduplicar con report mérito y no inferir volatilidad intrageneracional.
LECTURA-4482e7e0-04	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L15	Umbrales Banco Mundial USD PPP 4-10/10-50 diarios y «clase media consolidada mexicana» necesitan año PPP y distribución nacional; vulnerables no son todos clase media.		PENDIENTE-BM-VULNERABLES	¿Qué edición/PPP y dato mexicano asignan hogares/personas a cada intervalo y riesgo de pobreza?	Ferreira et al. Banco Mundial 2013 y ENIGH comparable por registrar	ASTRA5-MESA-ESTATUS	No equiparar categoría vulnerable BM con AMAI C-/D+ o INEGI clase media.
LECTURA-4482e7e0-05	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L17	CEEY 57% piel oscura/34% piel clara en quintil bajo es asociación intergeneracional; estatus por consumo, credencial y origen son tres mecanismos no medidos por el mismo dato.		PENDIENTE-COLORISMO	¿Qué escala PERLA, categoría de tono, quintil origen/destino y ajuste originan 57/34%?	CEEY ESRU-EMOVI 2023/Informe 2025; INEGI MMSI por registrar	ASTRA5-MESA-ESTATUS	Separar asociación de movilidad y canal de discriminación.
LECTURA-4482e7e0-06	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L19	Bravo 2025 deuda promedio 193,198 e ingreso 24,426 son cartera de >30k clientes, no mexicanos en general; 7.9 es cociente deuda/ingreso mensual, no tasa de carga mensual. «72% de los mexicanos gasta más» requiere encuesta independiente.		PENDIENTE-BRAVO-DEUDA	¿Qué cartera, filtros, fecha y pregunta originan 193,198/24,426/72%, y a quién representa?	Bravo Perfil del Deudor Mexicano 2025 metodología; encuesta de gasto por identificar	ASTRA5-MESA-DINERO	No extrapolar clientes sobreendeudados ni atribuir deuda a señalización de estatus sin motivo observado.
LECTURA-4482e7e0-07	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L21	~10% matrícula básica privada mide asistencia escolar; sacrificio económico, estatus y seguro anticaída son motivaciones no derivadas de ese porcentaje.		PENDIENTE-ESCUELA-ESTATUS	¿Qué tabulado SEP y encuesta de hogares mide cuota y razón de elegir escuela privada por clase?	SEP matrícula por sostenimiento; De la Calle/Rubio Clasemediero 2010; estudio de elección por registrar	ASTRA5-MESA-ESTATUS	Deduplicar con report conocimiento/pareja y conservar hipótesis de mecanismo.
LECTURA-4482e7e0-08	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L23	ENBIARE 37.3% logro patrimonial y 53.3% nivel socioeconómico mayor que padres son percepciones retrospectivas distintas; «vivienda propia como ancla emocional» no está en ellas.		PENDIENTE-ENBIARE	¿Qué ítems, edad, opciones y diseño ENBIARE originan ambas tasas y qué pregunta mide valor de vivienda?	INEGI ENBIARE cuestionario/FD/diseño y dato por verificar en manifiesto	ASTRA5-MESA-ESTATUS	Separar bienestar, movilidad subjetiva y tenencia de vivienda.
LECTURA-4482e7e0-09	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L25	AMAI 2024 7 niveles sobre ENIGH 2022 suman 100% de hogares; C-/C/C+ 43.7% es clasificación de equipamiento, no seguridad, identidad o transición longitudinal.		PENDIENTE-AMAI	¿Qué versión de regla, seis variables, algoritmo y ponderación ENIGH 2022 producen las siete cuotas?	AMAI Regla NSE 2024 y estimación ENIGH 2022 por registrar	ASTRA5-MESA-ESTATUS	Verificar tabla y no inferir movimiento del mismo hogar entre niveles.
LECTURA-4482e7e0-10	corpus/reports/El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md:L27	Parametría salida 2021 n=2192 y El Financiero salida 2024 n=5229 miden votantes en elecciones distintas; «efecto nulo» exige modelo/IC, tasas 59/61/49 son marginales por clase definida por cada firma.		PENDIENTE-VOTO-CLASE	¿Qué pregunta NSE/autoclase, muestreo, ajuste y coeficiente/IC sustentan efecto 2021 y tabulados 2024?	Parametría salida 2021; El Financiero salida 2024 metodología por registrar	ASTRA5-U3	No fusionar elecciones ni inferir que clase no predice voto en todo lugar/elección.
