# GENERADO por forense/analisis/dominios/redictamina_v1_1.py — no editar
dominio	programa	ola	n_afirmaciones	n_texto_verificado	reports	reports_que_sostiene	prioridad	ids
DINERO	CNBV	SIN-OLA-CASADA	19	0	5	Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md;Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md;Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md;El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md;compass-4-e29a28d4-credito-popular-2026.md	7	ASTRA5-U0-APUEST-008;ASTRA5-U0-APUEST-018;ASTRA5-U0-CRFAC-003;ASTRA5-U0-CRPOP-001;ASTRA5-U0-CRPOP-002;ASTRA5-U0-CRPOP-005;ASTRA5-U0-CRPOP-006;ASTRA5-U0-CRPOP-007;ASTRA5-U0-CRPOP-012;ASTRA5-U0-CRPOP-017;ASTRA5-U0-CRPOP-018;ASTRA5-U0-CRPOP-031;ASTRA5-U0-CRPOP-036;ASTRA5-U0-CRPOP-044;ASTRA5-U0-CRPOP-049;ASTRA5-U0-CRPOP-055;ASTRA5-U0-CRPOP-057;ASTRA5-U0-CRPOP-060;ASTRA5-U0-CLASE-042
SALUD	ENSANUT	2012;2018;2020;2021;2022;2023;2024	7	0	3	Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md;Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md;Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	7	ASTRA5-U0-APUEST-024;ASTRA5-U0-APUEST-037;ASTRA5-U0-SALUD-014;ASTRA5-U0-SALUD-016;ASTRA5-U0-SALUD-025;ASTRA5-U0-CONOC-010;ASTRA5-U0-CONOC-018
DINERO	BANXICO	SIN-OLA-CASADA	6	0	3	Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md;Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md;compass-4-e29a28d4-credito-popular-2026.md	5	ASTRA5-U0-CRFAC-004;ASTRA5-U0-CRFAC-007;ASTRA5-U0-CRFAC-011;ASTRA5-U0-CRFAC-013;ASTRA5-U0-CRPOP-050;ASTRA5-U0-CONS-021
PAREJA	EMAT	2022;2023	5	0	1	Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	5	ASTRA5-U0-PAREJA-001;ASTRA5-U0-PAREJA-002;ASTRA5-U0-PAREJA-012;ASTRA5-U0-PAREJA-021;ASTRA5-U0-PAREJA-030
SALUD_MENTAL	EDR	2022;2024	4	0	3	La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md;Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md;Salud_Mental_en_México__Prevalencia__Estigma_y_la_Brecha_entre_Necesidad_y_Atención.md	3	ASTRA5-U0-FAM-023;ASTRA5-U0-JUV-011;ASTRA5-U0-SALMEN-015;ASTRA5-U0-SALMEN-016
VIOLENCIA	ENDIREH	2021	4	0	2	Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md;Reconfiguración_de_los_Guiones_de_Género_en_México__Masculinidades__Feminidades_y_Violencia_a_través_de_Clase__Generación_y_Región.md	3	ASTRA5-U0-PAREJA-013;ASTRA5-U0-PAREJA-014;ASTRA5-U0-PAREJA-022;ASTRA5-U0-GEN-031
VIOLENCIA	ENSU	2024;2025	4	4	2	El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md;La_arquitectura_invisible_de_la_interacción_social_en_México.md	3	ASTRA5-U0-VIOL-001;ASTRA5-U0-VIOL-003;ASTRA5-U0-VIOL-035;ASTRA5-U0-INTER-034
CONOCIMIENTO	ENPECYT	2017	3	0	1	Report_26__The_Contemporary_Mexican_and_Knowledge__Expertise__Education_and_Information_as_Decision_Behavior.md	3	ASTRA5-U0-CONOC-004;ASTRA5-U0-CONOC-005;ASTRA5-U0-CONOC-025
FAMILIA_CUIDADOS	CCPV	2020	3	0	2	La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md;Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	3	ASTRA5-U0-FAM-025;ASTRA5-U0-VEJEZ-005;ASTRA5-U0-VEJEZ-006
HUMOR	LATINOBAROMETRO	2023	3	1	1	Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	3	ASTRA5-U0-HUM-004;ASTRA5-U0-HUM-005;ASTRA5-U0-HUM-006
TRABAJO	ENOE	2025	3	0	1	Vejez_y_Cuidado_Intergeneracional_en_México__El_Debilitamiento_del_Seguro_Familiar.md	3	ASTRA5-U0-VEJEZ-012;ASTRA5-U0-VEJEZ-025;ASTRA5-U0-VEJEZ-026
