# GENERADO por forense/analisis/dominios/redictamina_v1_1.py — no editar
report	dominio	afirmaciones	medible_en_corpus	medible_con_adquisicion	no_construible_en_corpus	no_medible_por_diseno	medible_en_corpus_v1_0	medible_con_adquisicion_v1_0
Adopción_y_Resistencia_Tecnológica_en_México__La_Paradoja_de_la_Baja_Confianza_Institucional.md	TECNOLOGIA	43	15	16	0	12	15	16
Apuestas_Conductuales_sobre_el_Consumidor_Mexicano__Validación_Forense_de_Supuestos_contra_Desenlaces_Reales.md	CONFIANZA	53	7	21	0	25	7	21
Ausencia_sin_certeza__duelo_y_pérdida_ambigua_en_familias_de_personas_desaparecidas_en_México.md	DUELO	41	3	24	0	14	3	24
Autoridad_y_jerarquía_en_el_México_contemporáneo__anatomía_psicológica_de_un_sistema_dual.md	AUTORIDAD	30	8	11	0	11	8	11
Behavioral_Finance_Mexicano__Estructura__Adaptación_Racional_y_Cultura_en_el_Ahorro__Crédito_y_Riesgo.md	CONSUMO	35	18	7	0	10	18	7
Confianza_y_Desconfianza_en_México__Anatomía_Psicológica_de_una_Sociedad_Dual.md	AUTORIDAD	33	6	20	0	7	6	20
Consumo_Aspiracional_en_México__Validación_Forense_del_Modelo_Anti-Esencialista.md	CONSUMO	28	1	11	0	16	1	11
Crédito_Fácil_y_Sobreendeudamiento_en_México__Escaneo_de_Indicadores_Adelantados_2025-2026.md	DINERO	20	3	10	0	7	3	10
Crédito_Popular_en_México__Morosidad_Auditada__Fondeo_y_Gobierno_Corporativo_como_Verdaderos_Riesgos_Estructurales.md	DINERO	44	1	29	0	14	1	29
El_Clasemediero_Mexicano__Identidad__Ansiedad_de_Estatus_y_el_Miedo_Racional_a_Caer.md	CONSUMO	43	3	25	0	15	3	25
El_Efecto_Ambiental_de_la_Violencia_Crónica_en_México__Cómo_el_Miedo_Reorganiza_la_Conducta_Psicológica_de_la_Población.md	VIOLENCIA	48	8	28	0	12	6	30
El_Mexicano_y_el_Tiempo__Estructura__no_Cultura__en_la_Planeación_y_el_Compromiso_Temporal.md	VIOLENCIA	38	12	12	0	14	12	12
El_México_Rural_e_Indígena_en_sus_Propios_Términos__Comunalidad__Autoridad_y_Reciprocidad_como_Sistemas_con_Lógica_Propia.md	RURAL_INDIGENA	49	7	23	0	19	7	23
Elegir__Cortejar_y_Amar_en_el_México_de_Hoy__Díada_de_Pareja__Apps_de_Citas_y_Cambio_en_los_Guiones_de_Género.md	PAREJA	46	3	27	0	16	3	27
Genetica_y_Conducta_del_Mexicano_Contemporaneo__Canal_Individual_vs__Estructura.md	GENETICA	38	0	35	0	3	0	35
Health__Body__Food_and_Substance_Use_in_Mexico__The_Behavioral_Layer_of_Decisions__Environment_and_Structure.md	SALUD	39	11	22	0	6	11	22
Humor_in_Mexican_Psychological_Life__2023-2026_Update.md	HUMOR	34	0	20	0	14	0	20
La_arquitectura_invisible_de_la_interacción_social_en_México.md	INTERACCION	45	1	31	0	13	1	31
La_familia_mexicana_como_sistema_psicológico__entre_el_afecto__la_obligación_y_la_adaptación_económica.md	GENERO	51	8	34	0	9	8	34
Mexican_Population_Genomics__2025-2026_Scientific_and_Market_Opportunity_Update.md	GENOMICA	33	0	27	0	6	0	27
Moral_Emotions_in_Mexico__Declared_Dignity__Relational_Face__and_Residual_Catholic_Guilt.md	EMOCIONES_MORALES	31	6	17	0	8	6	17
Mérito__Movilidad_Social_y_Desigualdad_en_México__Actualización_2025-2026.md	CONSUMO	38	6	26	0	6	6	26
Non-Family_Social_Capital_in_Mexico__Cooperation__Trust__and_Collective_Action_Beyond_Kinship.md	CAPITAL_SOCIAL	42	13	13	0	16	13	13
Psicología_Política_y_Comportamiento_Cívico_del_Mexicano_Contemporáneo__Una_Lectura_Anti-Esencialista_desde_Abajo__2026_.md	CONFIANZA	43	17	15	0	11	17	15
Psicología__Conducta_y_Sociedad_en_el_México_Contemporáneo__Análisis_Transcultural_y_Estructural.md	CONOCIMIENTO	28	1	23	0	4	1	23
Psicología_de_la_Juventud_Mexicana_Contemporánea__Gen_Z_y_Millennials_Jóvenes_como_Cohorte_Divergente.md	JUVENTUD	32	8	16	0	8	8	16
Psicología_del_Consumidor_Mexicano__Patrones__Contradicciones_y_Estrategia.md	DINERO	38	5	23	0	10	5	23
Psicología_del_Trabajo_en_México__Un_Mapa_Basado_en_Evidencia.md	TRABAJO	57	5	34	0	18	5	34
Psychology_of_Mexico-US_Migration__Identity__Family__Aspiration__and_Wellbeing_in_2025.md	MIGRACION	42	4	18	0	20	4	18
