id_constancia	clase	instrumento	ola	prioridad	afirmaciones	url	sha256	archivo	fecha	estado
AUTOCONSTRUCCION-VIVIENDA_SIN-OLA	TABULADO	AUTOCONSTRUCCION-VIVIENDA	SIN-OLA	3	ASTRA5-U0-FAM-031					IDENTIFICADA-SIN-COPIA
COMMONWEALTH-CIEP_2021	TABULADO	COMMONWEALTH-CIEP	2021	3	ASTRA5-U0-SALMEN-006					IDENTIFICADA-SIN-COPIA
CONEVAL_2020-2022	TABULADO	CONEVAL	2020-2022	3	ASTRA5-U0-FAM-033;ASTRA5-U0-SINT-017;ASTRA5-U0-VEJEZ-029					IDENTIFICADA-SIN-COPIA
CPV_2020	TABULADO	CPV	2020	3	ASTRA5-U0-RURAL-028;ASTRA5-U0-PAREJA-016;ASTRA5-U0-FAM-005;ASTRA5-U0-FAM-025;ASTRA5-U0-FAM-035;ASTRA5-U0-RELIG-008;ASTRA5-U0-VEJEZ-005;ASTRA5-U0-VEJEZ-006	https://www.inegi.org.mx/programas/ccpv/2020/				IDENTIFICADA-SIN-COPIA
CSTNRH_2024	TABULADO	CSTNRH	2024	3	ASTRA5-U0-JUV-013	https://www.inegi.org.mx/temas/tnrh/				IDENTIFICADA-SIN-COPIA
DEPORTACION-PEW-MPI_2025	TABULADO	DEPORTACION-PEW-MPI	2025	3	ASTRA5-U0-MIGR-040;ASTRA5-U0-MIGR-042					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-APUEST-007	DOCUMENTO	World Bank Policy Research Working Paper 6634 (Ruiz, 2013), «From pawn shops to banks: the impact of formal credit on informal households»	SIN-OLA	3	ASTRA5-U0-APUEST-007					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-CLASE-023	DOCUMENTO	El Financiero, encuesta de salida, elección federal 2-jun-2024	SIN-OLA	3	ASTRA5-U0-CLASE-023					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-CONS-002	DOCUMENTO	McKinsey encuesta de gasto del consumidor Mexico, nov 2011 (publicada 2012)	SIN-OLA	3	ASTRA5-U0-CONS-002					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-CONS-003	DOCUMENTO	McKinsey encuesta de gasto del consumidor Mexico, nov 2011	SIN-OLA	3	ASTRA5-U0-CONS-003					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-CONS-025	DOCUMENTO	No identificado (posible reporte de mercado privado tipo Statista/Research and Markets)	SIN-OLA	3	ASTRA5-U0-CONS-025					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-CRFAC-009	DOCUMENTO	encuesta de mercado; AMVO Estudio de Venta Online 2025 (AMVO NORM, alianza con Netquest, ~1000 entrevistas)	SIN-OLA	3	ASTRA5-U0-CRFAC-009					IDENTIFICADA-SIN-COPIA
DOC-ASTRA5-U0-CRPOP-050	DOCUMENTO	NO-APLICA (no es encuesta; publicación regulatoria Banxico RIB + sitio institucional)	SIN-OLA	3	ASTRA5-U0-CRPOP-050					IDENTIFICADA-SIN-COPIA
