id_canonico	id_absorbido	razon
ASTRA5-U0-CLASE-021	ASTRA5-U0-CONS-037	Misma distribución de hogares por NSE (Regla AMAI 2024 sobre ENIGH 2022), mismo componente y fuente en clasemediero y consumidor.
ASTRA5-U0-AUTOR-021	ASTRA5-U0-EMOC-008	Misma distribución religiosa del Censo 2020 (católica/evangélica/sin religión); la canónica ya es EN-CORPUS con ITER 2020.
ASTRA5-U0-RELIG-001	ASTRA5-U0-PAREJA-015	Mismo cambio de la proporción católica 2010→2020 por censo, citado en religiosidad y en pareja.
ASTRA5-U0-POL-003	ASTRA5-U0-CONOC-015	Misma batería ENCIG 2025 de confianza por actor (familiares 84.8%, universidades, partidos), población 18+.
ASTRA5-U0-TEC-019	ASTRA5-U0-APUEST-029	Misma serie Banxico de cuentas CoDi validadas y operaciones (21.8 millones a sep-2025).
ASTRA5-U0-POL-009	ASTRA5-U0-VIOL-011	Mismo costo del delito 2024 estimado por INEGI con ENVIPE 2025 (269.6 mil millones, 1.07% del PIB); la canónica es EN-CORPUS con BP1_34/35 y AP4_12.
ASTRA5-U0-VIOL-023	ASTRA5-U0-TIME-033	Misma prevalencia de TEPT por sexo (2.3% mujeres, 0.49% hombres), ENEP.
ASTRA5-U0-TRAB-022	ASTRA5-U0-AUTOR-018	Misma proporción de la fuerza laboral menor de 25 años (ENOE), dedup AUTOR-JOVEN-55; propietario U1.
ASTRA5-U0-TRUST-004	ASTRA5-U0-VIOL-036	Mismo diferencial de confianza por institución de Research Land 2026.
ASTRA5-U0-JUV-026	ASTRA5-U0-HUM-031	Mismo reactivo P11STGBS de Latinobarómetro 2024 (apoyo a la democracia 35%→49%); la canónica es EN-CORPUS.
